osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,access,bridge
27806024,Rue du Professeur Calmette,residential,30,False,False,102.536,"LINESTRING (2.2641634 48.9962259, 2.2639909 48.9959552, 2.2639541 48.9959114, 2.2636938 48.9956019, 2.2634364 48.9954529)",,,,,
949440692,Rue Saint-Flaive Prolongée,secondary,30,True,False,9.297,"LINESTRING (2.2607459 48.9911985, 2.260748 48.9911149)",1,D 140,,,
34401684,,secondary,,True,False,5.631,"LINESTRING (2.2607459 48.9911985, 2.2607586 48.9911928, 2.2607721 48.9911875, 2.2607874 48.9911862, 2.2608026 48.9911854, 2.2608179 48.9911863)",,,roundabout,,
34401684,,secondary,,True,False,7.7540000000000004,"LINESTRING (2.2607163 48.9912615, 2.2607124 48.9912442, 2.2607164 48.991227, 2.2607279 48.9912113, 2.2607459 48.9911985)",,,roundabout,,
34401685,Rue de l'Audience,residential,50,False,False,53.85699999999999,"LINESTRING (2.2607163 48.9912615, 2.2606045 48.9912878, 2.260499 48.991311, 2.2601374 48.9913869, 2.2600764 48.9913997, 2.2600441 48.9914003, 2.2600146 48.991392)",2,,,,
34401685,Rue de l'Audience,residential,50,False,True,53.857,"LINESTRING (2.2600146 48.991392, 2.2600441 48.9914003, 2.2600764 48.9913997, 2.2601374 48.9913869, 2.260499 48.991311, 2.2606045 48.9912878, 2.2607163 48.9912615)",2,,,,
"[588713880, 34401686]",Rue du Maréchal Foch,residential,50,False,False,70.815,"LINESTRING (2.2600146 48.991392, 2.2599634 48.9913221, 2.2599153 48.9912591, 2.2598147 48.9911407, 2.259747 48.9910778, 2.2596572 48.9910109, 2.2595304 48.9909322, 2.2594855 48.9909088, 2.259442 48.9908886)",2,,,,
"[588713880, 1243110344]",Rue du Maréchal Foch,residential,50,False,True,137.776,"LINESTRING (2.2600146 48.991392, 2.2600505 48.9914464, 2.2600963 48.9915158, 2.2602351 48.9917264, 2.260562 48.9924241, 2.2606133 48.9925649)",2,,,,
34401690,Rue de l'Église,tertiary,50,False,False,103.434,"LINESTRING (2.2593934 48.9902934, 2.2594137 48.9902458, 2.2594303 48.9901936, 2.2594507 48.990091, 2.2594499 48.990041, 2.2594453 48.9899809, 2.2594339 48.9899177, 2.2594223 48.9898722, 2.259403 48.9898242, 2.2593742 48.9897635, 2.2593393 48.9897018, 2.2593065 48.9896496, 2.2592418 48.9895599, 2.2591013 48.9894179)",1,D 192,,,
34401690,Rue de l'Église,tertiary,50,False,True,24.044999999999998,"LINESTRING (2.2593934 48.9902934, 2.2593561 48.9903593, 2.2593116 48.9904235, 2.2592619 48.9904915)",1,D 192,,,
