osmid,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes,ref,width,bridge
23555284,Rue Laurette,residential,False,False,64.013,"LINESTRING (1.2945655 43.564119, 1.294604 43.5641344, 1.2952609 43.5643974)",,,,,,
148249837,Rue du Docteur Armaing,residential,False,False,57.687999999999995,"LINESTRING (1.2945655 43.564119, 1.2943987 43.5643199, 1.294252 43.5644965, 1.2942178 43.5645376, 1.2941963 43.5645635)",50,,,,,
148249837,Rue du Docteur Armaing,residential,False,True,127.38199999999999,"LINESTRING (1.2945655 43.564119, 1.2953485 43.5631704, 1.2953674 43.5631475, 1.2953848 43.5631425)",50,,,,,
"[627374234, 106794943]",Avenue des Martinets,primary,False,False,132.18200000000002,"LINESTRING (1.2930312 43.5614854, 1.2930742 43.5614872, 1.293123 43.56149, 1.2932654 43.5615193, 1.2934564 43.5615935, 1.293616 43.5616688, 1.2937764 43.5617597, 1.2938176 43.5617867, 1.294094 43.5619681, 1.2941733 43.5620234, 1.2942536 43.5620794, 1.2943542 43.5621496)",,,,,,
1247576286,,primary,True,False,28.802999999999997,"LINESTRING (1.2930312 43.5614854, 1.2930076 43.5615343, 1.29296 43.5615729, 1.2928956 43.5615955, 1.2928243 43.5615985, 1.2927567 43.5615815)",50,roundabout,,,,
847587755,Avenue des Martinets,primary,False,True,48.811,"LINESTRING (1.2952492 43.562975, 1.2949371 43.5626595, 1.2948906 43.5626215)",30,,,,,
847712109,Avenue des Martinets,primary,True,False,16.375999999999998,"LINESTRING (1.2952492 43.562975, 1.295334 43.562985, 1.2953809 43.5629979, 1.2954446 43.5630133)",,,,,,
62221441,Avenue des Pyrénées,tertiary,False,False,67.299,"LINESTRING (1.2978972 43.5660405, 1.2986343 43.5663252)",50,,2,D 632,,
307060027,Rue des Écoles,tertiary,False,True,77.201,"LINESTRING (1.2978972 43.5660405, 1.2975112 43.5665176, 1.2974744 43.5665759, 1.2974597 43.5666523)",50,,2,,,
"[30908000, 677408030]",Rue de Peyrolières,tertiary,False,True,87.42,"LINESTRING (1.2978972 43.5660405, 1.2979183 43.5659676, 1.2979706 43.5659068, 1.2983817 43.5654327, 1.2983905 43.5653528)",50,,2,,,
677408032,Avenue des Pyrénées,tertiary,False,True,63.867999999999995,"LINESTRING (1.2978972 43.5660405, 1.2977819 43.5659916, 1.297451 43.5658669, 1.2972228 43.5657775, 1.2971993 43.5657683)",50,,,D 632,,
1247576270,Rond-Point du Souvenir Français,primary,True,False,7.491,"LINESTRING (1.2954446 43.5630133, 1.2955328 43.562992)",,roundabout,,,4,
"[847587754, 153833859]",Rue du Docteur Armaing,secondary,False,True,151.94,"LINESTRING (1.2955328 43.562992, 1.2955501 43.5629554, 1.2955586 43.5629373, 1.2955857 43.5628928, 1.2964949 43.5618188)",50,,,D 42,,
1247576271,Rond-Point du Souvenir Français,primary,True,False,15.754999999999999,"LINESTRING (1.2955328 43.562992, 1.2956095 43.5630045, 1.2956531 43.563028, 1.2956887 43.5630653)",,roundabout,,,4,
"[30908002, 30261787]","['Allée Mathilde Calvet', 'Rue des Lauriers']",residential,True,False,226.014,"LINESTRING (1.2956887 43.5630653, 1.2957195 43.5630577, 1.2958092 43.5630307, 1.2958813 43.5630088, 1.296229 43.5629031, 1.2963614 43.5628629, 1.2964089 43.5628484, 1.2966029 43.5627895, 1.2969569 43.5626819, 1.2971801 43.5626164, 1.2973484 43.562567, 1.2973882 43.5625631, 1.2974448 43.5625883, 1.2975017 43.5626161, 1.2976736 43.5627928, 1.2977212 43.5629068, 1.2976857 43.5630586, 1.2976594 43.5631715)",,,,,,
1247576272,Rond-Point du Souvenir Français,primary,True,False,10.35,"LINESTRING (1.2956887 43.5630653, 1.2956915 43.5630783, 1.2956961 43.5631181, 1.2956817 43.5631567)",,roundabout,,,4,
22963562,Boulevard des Capelles,primary,True,False,13.242,"LINESTRING (1.2956817 43.5631567, 1.2957228 43.563272)",50,,,,,
1247576273,Rond-Point du Souvenir Français,primary,True,False,11.546,"LINESTRING (1.2956817 43.5631567, 1.2956376 43.5631976, 1.2955732 43.5632204)",,roundabout,,,4,
1247576269,Rond-Point du Souvenir Français,primary,True,False,5.811,"LINESTRING (1.2953848 43.5631425, 1.2953792 43.5630904)",,roundabout,,,4,
148249837,Rue du Docteur Armaing,residential,False,False,127.38199999999999,"LINESTRING (1.2953848 43.5631425, 1.2953674 43.5631475, 1.2953485 43.5631704, 1.2945655 43.564119)",50,,,,,
22894650,Rond-Point du Souvenir Français,primary,True,False,10.27,"LINESTRING (1.2953792 43.5630904, 1.295401 43.5630471, 1.2954446 43.5630133)",,roundabout,,,4,
847712108,Avenue des Martinets,primary,True,False,16.984,"LINESTRING (1.2953792 43.5630904, 1.2952964 43.5630436, 1.2952492 43.562975)",,,,,,
148249837,Rue du Docteur Armaing,residential,False,True,57.688,"LINESTRING (1.2941963 43.5645635, 1.2942178 43.5645376, 1.294252 43.5644965, 1.2943987 43.5643199, 1.2945655 43.564119)",50,,,,,
