osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,junction,bridge,lanes,access,tunnel
103128930,True,D 300,Rue d'Estournelles de Constant,secondary,False,79.325,"LINESTRING (0.3649982 48.3492776, 0.3658885 48.3495415, 0.3659788 48.3495678)",,,,,,
1221509706,False,,Rue des Balais,residential,False,101.40299999999999,"LINESTRING (0.3649982 48.3492776, 0.3649736 48.349335, 0.3649366 48.3501869)",,,,,,
23981115,False,D 311,,secondary,False,20.517,"LINESTRING (0.3681009 48.350754, 0.3683705 48.3507099)",50,,,,,
343781360,False,D 3,Rue Charles Granger,secondary,True,65.432,"LINESTRING (0.3681009 48.350754, 0.3681123 48.3508656, 0.3681606 48.3513411)",50,,,,,
"[640640458, 640640459]",False,D 2,Rue du Docteur Godard,secondary,False,207.13299999999998,"LINESTRING (0.3681009 48.350754, 0.3679306 48.3507845, 0.3674919 48.3508631, 0.3660015 48.351122, 0.3656583 48.3511966, 0.3654017 48.3512539)",,,,,,
30337156,False,,Rue Albert Roullée,secondary,False,6.335,"LINESTRING (0.3680846 48.3494965, 0.3681627 48.349473)",,,,,,
404101752,True,D 38,Place de la République,tertiary,False,106.56,"LINESTRING (0.3680846 48.3494965, 0.3680593 48.3492751, 0.3680317 48.3489645, 0.3680048 48.3486623, 0.3679991 48.3485979, 0.368042 48.3485475)",,,,,,
30337156,False,,Rue Albert Roullée,secondary,False,55.594,"LINESTRING (0.3695195 48.3490688, 0.3702385 48.3489217)",,,,,,
103128927,True,,Rue Frédéric Dallier,residential,False,123.053,"LINESTRING (0.3695195 48.3490688, 0.3690878 48.348)",,,,,,
30337156,False,,Rue Albert Roullée,secondary,True,109.885,"LINESTRING (0.3695195 48.3490688, 0.3694574 48.3490865, 0.3687732 48.3492866, 0.368405 48.3494009, 0.3681627 48.349473)",,,,,,
30337156,False,,Rue Albert Roullée,secondary,True,52.845,"LINESTRING (0.3709216 48.3487854, 0.3708059 48.3488222, 0.3702385 48.3489217)",,,,,,
