osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,access,junction
62199355,True,Rue de la Fontaine du Jeu,residential,30,False,133.703,"LINESTRING (-1.0121295 46.8729452, -1.0120963 46.8729929, -1.0119257 46.8732213, -1.0117951 46.8734131, -1.0114688 46.8738799, -1.011343 46.8740198)",,,,
498784761,False,Rue du Puits Boisseau,residential,30,False,45.871,"LINESTRING (-1.0121295 46.8729452, -1.0121677 46.8729313, -1.0122657 46.8729019, -1.0125789 46.8728946, -1.012665 46.8728921, -1.0127185 46.8728901)",,,,
440478761,False,Rue des Pierres Fortes,residential,30,True,85.49700000000001,"LINESTRING (-1.0090506 46.8720237, -1.0091162 46.8720592, -1.0093059 46.872121, -1.0098426 46.8722863, -1.0098913 46.8722989, -1.00993 46.8723051, -1.010044 46.8723139, -1.0100796 46.8723159)",,,,
"[1007171569, 171385282]",False,Rue du Brandon,secondary,30,False,62.08,"LINESTRING (-1.020964 46.8700329, -1.0208407 46.8700884, -1.0207612 46.87012, -1.0206278 46.8701747, -1.0204954 46.8702095, -1.0203991 46.8702311, -1.020226 46.8702603)",,,,
441120291,False,Rue du Brandon,secondary,30,True,20.149,"LINESTRING (-1.0153627 46.8710522, -1.0156196 46.8710076)",,,,
4672599,True,Rue de l'Église,secondary,20,False,46.486,"LINESTRING (-1.0153627 46.8710522, -1.0151833 46.871068, -1.0147541 46.871092)",D 755,,,
171379548,False,Grande Rue,secondary,30,True,111.255,"LINESTRING (-1.0153627 46.8710522, -1.0153633 46.8711453, -1.0153688 46.8713904, -1.0153723 46.871543, -1.0153713 46.8716957, -1.0153696 46.8719751, -1.0153144 46.8720429)",,,,
4661858,True,Grande Rue Saint-Blaise,secondary,30,False,77.477,"LINESTRING (-1.0131933 46.8711567, -1.0131654 46.8712572, -1.0131197 46.8714306, -1.013116 46.8714529, -1.0131043 46.8715346, -1.013103 46.8715483, -1.0130873 46.8717144, -1.0130616 46.8718468)",,,,
"[1128319289, 1007171565]",False,Rue du Tourniquet,tertiary,30,True,85.45600000000002,"LINESTRING (-1.0131933 46.8711567, -1.0132058 46.8710825, -1.0132269 46.8708136, -1.0132328 46.8706531, -1.0132286 46.8705808, -1.0132046 46.8704718, -1.0131817 46.8703919)",,,,
1128319290,False,Rue Nationale,secondary,30,False,147.297,"LINESTRING (-1.0131933 46.8711567, -1.0130645 46.8711499, -1.0118902 46.8707984, -1.0117658 46.8707578, -1.0114812 46.8706728, -1.0114096 46.8706514)",D 755,,,
122402536,False,Rue Nationale,secondary,30,True,3.137,"LINESTRING (-1.0105979 46.870407, -1.0106359 46.870418)",D 755,,,
122402536,False,Rue Nationale,secondary,30,False,108.01,"LINESTRING (-1.0105979 46.870407, -1.0104249 46.8703568, -1.0095178 46.8700938, -1.0094188 46.8700695, -1.009307 46.8700092)",D 755,,,
1007171564,False,Rue de la Prise d'Eau,residential,30,False,43.985,"LINESTRING (-1.0105979 46.870407, -1.0106152 46.8703801, -1.0106503 46.8703261, -1.0107882 46.8701132, -1.010824 46.8700431)",,,,
