osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref,tunnel,bridge
34927379,2,Rue de la Paulèle,residential,30,False,False,12.824,"LINESTRING (3.0813711 44.1010369, 3.0813227 44.1010658, 3.0812531 44.101115)",,,,
311542110,,Avenue Gambetta,residential,30,False,False,41.044,"LINESTRING (3.0813711 44.1010369, 3.0814189 44.1010932, 3.0814756 44.1011508, 3.0815572 44.101219, 3.0816279 44.1012716, 3.081702 44.1013165)",,,,
"[963370592, 311542110]",,Avenue Gambetta,"['residential', 'living_street']",30,False,True,73.328,"LINESTRING (3.0813711 44.1010369, 3.0813382 44.1009827, 3.0813054 44.1009209, 3.0812694 44.1008412, 3.0812423 44.1007487, 3.0811977 44.1005323, 3.0811809 44.1004589, 3.0811667 44.100397)",,,,
29505366,,Boulevard Sadi Carnot,living_street,20,True,False,53.515,"LINESTRING (3.0798752 44.099736, 3.0797841 44.0992592)",,,,
1111714548,,Boulevard de Bonald,living_street,,False,False,4.711,"LINESTRING (3.0798752 44.099736, 3.0799327 44.0997455)",,,,
1111714548,,Boulevard de Bonald,living_street,,False,True,60.378,"LINESTRING (3.0798752 44.099736, 3.0793979 44.0996696, 3.0792379 44.0996432, 3.0791347 44.0996265)",,,,
16419088,,Place du Mandarous,secondary,30,True,False,22.505000000000003,"LINESTRING (3.0785302 44.099819, 3.0784605 44.0997849, 3.0784088 44.0997448, 3.0783696 44.0996983, 3.0783683 44.0996655)",roundabout,,,
881060298,,Avenue de la République,secondary,30,False,True,117.252,"LINESTRING (3.0785302 44.099819, 3.0785116 44.099849, 3.0785 44.0998676, 3.07846 44.0999326, 3.0781456 44.1004429, 3.0780931 44.1005293, 3.0779383 44.100784)",,D 991,,
16419088,,Place du Mandarous,secondary,30,True,False,29.096,"LINESTRING (3.0784855 44.0995721, 3.0785483 44.0995791, 3.0786237 44.099599, 3.0787079 44.0996234, 3.0787746 44.0996525, 3.0788083 44.0996806)",roundabout,,,
16419088,,Place du Mandarous,secondary,30,True,False,11.638,"LINESTRING (3.0788083 44.0996806, 3.0788219 44.0997111, 3.0788266 44.0997525, 3.0788217 44.0997834)",roundabout,,,
799254107,,Boulevard de Bonald,residential,30,True,False,26.787999999999997,"LINESTRING (3.0788083 44.0996806, 3.0789458 44.0996637, 3.0789634 44.0996615, 3.0791347 44.0996265)",,,,
217848922,,Boulevard de l'Ayrolle,secondary,20,False,True,95.308,"LINESTRING (3.0782243 44.0994005, 3.0772017 44.0989585)",,,,
