osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,tunnel
666561072,Rue Bernard Délicieux,residential,30,False,False,10.79,"LINESTRING (3.8820991 43.6157011, 3.8821849 43.6156534, 3.8822054 43.615642)",,,
374680207,Quai du Verdanson,secondary,30,False,False,29.564,"LINESTRING (3.8828066 43.6149715, 3.8827047 43.6149966, 3.8825835 43.6150109, 3.8824467 43.615011)",3,,
374680207,Quai du Verdanson,secondary,30,False,True,29.564,"LINESTRING (3.8824467 43.615011, 3.8825835 43.6150109, 3.8827047 43.6149966, 3.8828066 43.6149715)",3,,
"[374680204, 392460319]",Quai du Verdanson,secondary,30,True,False,74.49600000000001,"LINESTRING (3.8824467 43.615011, 3.8823877 43.6150353, 3.8822589 43.6150369, 3.8820337 43.6150323, 3.8818791 43.6150216, 3.8817426 43.6150105, 3.8815722 43.6149955, 3.8815332 43.614994)",2,,
180137063,Rue de Villefranche,tertiary,30,False,True,7.617,"LINESTRING (3.8789257 43.6152164, 3.8789454 43.6151494)",,,
"[180137057, 392460324, 181630374]",Quai du Verdanson,secondary,30,True,False,117.819,"LINESTRING (3.8789257 43.6152164, 3.8787777 43.6152115, 3.8786823 43.6152085, 3.8785185 43.6152091, 3.8783444 43.6152107, 3.8781515 43.6152127, 3.8779483 43.6152171, 3.8777982 43.6152355, 3.8776253 43.6152781, 3.8775541 43.6153263, 3.8775141 43.6153519)",,,
"[452098596, 452098597]","['Boulevard Bonne Nouvelle', 'Boulevard Sarrail']",residential,30,False,False,3.961,"LINESTRING (3.8807157 43.6112444, 3.8807111 43.6112286, 3.8807046 43.6112097)",,,
452098598,Boulevard Bonne Nouvelle,residential,30,False,True,7.792,"LINESTRING (3.8807157 43.6112444, 3.8806973 43.6112602, 3.880706 43.6112908, 3.88073 43.6112961)",,,
452098599,Boulevard Bonne Nouvelle,residential,30,False,False,7.735999999999999,"LINESTRING (3.8807157 43.6112444, 3.8807392 43.6112514, 3.8807489 43.6112825, 3.88073 43.6112961)",,,
"[452098596, 452098597]","['Boulevard Bonne Nouvelle', 'Boulevard Sarrail']",residential,30,False,True,3.961,"LINESTRING (3.8807046 43.6112097, 3.8807111 43.6112286, 3.8807157 43.6112444)",,,
452098604,Boulevard Sarrail,residential,30,True,False,115.926,"LINESTRING (3.8807046 43.6112097, 3.8806823 43.611203, 3.880452 43.6102112, 3.8804583 43.6101924)",,,
10219443,Rue de Substantion,residential,30,True,False,56.485,"LINESTRING (3.8815332 43.614994, 3.8815824 43.6150449, 3.8819586 43.6153979)",,customers;delivery,
180162631,Quai du Verdanson,secondary,30,True,False,20.393,"LINESTRING (3.8815332 43.614994, 3.8815063 43.6149929, 3.8814594 43.6149911, 3.8814165 43.6149894, 3.8813468 43.6149836, 3.881281 43.6149778)",,,
188608967,Quai du Verdanson,tertiary,30,False,False,20.38,"LINESTRING (3.8815332 43.614994, 3.8814626 43.614928, 3.8814052 43.6148804, 3.8813736 43.6148518)",,,
180137058,Quai du Verdanson,secondary,30,True,False,26.797000000000004,"LINESTRING (3.8810576 43.6147784, 3.88112 43.6147901, 3.8811597 43.6147993, 3.8812894 43.6148248, 3.8813367 43.6148374, 3.8813736 43.6148518)",,,
186120587,Rue Michel Vernière,tertiary,30,True,False,16.814999999999998,"LINESTRING (3.8810576 43.6147784, 3.8811107 43.6147448, 3.8811261 43.6147292, 3.8811415 43.614707, 3.8811569 43.6146872, 3.8811767 43.614657)",,,
452098602,Boulevard Sarrail,residential,30,True,False,116.572,"LINESTRING (3.8804583 43.6101924, 3.8804902 43.6102089, 3.8807212 43.6111982, 3.8807046 43.6112097)",,,
"[8105575, 8105544, 10067915, 26287567, 606159924, 606159925, 8105717, 452098617]","['Rue Fabre', 'Boulevard Sarrail', 'Rue des Augustins', 'Passage Bruyas', 'Rue Jacques Coeur']",residential,30,True,False,402.942,"LINESTRING (3.8804583 43.6101924, 3.880456 43.610175, 3.8804168 43.6099734, 3.880355 43.6096657, 3.8803432 43.6096045, 3.8803005 43.6095746, 3.8802343 43.6092822, 3.8802263 43.6092693, 3.8802123 43.6092578, 3.8801713 43.609253, 3.8800899 43.6092591, 3.879617 43.6093151, 3.8791594 43.6093693, 3.8792369 43.6095984, 3.8792473 43.609629, 3.8792468 43.6096352, 3.879228 43.6098606, 3.8791675 43.6100856, 3.8794322 43.6104183, 3.8804112 43.6102018, 3.8804583 43.6101924)",1,,building_passage
8105145,Rue de l'Arquebuse,tertiary,30,True,False,54.035,"LINESTRING (3.8804373 43.6138148, 3.8804695 43.6138315, 3.8805003 43.6138385, 3.8805392 43.6138379, 3.8805788 43.6138285, 3.8806049 43.613814, 3.8806361 43.613781, 3.8806573 43.6137605, 3.8807127 43.6137069, 3.8807463 43.6136738, 3.8808192 43.6136198, 3.8808775 43.6135985, 3.8809492 43.6135794)",,,
"[405120561, 405120563, 395595067, 26578615]",Boulevard Bonne Nouvelle,residential,30,False,"[False, True]",315.17499999999995,"LINESTRING (3.8804373 43.6138148, 3.880439 43.6137891, 3.8804414 43.6137642, 3.8804472 43.6137392, 3.8804574 43.6137202, 3.8804801 43.6136918, 3.880509 43.6136742, 3.8806504 43.6136195, 3.8810889 43.6134492, 3.881126 43.6134284, 3.8811531 43.6134064, 3.8811683 43.6133842, 3.8811718 43.6133521, 3.8811598 43.6132614, 3.8808615 43.6118979, 3.8808553 43.6118515, 3.8808239 43.6117031, 3.8807774 43.6114785, 3.88073 43.6112961)",,,
10219443,Rue de Substantion,residential,30,True,False,33.638,"LINESTRING (3.8819586 43.6153979, 3.8821653 43.615602, 3.8821778 43.6156145, 3.8822054 43.615642)",,customers;delivery,
"[17919802, 944064915]","['Rue Daniel Sage', 'Place des Beaux-Arts']",residential,30,True,False,96.31300000000002,"LINESTRING (3.8819586 43.6153979, 3.8819497 43.615418, 3.881912 43.6154439, 3.8812689 43.6157949, 3.8811411 43.6156749, 3.8811004 43.6156602, 3.8810484 43.615647)",,,
666561072,Rue Bernard Délicieux,residential,30,False,True,10.79,"LINESTRING (3.8822054 43.615642, 3.8821849 43.6156534, 3.8820991 43.6157011)",,,
