osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes
317632401,Rue Fatihou Soundi,residential,50,False,False,59.959,"LINESTRING (45.0594834 -12.7255715, 45.0594471 -12.7254878, 45.0594036 -12.7253697, 45.0593942 -12.7253086, 45.0593888 -12.7252346, 45.0593834 -12.7251679, 45.0593707 -12.725113, 45.0593506 -12.7250524)",,,
317632344,Rue Zaouiyani,residential,50,False,True,155.38799999999998,"LINESTRING (45.0583679 -12.7265328, 45.0584409 -12.7265459, 45.058546 -12.7265525, 45.0586149 -12.7265425, 45.0586515 -12.7265175, 45.0587325 -12.7264053, 45.0587756 -12.7263456, 45.0589055 -12.7261906, 45.0590922 -12.7259808, 45.059233 -12.7258145, 45.0593185 -12.7257207, 45.0593728 -12.725659)",,,2
317633148,Rue de l'Hôtel de Ville,residential,50,False,False,26.369999999999997,"LINESTRING (45.0583679 -12.7265328, 45.0583857 -12.7264434, 45.0584267 -12.7263029)",,,
"[533179984, 317632665]",Rue Hazali Bé Manga,residential,"['30', '50']",False,"[False, True]",467.5729999999999,"LINESTRING (45.0583679 -12.7265328, 45.0583494 -12.7266193, 45.0583253 -12.7267554, 45.058306 -12.7267861, 45.0582922 -12.7267943, 45.0582689 -12.7268082, 45.058248 -12.7268359, 45.0582312 -12.7268874, 45.0581993 -12.727014, 45.0581599 -12.7271469, 45.0581255 -12.7272518, 45.0581168 -12.727276, 45.0581027 -12.7272904, 45.0580806 -12.7273028, 45.058039 -12.7273087, 45.0580128 -12.7273042, 45.057984 -12.7272871, 45.0579679 -12.727261, 45.0579491 -12.7272067, 45.0579008 -12.7270654, 45.0578512 -12.7269385, 45.0577821 -12.7268267, 45.0575201 -12.7265251, 45.0573598 -12.7262853, 45.0572285 -12.7260833, 45.05717 -12.7259633, 45.057125 -12.7258632, 45.057068 -12.7257081, 45.0570167 -12.7255309, 45.0569458 -12.7253119, 45.0568997 -12.7250881, 45.0569782 -12.7250783, 45.0574439 -12.7250734, 45.057635 -12.7250714, 45.0577086 -12.7250712)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,False,51.744,"LINESTRING (45.0587759 -12.7248906, 45.0588966 -12.7246381, 45.0589275 -12.7245923, 45.0589751 -12.7245498, 45.0590187 -12.7244955)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,True,63.819,"LINESTRING (45.0587759 -12.7248906, 45.0587431 -12.7249867, 45.0587176 -12.7251255, 45.0587097 -12.7251951, 45.0586861 -12.7254557)",,,
533174745,Rue Charan,residential,50,False,True,65.974,"LINESTRING (45.0587759 -12.7248906, 45.0585613 -12.7248913, 45.0584798 -12.7248945, 45.0583455 -12.7248998, 45.0582529 -12.7249066, 45.0581717 -12.7249305)",,,
317632401,Rue Fatihou Soundi,residential,50,False,True,74.479,"LINESTRING (45.0590187 -12.7244955, 45.0590656 -12.7245184, 45.0591112 -12.7245439, 45.0591507 -12.724578, 45.0591829 -12.724627, 45.0592064 -12.7246964, 45.0592483 -12.7248334, 45.0592886 -12.7249462, 45.0593506 -12.7250524)",,,
"[617424160, 617424161, 317633148]",Rue de l'Hôtel de Ville,residential,50,False,False,126.887,"LINESTRING (45.0590187 -12.7244955, 45.0590322 -12.7244579, 45.0590536 -12.7243821, 45.059096 -12.7242556, 45.0591577 -12.7240714, 45.0591692 -12.7240517, 45.0591762 -12.7240449, 45.0592929 -12.7239482, 45.0594217 -12.7238414, 45.059575 -12.7236922, 45.0596731 -12.7235928)",,yes,
317633148,Rue de l'Hôtel de Ville,residential,50,False,True,51.744,"LINESTRING (45.0590187 -12.7244955, 45.0589751 -12.7245498, 45.0589275 -12.7245923, 45.0588966 -12.7246381, 45.0587759 -12.7248906)",,,
"[533174746, 317632341]",Rue Charan,residential,50,False,False,102.199,"LINESTRING (45.0584267 -12.7263029, 45.0582019 -12.7262498, 45.0581443 -12.7262223, 45.0580853 -12.7261857, 45.0580396 -12.7261255, 45.0580034 -12.7260516, 45.0579518 -12.7259685, 45.0579243 -12.7259008, 45.0579143 -12.7258531, 45.0579075 -12.7257946, 45.0579045 -12.7257338, 45.0579032 -12.7256663)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,False,46.838,"LINESTRING (45.0584267 -12.7263029, 45.0584675 -12.7262249, 45.0585794 -12.7259096)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,True,26.369999999999997,"LINESTRING (45.0584267 -12.7263029, 45.0583857 -12.7264434, 45.0583679 -12.7265328)",,,
533174746,Rue Charan,residential,50,False,True,20.004,"LINESTRING (45.0579029 -12.7254864, 45.0579032 -12.7256663)",,,
317632343,Rue Pascal,residential,50,False,False,86.053,"LINESTRING (45.0579029 -12.7254864, 45.0579773 -12.7254826, 45.0581415 -12.725457, 45.0582583 -12.7254361, 45.0584033 -12.7254164, 45.0584728 -12.7254126, 45.0585553 -12.7254289, 45.0586861 -12.7254557)",,,
533174746,Rue Charan,residential,50,False,False,43.452999999999996,"LINESTRING (45.0579029 -12.7254864, 45.0579069 -12.7253622, 45.0579236 -12.7252709, 45.0579454 -12.7251997, 45.0579679 -12.7251408, 45.0579854 -12.7251084)",,,
317632665,Rue Hazali Bé Manga,residential,50,False,False,30.306,"LINESTRING (45.0579854 -12.7251084, 45.0577086 -12.7250712)",,,
533174745,Rue Charan,residential,50,False,False,28.405,"LINESTRING (45.0579854 -12.7251084, 45.0580162 -12.7250672, 45.058096 -12.7249901, 45.0581366 -12.7249576, 45.0581717 -12.7249305)",,,
533174746,Rue Charan,residential,50,False,True,43.452999999999996,"LINESTRING (45.0579854 -12.7251084, 45.0579679 -12.7251408, 45.0579454 -12.7251997, 45.0579236 -12.7252709, 45.0579069 -12.7253622, 45.0579029 -12.7254864)",,,
317632664,Impasse Dadi Droua,residential,50,False,False,52.385000000000005,"LINESTRING (45.0581717 -12.7249305, 45.0579947 -12.7248579, 45.0578198 -12.7247899, 45.057754 -12.7247683, 45.0577213 -12.7247624)",,,
533174745,Rue Charan,residential,50,False,False,65.974,"LINESTRING (45.0581717 -12.7249305, 45.0582529 -12.7249066, 45.0583455 -12.7248998, 45.0584798 -12.7248945, 45.0585613 -12.7248913, 45.0587759 -12.7248906)",,,
533174745,Rue Charan,residential,50,False,True,28.405,"LINESTRING (45.0581717 -12.7249305, 45.0581366 -12.7249576, 45.058096 -12.7249901, 45.0580162 -12.7250672, 45.0579854 -12.7251084)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,False,36.658,"LINESTRING (45.0585794 -12.7259096, 45.058674 -12.7255931)",,,
317632342,Rue Said Toumbou,residential,50,False,False,78.737,"LINESTRING (45.0585794 -12.7259096, 45.0583509 -12.7258006, 45.0582837 -12.7257727, 45.0581878 -12.7257285, 45.058104 -12.725701, 45.0580256 -12.725684, 45.0579032 -12.7256663)",,,
317633148,Rue de l'Hôtel de Ville,residential,50,False,True,46.838,"LINESTRING (45.0585794 -12.7259096, 45.0584675 -12.7262249, 45.0584267 -12.7263029)",,,
