osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,junction
55700527,D 215e1,Avenue Jean Marcel Despagne,tertiary,50,False,False,103.12300000000002,"LINESTRING (-1.097634 44.7483871, -1.0978167 44.7482358, -1.0980015 44.748102, -1.0981767 44.747979, -1.0984245 44.7477994, -1.0985371 44.7477178)",,,
55700527,D 215e1,Avenue Jean Marcel Despagne,tertiary,50,False,True,119.366,"LINESTRING (-1.097634 44.7483871, -1.0974806 44.7485355, -1.09683 44.7491791, -1.0967513 44.7492585)",,,
534252164,,,residential,,False,False,75.70100000000001,"LINESTRING (-1.097634 44.7483871, -1.0975899 44.7483566, -1.097283 44.7481222, -1.0970147 44.7479475, -1.0969326 44.7479429)",,,
35108306,,Avenue des Champs,residential,,False,True,91.701,"LINESTRING (-1.0897053 44.7470053, -1.0902474 44.7477346)",,,
1263524136,,Avenue Jean Sacchetti,residential,50,False,True,6.421,"LINESTRING (-1.0897053 44.7470053, -1.0896601 44.7469573)",2,,
"[1263524137, 554480074]",D 215,Avenue de Bordeaux,secondary,"['50', '30']",True,False,36.441,"LINESTRING (-1.0897053 44.7470053, -1.0898457 44.7469563, -1.0899428 44.7469216, -1.0901182 44.746859)",1,,
35145782,,Avenue de l'Espérance,residential,,True,False,202.42399999999998,"LINESTRING (-1.0862962 44.7466813, -1.0864482 44.7466091, -1.0876623 44.7460324, -1.0877525 44.7459886, -1.0883427 44.7457015, -1.088382 44.7456825, -1.0884212 44.7456634)",,,
"[1263524136, 35145791]",,Avenue Jean Sacchetti,residential,"['30', '50']",False,False,173.99099999999999,"LINESTRING (-1.0884212 44.7456634, -1.0887462 44.7460042, -1.0895293 44.7468196, -1.0896034 44.7468968, -1.0896601 44.7469573)",2,,
35145791,,Avenue Jean Sacchetti,residential,30,False,True,107.88499999999999,"LINESTRING (-1.0884212 44.7456634, -1.0883244 44.7455624, -1.088242 44.7454764, -1.0879388 44.7451612, -1.0879173 44.7451365, -1.0878979 44.7451163, -1.0876527 44.7448613)",2,,
59175373,,Avenue du Bois,residential,,False,True,62.233000000000004,"LINESTRING (-1.0870691 44.7435858, -1.0871003 44.7436112, -1.0872014 44.743688, -1.087373 44.7437261, -1.087534 44.7436956, -1.0877637 44.7436329)",,,
254533482,D 3E8,Avenue des Colonies,tertiary,30,False,True,42.03,"LINESTRING (-1.0870691 44.7435858, -1.0868931 44.7437279, -1.0867909 44.7438021, -1.0867049 44.7438611)",2,,
100163284,,Allée du Stade,residential,,False,False,65.61,"LINESTRING (-1.0931168 44.7439444, -1.0924586 44.7443044)",,,
100163284,,Allée du Stade,residential,,False,True,39.858,"LINESTRING (-1.0931168 44.7439444, -1.0934043 44.743809, -1.0934748 44.7437758, -1.0935374 44.7437463)",,,
100163284,,Allée du Stade,residential,,False,False,48.124,"LINESTRING (-1.0924244 44.7443245, -1.0919288 44.7445763)",,,
100163284,,Allée du Stade,residential,,False,True,3.506,"LINESTRING (-1.0924244 44.7443245, -1.0924586 44.7443044)",,,
791122881,,Rue du 11 Novembre,residential,,False,False,79.837,"LINESTRING (-1.0952913 44.7435182, -1.0946229 44.7439599, -1.0945764 44.7440211)",,destination,
"[791122880, 1068542396]",,Rue des Marins,residential,30,False,False,56.25500000000001,"LINESTRING (-1.0952913 44.7435182, -1.0953649 44.7435738, -1.0957233 44.7438273, -1.095775 44.7438873)",,,
572147041,,Rue Bertin Lallande,residential,,False,True,5.721,"LINESTRING (-1.0938029 44.7452058, -1.0937489 44.7451715)",,,
1068542399,D 215,Avenue de Bordeaux,secondary,50,True,False,7.026,"LINESTRING (-1.0938029 44.7452058, -1.093873 44.7451669)",,,
59175373,,Avenue du Bois,residential,,False,True,97.848,"LINESTRING (-1.0877637 44.7436329, -1.0888413 44.7431987)",,,
100163289,,Allée des Pervenches,residential,,False,False,117.814,"LINESTRING (-1.0877637 44.7436329, -1.0885991 44.7445107)",,,
59175373,,Avenue du Bois,residential,,False,False,62.233,"LINESTRING (-1.0877637 44.7436329, -1.087534 44.7436956, -1.087373 44.7437261, -1.0872014 44.743688, -1.0871003 44.7436112, -1.0870691 44.7435858)",,,
"[655078248, 55700527]",D 215e1,Avenue Jean Marcel Despagne,tertiary,"['30', '50']",False,False,85.327,"LINESTRING (-1.0946176 44.7513482, -1.0946978 44.7512671, -1.0948885 44.7510859, -1.0952542 44.7507282)",,,
1068666183,D 215e1,Avenue Jean Marcel Despagne,tertiary,30,False,True,15.733,"LINESTRING (-1.0946176 44.7513482, -1.0945611 44.7514022, -1.0944994 44.7514621)",,,
