osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,tunnel
353599025,Rue du Général de Gaulle,secondary,30,False,True,14.241,"LINESTRING (-1.6860422 48.1519813, -1.6859991 48.1518565)",,,
5010956,Rue du Général de Gaulle,secondary,30,False,False,107.978,"LINESTRING (-1.6860422 48.1519813, -1.6860637 48.1520719, -1.6860784 48.1521443, -1.6861 48.1522408, -1.6861169 48.1523162, -1.6861679 48.1525136, -1.6861957 48.1526211, -1.6862163 48.1526946, -1.6863214 48.1529328)",,,
482646940,Boulevard de la Belle Épine,tertiary,,False,True,150.322,"LINESTRING (-1.6860422 48.1519813, -1.6861836 48.1519768, -1.6862502 48.1519703, -1.6876952 48.1518187, -1.688046 48.1517837)",,,
58699243,Rue Alphonse Milon,residential,,False,True,11.398,"LINESTRING (-1.6847608 48.1519604, -1.6847745 48.1518583)",,,
5010952,Rue de la Duchesse Anne,tertiary,30,True,False,95.176,"LINESTRING (-1.6847608 48.1519604, -1.6848472 48.1519703, -1.6849581 48.1519747, -1.6858924 48.1519781, -1.6859518 48.1519789, -1.6860422 48.1519813)",2,,
190586366,Rue Alphonse Milon,residential,30,True,False,123.27199999999999,"LINESTRING (-1.6847608 48.1519604, -1.6847464 48.1520676, -1.684692 48.1524578, -1.6846597 48.1526921, -1.6846285 48.1529195, -1.684587 48.1530623)",,,
224913010,Rue du Général de Gaulle,secondary,30,False,False,59.583,"LINESTRING (-1.6856903 48.1506217, -1.6856768 48.1505362, -1.6856626 48.1503934, -1.6856499 48.150252, -1.6856489 48.1500869)",,,
225035572,Rue du Général de Gaulle,secondary,30,True,False,66.899,"LINESTRING (-1.6856903 48.1506217, -1.6856502 48.1506649, -1.6857545 48.151103, -1.6857798 48.1512089)",1,,
5048539,Rue Paul-Émile Victor,tertiary,30,False,False,312.36999999999995,"LINESTRING (-1.6919613 48.154327, -1.6919684 48.1542775, -1.692014 48.1539576, -1.6920227 48.1538962, -1.6920117 48.1534948, -1.6920104 48.1534491, -1.6920494 48.153331, -1.692099 48.153259, -1.6921179 48.1531374, -1.6920898 48.1528408, -1.6920801 48.1527374, -1.6920347 48.1522707, -1.6920124 48.1522237, -1.6919448 48.1521471, -1.6918999 48.1520718, -1.691874 48.1519128, -1.6918551 48.151686, -1.6918478 48.1516137, -1.6918462 48.1515541)",2,,
"[458513262, 49501246]",Boulevard Robert Schuman,tertiary,30,False,False,88.265,"LINESTRING (-1.6919613 48.154327, -1.6917913 48.1542945, -1.6917267 48.1542817, -1.6910045 48.1541422, -1.6908184 48.1541062)",,,
5048536,,tertiary,,True,False,20.355999999999998,"LINESTRING (-1.6918462 48.1515541, -1.691901 48.151552, -1.6919523 48.151539, -1.6919956 48.1515165, -1.6920268 48.1514863, -1.692043 48.1514514)",,roundabout,
5048539,Rue Paul-Émile Victor,tertiary,30,False,True,312.37,"LINESTRING (-1.6918462 48.1515541, -1.6918478 48.1516137, -1.6918551 48.151686, -1.691874 48.1519128, -1.6918999 48.1520718, -1.6919448 48.1521471, -1.6920124 48.1522237, -1.6920347 48.1522707, -1.6920801 48.1527374, -1.6920898 48.1528408, -1.6921179 48.1531374, -1.692099 48.153259, -1.6920494 48.153331, -1.6920104 48.1534491, -1.6920117 48.1534948, -1.6920227 48.1538962, -1.692014 48.1539576, -1.6919684 48.1542775, -1.6919613 48.154327)",2,,
5048536,,tertiary,,True,False,19.233999999999998,"LINESTRING (-1.692043 48.1514514, -1.6920434 48.1514168, -1.6920291 48.1513835, -1.6920013 48.1513543, -1.6919623 48.1513315, -1.6919153 48.151317)",,roundabout,
5048536,,tertiary,,True,False,14.84,"LINESTRING (-1.6919153 48.151317, -1.691849 48.1513123, -1.6917846 48.1513238, -1.6917308 48.1513501)",,roundabout,
5048536,,tertiary,,True,False,15.608,"LINESTRING (-1.6916904 48.151471, -1.6917111 48.1514998, -1.6917472 48.1515267, -1.6917936 48.1515454, -1.6918462 48.1515541)",,roundabout,
