osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,lanes,access,tunnel,width
630948250,Avenue Saint-Hermentaire,residential,45,False,False,98.03399999999999,"LINESTRING (6.4574959 43.5334282, 6.4576873 43.533628, 6.4576984 43.5336396, 6.4577907 43.5337359, 6.4579984 43.5339526, 6.4580132 43.5339688, 6.4580295 43.5339885, 6.4581008 43.5340915, 6.4581566 43.5341668)",,,,,,
307255498,Avenue du 4 Septembre,secondary,50,False,False,201.303,"LINESTRING (6.4566724 43.5349328, 6.4575224 43.5352764, 6.4575434 43.5352866, 6.4575663 43.5352978, 6.4584684 43.5356733, 6.4586078 43.5357304, 6.4588435 43.535827)",D 557,,,,,
40125623,Allées d'Azémar,tertiary,,False,False,32.94,"LINESTRING (6.4602847 43.5364046, 6.4603164 43.536363, 6.4604403 43.5361998, 6.4604631 43.5361697, 6.4604763 43.5361524, 6.4604818 43.5361451)",,,,,,
156403904,Boulevard Maréchal Joffre,secondary,,False,False,125.375,"LINESTRING (6.4602847 43.5364046, 6.4603989 43.5364572, 6.4606616 43.536578, 6.4606995 43.5365955, 6.4608343 43.5367507, 6.4612183 43.5371968, 6.4612625 43.53725)",D 557,,,,,
307255498,Avenue du 4 Septembre,secondary,50,False,True,85.28900000000002,"LINESTRING (6.4602847 43.5364046, 6.4602117 43.5363757, 6.4600893 43.5363273, 6.4597805 43.5362051, 6.459622 43.5361424, 6.4595114 43.536099, 6.459356 43.5360371)",D 557,,,,,
40319899,Chemin des Areniers,residential,,False,False,39.542,"LINESTRING (6.4574375 43.5410851, 6.4576072 43.541198, 6.457822 43.5413045)",,,,,,
967277936,Chemin des Areniers,residential,,True,False,28.05,"LINESTRING (6.4574375 43.5410851, 6.457379 43.5410719, 6.457307 43.5410262, 6.4572345 43.540979, 6.457205 43.5409523, 6.4571846 43.5409221)",,,,,,
40319899,Chemin des Areniers,residential,,False,True,39.542,"LINESTRING (6.457822 43.5413045, 6.4576072 43.541198, 6.4574375 43.5410851)",,,,,,
40355776,Avenue Reine Jeanne,residential,,False,True,107.32400000000001,"LINESTRING (6.457822 43.5413045, 6.4576633 43.5414376, 6.4574095 43.5415812, 6.4567065 43.5418033)",,,,,,
39988721,Rue de l'Horloge,residential,,True,False,101.464,"LINESTRING (6.4658549 43.5397623, 6.4658381 43.5397796, 6.4657721 43.5399017, 6.4657606 43.5400415, 6.4657869 43.540063, 6.4658032 43.5400763, 6.4660786 43.5402947, 6.4661517 43.5403522, 6.4662468 43.5404222, 6.4663865 43.5404207)",,,,,,
39988724,Rue de la Ménudière,residential,,False,False,27.005999999999997,"LINESTRING (6.4658549 43.5397623, 6.4659702 43.5396616, 6.4660174 43.5396186, 6.4660603 43.539586, 6.4660717 43.5395773)",,,,,,
39989091,Rue Edmond Poupé,residential,,False,False,46.848,"LINESTRING (6.4645799 43.5377895, 6.4646039 43.5377764, 6.4650384 43.5375306)",,,,,,
933024778,Place Pasteur,tertiary,,True,False,7.115,"LINESTRING (6.4682089 43.5366885, 6.4682279 43.5366966, 6.4682434 43.536708, 6.4682543 43.5367219, 6.4682598 43.5367374)",,roundabout,,,,
39989093,Rue Adolphe Giraud,residential,,False,False,48.045,"LINESTRING (6.4644289 43.536976, 6.4639576 43.5372405)",,,,,,
