osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,junction,width,tunnel
128240543,True,D 1250,Boulevard de la Plage,secondary,50,False,16.066,,"LINESTRING (-1.164172 44.6626012, -1.1640021 44.6626804)",,,
718828060,True,D 1250,Avenue Nelly Deganne,secondary,50,False,8.902999999999999,1,"LINESTRING (-1.164172 44.6626012, -1.1641811 44.6626426, -1.1642128 44.6626734)",,,
32746071,True,,Place des Compagnons de la Libération,secondary,,False,19.448,,"LINESTRING (-1.1650655 44.659351, -1.1650566 44.6593854, -1.1650625 44.6594202, -1.1650826 44.6594521, -1.1651151 44.6594783, -1.165157 44.6594966)",roundabout,,
32745671,False,,Place Carnot,residential,30,True,113.11800000000001,,"LINESTRING (-1.1723748 44.6624737, -1.1723693 44.6625177, -1.1723637 44.6625631, -1.1722681 44.6633383, -1.1722606 44.6633998, -1.1722589 44.6634134, -1.1722498 44.6634871)",,,
718321310,True,D 650,Boulevard de la Plage,secondary,50,False,144.61700000000002,1,"LINESTRING (-1.1723748 44.6624737, -1.1724995 44.6624815, -1.1727917 44.6624999, -1.1740549 44.6625958, -1.1741303 44.6626015, -1.174194 44.6626044)",,,
32745684,False,,Allée Faust,residential,,False,77.64699999999999,,"LINESTRING (-1.1744142 44.6586133, -1.1745092 44.6586118, -1.1750858 44.6583955, -1.1752859 44.6583081)",,,
51561548,False,,Allée du Moulin Rouge,residential,,True,112.67000000000002,,"LINESTRING (-1.1744142 44.6586133, -1.1744247 44.6585893, -1.1744227 44.6585158, -1.1744037 44.658434, -1.1742737 44.6580918, -1.1741964 44.6578349, -1.1741997 44.6576204)",,,
51817733,False,,Allée du Moulin Rouge,residential,50,False,73.515,2,"LINESTRING (-1.1744142 44.6586133, -1.1743113 44.658696, -1.1741308 44.659107, -1.1740358 44.6592063)",,,
51398436,True,,Allée Turenne,residential,,False,180.422,,"LINESTRING (-1.1729544 44.6571621, -1.1728571 44.657216, -1.1711554 44.6581597)",,,
40781673,True,,Allée d'Espagne,residential,,False,77.998,,"LINESTRING (-1.1741997 44.6576204, -1.1744381 44.6575893, -1.1747653 44.6576069, -1.1749771 44.6576425, -1.1751722 44.6576664)",,,
51561548,False,,Allée du Moulin Rouge,residential,,False,112.67,,"LINESTRING (-1.1741997 44.6576204, -1.1741964 44.6578349, -1.1742737 44.6580918, -1.1744037 44.658434, -1.1744227 44.6585158, -1.1744247 44.6585893, -1.1744142 44.6586133)",,,
51754794,True,,Allée Pasteur,residential,50,False,180.26600000000005,1,"LINESTRING (-1.1740358 44.6592063, -1.1746163 44.6591592, -1.1749542 44.6591026, -1.175123 44.6590398, -1.1751783 44.6590194, -1.1754567 44.6589255, -1.1755804 44.6589111, -1.1758613 44.6589025, -1.1760498 44.6588879, -1.1762384 44.6588677)",,,
51817733,False,,Allée du Moulin Rouge,residential,50,True,73.515,2,"LINESTRING (-1.1740358 44.6592063, -1.1741308 44.659107, -1.1743113 44.658696, -1.1744142 44.6586133)",,,
568912411,False,,Allée du Moulin Rouge,residential,50,False,89.486,2,"LINESTRING (-1.1740358 44.6592063, -1.1739139 44.6592564, -1.1735345 44.6592853, -1.1731395 44.6593049, -1.172935 44.6593475)",,,
32745654,True,,Avenue Gambetta,residential,50,False,61.018,1,"LINESTRING (-1.1683956 44.6603629, -1.168382 44.6604513, -1.1683899 44.6605629, -1.1684212 44.6608621, -1.1684293 44.6609098)",,,
32745964,True,,Place Franklin Roosevelt,tertiary,50,False,20.262,2,"LINESTRING (-1.1683956 44.6603629, -1.1684438 44.6603505, -1.1684832 44.6603272, -1.1685091 44.6602958, -1.1685185 44.6602599, -1.1685102 44.660224)",roundabout,,
32745964,True,,Place Franklin Roosevelt,tertiary,50,False,9.572,2,"LINESTRING (-1.1685102 44.660224, -1.1684919 44.6601984, -1.1684647 44.6601773, -1.1684304 44.6601621)",roundabout,,
"[141971801, 51817617]",False,,Cours Tartas,tertiary,50,True,141.221,2,"LINESTRING (-1.1685102 44.660224, -1.1686373 44.6602165, -1.168672 44.6602171, -1.1691878 44.6602452, -1.1694177 44.6602542, -1.1694966 44.6602606, -1.1697484 44.660278, -1.1701271 44.6603125, -1.1702193 44.6603201, -1.1702879 44.660323)",,,
32745964,True,,Place Franklin Roosevelt,tertiary,50,False,8.682,2,"LINESTRING (-1.1683767 44.6601531, -1.1683402 44.6601551, -1.1683055 44.6601634, -1.1682747 44.6601774)",roundabout,,
