osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,lanes
30883684,D 6,Avenue Pasteur,secondary,50,False,False,83.378,"LINESTRING (-0.6767796 44.8715192, -0.6766746 44.8714737, -0.6765163 44.8713906, -0.6763401 44.8712983, -0.6761985 44.8712204, -0.6760268 44.871124, -0.6759343 44.8710692)",,,
171860260,,,secondary,50,True,False,33.150000000000006,"LINESTRING (-0.6767796 44.8715192, -0.6767451 44.8715473, -0.6767258 44.871582, -0.6767237 44.8716192, -0.676739 44.8716549, -0.6767701 44.8716849, -0.6768135 44.871706, -0.6768642 44.8717157, -0.6769167 44.871713)",roundabout,,
26309640,,Rue de Tanays,residential,,False,False,102.065,"LINESTRING (-0.6753795 44.8707482, -0.6754415 44.8706785, -0.6754463 44.8705597, -0.6753938 44.870309, -0.6753453 44.8701071, -0.6752678 44.8698546)",,,
"[738223262, 738223263]",D 6,Avenue Pasteur,secondary,50,False,False,319.83799999999997,"LINESTRING (-0.6753795 44.8707482, -0.675194 44.8706531, -0.6741041 44.8700522, -0.6739713 44.8699748, -0.6729016 44.8693925, -0.6721657 44.8689918)",,,
"[30883684, 738223262]",D 6,Avenue Pasteur,secondary,50,False,True,56.444,"LINESTRING (-0.6753795 44.8707482, -0.6755186 44.8708272, -0.6757224 44.8709429, -0.6759343 44.8710692)",,,
26299402,,Rue de Los Heros,tertiary,,False,False,40.856,"LINESTRING (-0.6718168 44.8687972, -0.6718042 44.8689017, -0.6718682 44.8691603)",,,
753947088,D 6,Avenue Pasteur,secondary,50,False,True,34.989,"LINESTRING (-0.6718168 44.8687972, -0.6719957 44.8688969, -0.6721657 44.8689918)",,,
"[771102553, 753947086, 753947087]",D 6,Avenue Pasteur,secondary,50,False,False,166.67,"LINESTRING (-0.6718168 44.8687972, -0.67166 44.8687093, -0.671299 44.8685112, -0.6710338 44.868365, -0.6707959 44.8682338, -0.6704136 44.868023, -0.6702936 44.8679568, -0.6701479 44.8678765)",,,
"[26299402, 816549182, 816549183]",,Rue de Los Heros,tertiary,,False,False,232.55900000000003,"LINESTRING (-0.6730646 44.8703805, -0.6732134 44.8705288, -0.6732714 44.8706013, -0.6733409 44.8706884, -0.6734012 44.8707764, -0.6734893 44.8709048, -0.6735934 44.8711068, -0.6738351 44.8715926, -0.6739626 44.8718307, -0.6740954 44.872067, -0.6742245 44.8722285, -0.6742667 44.8722813)",,5,
26299402,,Rue de Los Heros,tertiary,,False,True,94.482,"LINESTRING (-0.6730646 44.8703805, -0.6727924 44.8701581, -0.6724571 44.8699081, -0.6723844 44.8698355, -0.6722854 44.8697365)",,,
28120626,,Impasse Bel Air,residential,,False,False,133.83800000000002,"LINESTRING (-0.6730646 44.8703805, -0.6730008 44.8704031, -0.672952 44.8704204, -0.6717868 44.8707643, -0.6715758 44.8708266, -0.6715436 44.8707734)",,,
26299420,,,tertiary,,True,False,8.212000000000002,"LINESTRING (-0.6742095 44.8723553, -0.6742132 44.8723798, -0.6742259 44.8724027, -0.6742467 44.8724224)",roundabout,8,
28120863,,Allée Magdeleine Jarousse de Sillac,residential,,True,False,126.541,"LINESTRING (-0.6742095 44.8723553, -0.6741362 44.8724057, -0.6740778 44.8724388, -0.6729016 44.8730138)",,,
26299402,,Rue de Los Heros,tertiary,,False,False,72.281,"LINESTRING (-0.6718682 44.8691603, -0.6719486 44.8693238, -0.6720179 44.869418, -0.6722854 44.8697365)",,,
26299402,,Rue de Los Heros,tertiary,,False,True,40.856,"LINESTRING (-0.6718682 44.8691603, -0.6718042 44.8689017, -0.6718168 44.8687972)",,,
398722340,,,tertiary_link,,True,False,32.878,"LINESTRING (-0.6718682 44.8691603, -0.671888 44.8691016, -0.6719373 44.8690547, -0.6720066 44.8690187, -0.6720898 44.8690034, -0.6721657 44.8689918)",,,
26299420,,,tertiary,,True,False,9.701,"LINESTRING (-0.6742667 44.8722813, -0.6742368 44.8723012, -0.6742171 44.8723267, -0.6742095 44.8723553)",roundabout,8,
"[26299402, 816549182, 816549183]",,Rue de Los Heros,tertiary,,False,True,232.55900000000003,"LINESTRING (-0.6742667 44.8722813, -0.6742245 44.8722285, -0.6740954 44.872067, -0.6739626 44.8718307, -0.6738351 44.8715926, -0.6735934 44.8711068, -0.6734893 44.8709048, -0.6734012 44.8707764, -0.6733409 44.8706884, -0.6732714 44.8706013, -0.6732134 44.8705288, -0.6730646 44.8703805)",,5,
772920824,,Rue de Los Heros,tertiary,30,False,True,71.187,"LINESTRING (-0.6770859 44.8759851, -0.6770555 44.8758935, -0.6769833 44.8756505, -0.6769145 44.875467, -0.6768682 44.8753642)",,,2
