osmid,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,ref,access,lanes,width,tunnel,junction
"[30438720, 634361016]",Avenue Lénine,secondary,False,True,118.191,yes,"LINESTRING (-3.3452901 47.7617882, -3.3443688 47.7618443, -3.3441096 47.7618539, -3.3437139 47.7618713)",,,,,,,
53033481,Avenue Lénine,secondary,True,False,30.144,,"LINESTRING (-3.3452901 47.7617882, -3.3454774 47.7617931, -3.3456918 47.7618098)",,,,,,,
30438716,Avenue François Billoux,secondary,True,False,26.723,,"LINESTRING (-3.3494079 47.7631669, -3.3491474 47.7630023)",,,,,,,
30438717,Avenue François Billoux,secondary,False,False,126.30199999999999,,"LINESTRING (-3.3494079 47.7631669, -3.349579 47.7633077, -3.3499892 47.7636407, -3.350237 47.7638419, -3.3504841 47.7640426)",,,,,,,
907684809,Avenue Général Leclerc,secondary,False,False,38.445,,"LINESTRING (-3.3494079 47.7631669, -3.3495458 47.7630746, -3.3497768 47.762926)",,,,,,,
26519907,Avenue Général Leclerc,secondary,False,True,69.205,,"LINESTRING (-3.3508131 47.7622867, -3.350221 47.762648, -3.3501274 47.7627049)",,,,,,,
30477279,Rue Jean-Marie Le Hen,residential,False,False,142.613,,"LINESTRING (-3.3508131 47.7622867, -3.3507693 47.7622369, -3.3504491 47.7618647, -3.3503901 47.7617961, -3.3501934 47.7615675, -3.3498573 47.7611767)",30,,,,,,
30438717,Avenue François Billoux,secondary,False,True,126.30199999999999,,"LINESTRING (-3.3504841 47.7640426, -3.350237 47.7638419, -3.3499892 47.7636407, -3.349579 47.7633077, -3.3494079 47.7631669)",,,,,,,
"[853002106, 30446051]","['Rue des Déportés', 'Rue René Cassin']",residential,False,False,207.65,,"LINESTRING (-3.3504841 47.7640426, -3.3505496 47.7640028, -3.3506314 47.7639532, -3.3507016 47.7639105, -3.3507508 47.7638806, -3.3510663 47.7636891, -3.3512723 47.763564, -3.3511825 47.7634969, -3.3511545 47.7634759, -3.3510783 47.7634162, -3.3509391 47.7633149, -3.3507494 47.7631731, -3.3505616 47.7630327, -3.3503078 47.7628429, -3.350228 47.7627833, -3.3501274 47.7627049)",30,,,,,,
26519907,Avenue Général Leclerc,secondary,False,True,35.933,,"LINESTRING (-3.3501274 47.7627049, -3.3497768 47.762926)",,,,,,,
26519907,Avenue Général Leclerc,secondary,False,False,69.205,,"LINESTRING (-3.3501274 47.7627049, -3.350221 47.762648, -3.3508131 47.7622867)",,,,,,,
"[853002106, 30446051]","['Rue des Déportés', 'Rue René Cassin']",residential,False,True,207.64999999999998,,"LINESTRING (-3.3501274 47.7627049, -3.350228 47.7627833, -3.3503078 47.7628429, -3.3505616 47.7630327, -3.3507494 47.7631731, -3.3509391 47.7633149, -3.3510783 47.7634162, -3.3511545 47.7634759, -3.3511825 47.7634969, -3.3512723 47.763564, -3.3510663 47.7636891, -3.3507508 47.7638806, -3.3507016 47.7639105, -3.3506314 47.7639532, -3.3505496 47.7640028, -3.3504841 47.7640426)",30,,,,,,
"[1028304419, 37936155]",Rue Jules Guesde,tertiary,True,False,67.902,,"LINESTRING (-3.3382336 47.7668718, -3.3382398 47.7667703, -3.3382347 47.7667338, -3.3380925 47.7665745, -3.3378736 47.7663285)",,,,,,,
715436317,Avenue François Mitterrand,secondary,False,False,47.78,,"LINESTRING (-3.3382336 47.7668718, -3.3385006 47.766917, -3.3388535 47.7669768)",,D 194,,,,,
30473741,Place Commerciale,tertiary,False,False,13.342,,"LINESTRING (-3.3478159 47.7680936, -3.3476403 47.7681152)",,,,,,,
30473744,Avenue Georges Guieysse,tertiary,False,True,129.026,,"LINESTRING (-3.3478159 47.7680936, -3.3495381 47.7680129)",,,,,,,
30473749,Place Commerciale,residential,True,False,41.28,,"LINESTRING (-3.3478159 47.7680936, -3.3478036 47.7680108, -3.3477671 47.7677643, -3.3477627 47.7677241)",,,,,,,
