osmid,name,highway,oneway,reversed,length,geometry,junction,ref,maxspeed,lanes
26319198,Rue Antonin Larroque,residential,False,False,95.67099999999999,"LINESTRING (-0.7217328 44.8937052, -0.7217087 44.8937697, -0.7215875 44.8941172, -0.7215786 44.8941439, -0.7214383 44.8945399)",,,,
49539778,Rue Armand Berlan,residential,False,False,195.126,"LINESTRING (-0.7217328 44.8937052, -0.7216094 44.8937346, -0.7211052 44.8938381, -0.7205664 44.8939158, -0.7199934 44.8939673, -0.7193698 44.8939778, -0.7193345 44.893977, -0.7192991 44.8939761)",,,,
49539778,Rue Armand Berlan,residential,False,True,120.15200000000002,"LINESTRING (-0.7217328 44.8937052, -0.72188 44.8936594, -0.7227358 44.893393, -0.7228474 44.893353, -0.7229751 44.8932681, -0.7230257 44.8931836)",,,,
25738144,,residential,True,False,8.82,"LINESTRING (-0.7192991 44.8939761, -0.7192864 44.8939521, -0.7192701 44.8939384, -0.7192489 44.8939287, -0.7192246 44.8939238)",roundabout,,,
49539778,Rue Armand Berlan,residential,False,True,195.126,"LINESTRING (-0.7192991 44.8939761, -0.7193345 44.893977, -0.7193698 44.8939778, -0.7199934 44.8939673, -0.7205664 44.8939158, -0.7211052 44.8938381, -0.7216094 44.8937346, -0.7217328 44.8937052)",,,,
26319484,Rue Marcel Proust,residential,False,False,110.28399999999999,"LINESTRING (-0.7227913 44.8976072, -0.7227125 44.8976338, -0.7226137 44.8976567, -0.7223655 44.8977223, -0.7214663 44.8979258)",,,,
1180366317,Avenue du Général de Gaulle,secondary,False,False,193.065,"LINESTRING (-0.7227913 44.8976072, -0.7226614 44.8975154, -0.7225087 44.897387, -0.7222552 44.8971412, -0.7222488 44.897135, -0.7220235 44.896894, -0.7219588 44.8968159, -0.7218937 44.8967389, -0.7218354 44.896667, -0.7217311 44.8965468, -0.7214112 44.8961779)",,D 6,50,
313929375,Avenue du Général de Gaulle,secondary,False,False,15.053,"LINESTRING (-0.7211694 44.8958631, -0.7210031 44.8957964)",,D 6,50,
"[1180366317, 598212773]",Avenue du Général de Gaulle,secondary,False,True,40.046,"LINESTRING (-0.7211694 44.8958631, -0.7212069 44.8959348, -0.7212259 44.8959713, -0.7214112 44.8961779)",,D 6,50,
313929375,Avenue du Général de Gaulle,secondary,False,True,15.053,"LINESTRING (-0.7210031 44.8957964, -0.7211694 44.8958631)",,D 6,50,
26319198,Rue Antonin Larroque,residential,False,True,100.512,"LINESTRING (-0.7210031 44.8957964, -0.7210324 44.8957161, -0.7213024 44.8949177)",,,,
440617219,Avenue Montesquieu,secondary,False,False,49.738,"LINESTRING (-0.7210031 44.8957964, -0.7209095 44.8957646, -0.720665 44.8956905, -0.7204244 44.8956176)",,D 6,30,2
25738171,Rue Serge Noailles,residential,True,False,68.073,"LINESTRING (-0.7204244 44.8956176, -0.7204135 44.8955344, -0.7200503 44.8950726)",,,30,
"[25776696, 440617219]",Avenue Montesquieu,secondary,False,False,210.02399999999994,"LINESTRING (-0.7204244 44.8956176, -0.7200376 44.8955391, -0.7198221 44.8955185, -0.7194455 44.8954826, -0.7189194 44.8954677, -0.718746 44.8954744, -0.7186119 44.8954795, -0.7185242 44.8954829, -0.7184453 44.8954859, -0.7183908 44.8954884, -0.7182531 44.8954933, -0.717852 44.8955087, -0.7177958 44.8955108, -0.7177811 44.8955114)",,D 6,30,2
440617219,Avenue Montesquieu,secondary,False,True,49.738,"LINESTRING (-0.7204244 44.8956176, -0.720665 44.8956905, -0.7209095 44.8957646, -0.7210031 44.8957964)",,D 6,30,2
221251409,Avenue Montesquieu,secondary,False,True,27.042,"LINESTRING (-0.7136582 44.8950132, -0.7139814 44.8950952)",,D 6,30,
"[221251408, 598212708]",Avenue Montaigne,secondary,False,True,105.20100000000001,"LINESTRING (-0.7136582 44.8950132, -0.7135392 44.8948576, -0.7131223 44.8945412, -0.7127805 44.8943078)",,D 6,30,2
25738144,,residential,True,False,12.435,"LINESTRING (-0.7191293 44.8939976, -0.7191465 44.8940227, -0.7191778 44.8940398, -0.7192165 44.8940452, -0.7192546 44.8940378)",roundabout,,,
25738161,Rue Jean Jaurès,residential,False,False,123.14000000000001,"LINESTRING (-0.7191293 44.8939976, -0.7190792 44.8940069, -0.7189623 44.8940555, -0.7187556 44.8942118, -0.7186411 44.8943045, -0.7186241 44.8943182, -0.7180728 44.8947986)",,,30,
25738144,,residential,True,False,12.981000000000002,"LINESTRING (-0.7192246 44.8939238, -0.7191982 44.8939242, -0.7191733 44.8939303, -0.7191521 44.8939414, -0.7191367 44.8939565, -0.7191279 44.8939766, -0.7191293 44.8939976)",roundabout,,,
66943117,Rue Jean Jaurès,residential,False,True,25.958,"LINESTRING (-0.7192246 44.8939238, -0.7192244 44.8938981, -0.7192243 44.8938824, -0.7192965 44.8936973)",,,,
25738161,Rue Jean Jaurès,residential,False,False,30.563,"LINESTRING (-0.7180728 44.8947986, -0.7179259 44.895053)",,,30,
25738161,Rue Jean Jaurès,residential,False,True,123.14,"LINESTRING (-0.7180728 44.8947986, -0.7186241 44.8943182, -0.7186411 44.8943045, -0.7187556 44.8942118, -0.7189623 44.8940555, -0.7190792 44.8940069, -0.7191293 44.8939976)",,,30,
"[25776696, 440617219]",Avenue Montesquieu,secondary,False,True,210.02399999999997,"LINESTRING (-0.7177811 44.8955114, -0.7177958 44.8955108, -0.717852 44.8955087, -0.7182531 44.8954933, -0.7183908 44.8954884, -0.7184453 44.8954859, -0.7185242 44.8954829, -0.7186119 44.8954795, -0.718746 44.8954744, -0.7189194 44.8954677, -0.7194455 44.8954826, -0.7198221 44.8955185, -0.7200376 44.8955391, -0.7204244 44.8956176)",,D 6,30,2
26319508,Route de Saint-Aubin,tertiary,False,True,175.22400000000002,"LINESTRING (-0.7177811 44.8955114, -0.7177508 44.8955842, -0.7177665 44.8958519, -0.7177738 44.8958806, -0.7178724 44.8962689, -0.7179369 44.8965178, -0.7179451 44.8965493, -0.7179623 44.8966157, -0.7179889 44.8967188, -0.7180175 44.896806, -0.7180626 44.8969248, -0.7181139 44.8969827, -0.7181692 44.8970407)",,D 212,30,2
772920849,Avenue Montesquieu,secondary,False,False,37.079,"LINESTRING (-0.7177811 44.8955114, -0.7176207 44.8955181, -0.7175474 44.8955212, -0.7173112 44.8955311)",,D 6,30,
25738144,,residential,True,False,8.137,"LINESTRING (-0.7192546 44.8940378, -0.719277 44.8940253, -0.7192924 44.8940083, -0.7192992 44.8939886, -0.7192991 44.8939761)",roundabout,,,
49247570,Rue Firmin Montignac,residential,True,False,124.827,"LINESTRING (-0.7192965 44.8936973, -0.7180877 44.8931531, -0.7180571 44.8931256, -0.7180353 44.8930969, -0.7180302 44.8930771, -0.7180251 44.8930572)",,,,
66943117,Rue Jean Jaurès,residential,False,False,25.958,"LINESTRING (-0.7192965 44.8936973, -0.7192243 44.8938824, -0.7192244 44.8938981, -0.7192246 44.8939238)",,,,
171860245,Rue Jean Jaurès,residential,False,True,78.611,"LINESTRING (-0.7192965 44.8936973, -0.7195023 44.8932076, -0.7195347 44.8931041, -0.7195259 44.8930143)",,,,
49258574,,tertiary,True,False,8.998999999999999,"LINESTRING (-0.7180969 44.8930116, -0.7181056 44.8929922, -0.7181091 44.8929715, -0.7181048 44.8929515, -0.718097 44.8929328)",roundabout,,,
66113400,Rue Jean Dupérier,tertiary,True,False,33.433,"LINESTRING (-0.7180969 44.8930116, -0.7182492 44.893002, -0.7185206 44.8929966)",,,,
49251794,Place de la République,residential,True,False,56.58,"LINESTRING (-0.7156264 44.8932858, -0.7149404 44.893135)",,,,
"[598212704, 25738219]",Place de la République,tertiary,True,False,78.63900000000001,"LINESTRING (-0.7156264 44.8932858, -0.7156353 44.8932672, -0.7156514 44.8932261, -0.7156974 44.8931143, -0.7157462 44.8929905, -0.7157835 44.8928958, -0.7158644 44.8926904, -0.7158747 44.8926644, -0.715898 44.8926053)",,,30,
49106483,Rue François Mitterrand,residential,False,False,77.259,"LINESTRING (-0.7150727 44.8945968, -0.7157312 44.8947296, -0.716016 44.8947871)",,,30,
