osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,width,tunnel,bridge
19795421,False,Rue Jules Siegfried,residential,50,False,77.196,"LINESTRING (0.1091917 49.492322, 0.1092491 49.4923035, 0.1092804 49.4922973, 0.1093817 49.4922759, 0.1098792 49.4922577, 0.110161 49.4922434, 0.1102049 49.4922439, 0.1102455 49.492243)",,,,,,
"[1253227500, 533534549, 197335670]",True,Place de l'Hôtel de Ville,secondary,,False,104.30399999999999,"LINESTRING (0.1091917 49.492322, 0.1092214 49.4923699, 0.1092347 49.4924811, 0.1092903 49.4931805, 0.1092925 49.4932073, 0.1092991 49.4932548)","['2', '3']",D 6015,,,,
630306072,False,Rue de Paris,secondary,50,True,10.79,"LINESTRING (0.1076858 49.4910765, 0.1076816 49.4909795)",4,,,,,
"[630306073, 43633670]",True,Rue Louis Brindeau,secondary,30,False,178.71599999999998,"LINESTRING (0.1076858 49.4910765, 0.1074958 49.491087, 0.106833 49.4911093, 0.1067764 49.4911108, 0.105776 49.4911371, 0.1052144 49.4911519)",2,,,,,
905856180,False,Rue de Paris,secondary,50,False,69.756,"LINESTRING (0.1076858 49.4910765, 0.1076896 49.4911457, 0.107692 49.491171, 0.1077208 49.4917034)",4,,,,,
"[288956576, 884898735]",False,Rue de Paris,secondary,50,False,123.32399999999998,"LINESTRING (0.1075955 49.4898721, 0.1076138 49.4899708, 0.1076212 49.4900798, 0.1076343 49.490272, 0.1076757 49.4908909, 0.107677 49.4909105, 0.1076816 49.4909795)",4,,,,,
"[1121868633, 902041370]",False,Quai Guillaume le Testu,secondary,50,False,45.949,"LINESTRING (0.1075955 49.4898721, 0.1076918 49.4898744, 0.107733 49.4898754, 0.1077757 49.4898744, 0.1082312 49.4898632)",2,,,,,
74523668,False,Rue Dicquemare,residential,,True,134.923,"LINESTRING (0.1034344 49.4899957, 0.1034417 49.4900919, 0.1034463 49.4901525, 0.1034616 49.4903515, 0.1034634 49.4903756, 0.1034953 49.4907946, 0.1035008 49.4908662, 0.1035208 49.4911285, 0.1035238 49.4911681, 0.1035268 49.4912076)",,,,,,
533327242,False,Rue Voltaire,secondary,,False,33.433,"LINESTRING (0.1034344 49.4899957, 0.1035256 49.4899925, 0.1038966 49.4899795)",,,,,,
533327242,False,Rue Voltaire,secondary,,True,29.723,"LINESTRING (0.1034344 49.4899957, 0.1032589 49.4900019, 0.1030235 49.4900102)",,,,,,
902041907,False,Quai Lamblardie,secondary,50,True,72.79899999999999,"LINESTRING (0.112126 49.48975, 0.1120074 49.4897534, 0.1113264 49.4897727, 0.1111191 49.4897786)",2,,,,,
902042531,False,Quai Lamblardie,secondary,50,False,70.969,"LINESTRING (0.112126 49.48975, 0.1122844 49.4897442, 0.1124812 49.489737, 0.1126518 49.4897319, 0.1131073 49.4897182)",2,,,,,
41601195,False,Avenue René Coty,secondary,50,False,52.81700000000001,"LINESTRING (0.1093936 49.4946045, 0.1094262 49.4947146, 0.1094313 49.4947312, 0.1095352 49.4950705)",3,,,,,
"[43633667, 876655713, 965027867]",True,Avenue du Général Leclerc,secondary,50,False,104.288,"LINESTRING (0.1093936 49.4946045, 0.1093362 49.4946219, 0.1091235 49.4946393, 0.1081937 49.4946716, 0.1081577 49.494673, 0.1081076 49.4946746, 0.1079589 49.4946794)",2,D 6015,,,,
"[1121867672, 5002662]",False,Rue Albert André Huet,residential,,False,139.23100000000002,"LINESTRING (0.1093936 49.4946045, 0.1095823 49.4945934, 0.10963 49.4945944, 0.1096527 49.4945949, 0.1097174 49.4946038, 0.1103272 49.4947097, 0.1109265 49.4948137, 0.1111192 49.4948468, 0.1111468 49.4948515, 0.1112652 49.4948715)",,,,,,
"[1033551666, 5007476]",True,Rue du Maréchal Gallieni,residential,30,False,233.707,"LINESTRING (0.1129382 49.4951909, 0.1128708 49.4952502, 0.1128603 49.4952594, 0.1127385 49.4953893, 0.112606 49.495672, 0.1124586 49.4959525, 0.1124127 49.4960883, 0.1122311 49.496468, 0.1121498 49.496583, 0.1119305 49.4970186, 0.1119085 49.4970623, 0.111856 49.4971618)",2,,,,,
191171267,False,Rue Anatole France,residential,,False,35.505,"LINESTRING (0.1129382 49.4951909, 0.1129985 49.4952029, 0.1131797 49.4952388, 0.1133535 49.49526, 0.1134147 49.4952674)",,,,,,
"[71890970, 965125323]",False,Rue Anatole France,residential,,True,125.93899999999998,"LINESTRING (0.1129382 49.4951909, 0.1128046 49.4951652, 0.1127782 49.4951601, 0.1127518 49.495155, 0.1114316 49.4949032, 0.1114057 49.4948983, 0.1113641 49.4948904, 0.1112652 49.4948715)",2,,,,,
5002684,False,Avenue de la Résistance,residential,,False,157.291,"LINESTRING (0.1079589 49.4946794, 0.1079618 49.4947541, 0.1079658 49.4948302, 0.1079753 49.4949839, 0.1080084 49.4955193, 0.1080398 49.4960273, 0.1080376 49.4960929)",,,,,,
43633667,True,Avenue du Général Leclerc,secondary,50,False,107.605,"LINESTRING (0.1079589 49.4946794, 0.1078163 49.4946854, 0.1077835 49.4946861, 0.1066508 49.4947116, 0.1066228 49.494713, 0.1064705 49.4947203)",2,D 6015,,,,
5002684,False,Avenue de la Résistance,residential,,True,157.291,"LINESTRING (0.1080376 49.4960929, 0.1080398 49.4960273, 0.1080084 49.4955193, 0.1079753 49.4949839, 0.1079658 49.4948302, 0.1079618 49.4947541, 0.1079589 49.4946794)",,,,,,
5008831,True,Place Pierre Naze,tertiary,,False,17.305,"LINESTRING (0.1080376 49.4960929, 0.1080975 49.4960923, 0.1081602 49.4961051, 0.1082008 49.4961231, 0.1082418 49.4961557)",,,roundabout,,,
5008831,True,Place Pierre Naze,tertiary,,False,14.462,"LINESTRING (0.1082418 49.4961557, 0.1082632 49.496192, 0.1082665 49.4962337, 0.1082434 49.4962808)",,,roundabout,,,
5002686,True,Rue Édouard Herriot,residential,,False,158.409,"LINESTRING (0.1095352 49.4950705, 0.1094405 49.4950779, 0.1093855 49.4950895, 0.1092534 49.4951334, 0.1091776 49.495186, 0.1087235 49.4957131, 0.1084023 49.4960859, 0.1082418 49.4961557)",,,,,,
41601195,False,Avenue René Coty,secondary,50,False,188.351,"LINESTRING (0.1095352 49.4950705, 0.1095821 49.4951945, 0.1098934 49.495997, 0.1100121 49.4962694, 0.110081 49.4964295, 0.1100909 49.4964503, 0.1101085 49.4964867, 0.1102797 49.4966873)",3,,,,,
41601195,False,Avenue René Coty,secondary,50,True,52.817,"LINESTRING (0.1095352 49.4950705, 0.1094313 49.4947312, 0.1094262 49.4947146, 0.1093936 49.4946045)",3,,,,,
22762540,False,Rue Séry,residential,,False,94.99300000000001,"LINESTRING (0.1019665 49.4933743, 0.1019566 49.4932611, 0.1019457 49.4931478, 0.1019214 49.4929404, 0.1019209 49.4929182, 0.1019007 49.4925675, 0.101898 49.4925213)",,,,,,
"[876088073, 876088077, 876088086]",True,Avenue Foch,tertiary,,False,124.622,"LINESTRING (0.1019665 49.4933743, 0.1020686 49.4933701, 0.1027289 49.4933499, 0.1034478 49.4933265, 0.1034995 49.4933248, 0.1035648 49.4933228, 0.1036898 49.4933271)",1,D 6015,,,,
"[1033551664, 156822522]",True,Rue du Docteur Vigné,residential,50,False,82.67400000000002,"LINESTRING (0.111856 49.4971618, 0.1118247 49.4972379, 0.1117103 49.4975065, 0.1115733 49.4978127, 0.1115619 49.4978381, 0.1115444 49.4978772)",2,,,,,
905851146,False,Avenue René Coty,secondary,30,False,10.076,"LINESTRING (0.111856 49.4971618, 0.1119551 49.4971803, 0.1119901 49.4971868)",2,,,,,
987933713,False,Avenue René Coty,secondary,30,True,59.295,"LINESTRING (0.111856 49.4971618, 0.1117803 49.497148, 0.1115018 49.4970827, 0.1112466 49.4970059, 0.1110998 49.4969569)",4,,,,,
156822523,True,Rue du Maréchal Gallieni,residential,30,False,19.774,"LINESTRING (0.1144471 49.4936519, 0.1144527 49.4937372, 0.1144461 49.4937854, 0.1144167 49.4938251)",,,,,,
209977258,False,Rue Jules Lecesne,residential,,True,112.78,"LINESTRING (0.1144471 49.4936519, 0.1143597 49.4936609, 0.1129555 49.4937932, 0.112902 49.4937986)",2,,,,,
209977258,False,Rue Jules Lecesne,residential,,False,83.148,"LINESTRING (0.1117624 49.493901, 0.111855 49.4939002, 0.1122904 49.493858, 0.112902 49.4937986)",2,,,,,
209977258,False,Rue Jules Lecesne,residential,,True,174.662,"LINESTRING (0.1117624 49.493901, 0.1116469 49.4939082, 0.1113868 49.4939346, 0.110624 49.4940119, 0.1104745 49.4940271, 0.1098528 49.4940802, 0.1095387 49.4940892, 0.1093645 49.4940913)",2,,,,,
"[533353856, 541155617]",True,Rue Casimir Périer,tertiary,,False,85.82100000000001,"LINESTRING (0.1117624 49.493901, 0.1117923 49.4938342, 0.1120649 49.4933245, 0.1120978 49.4932498, 0.1121088 49.4932206, 0.1121297 49.4931674)",2,,,,,
209977258,False,Rue Jules Lecesne,residential,,False,174.662,"LINESTRING (0.1093645 49.4940913, 0.1095387 49.4940892, 0.1098528 49.4940802, 0.1104745 49.4940271, 0.110624 49.4940119, 0.1113868 49.4939346, 0.1116469 49.4939082, 0.1117624 49.493901)",2,,,,,
263478255,True,Place de l'Hôtel de Ville,secondary,,False,57.104,"LINESTRING (0.1093645 49.4940913, 0.109381 49.494382, 0.1093856 49.494463, 0.109387 49.4944888, 0.1093936 49.4946045)",3,D 6015,,,,
"[5007465, 965124967]",True,Rue Casimir Périer,tertiary,,False,162.586,"LINESTRING (0.1102797 49.4966873, 0.1103953 49.4964392, 0.1104774 49.4963074, 0.1108675 49.495585, 0.1110179 49.4953064)",2,,,,,
5008846,False,Parvis Saint-Michel,tertiary,,False,154.636,"LINESTRING (0.1102797 49.4966873, 0.1100683 49.4966807, 0.1099679 49.4966658, 0.1099129 49.496648, 0.1096052 49.4965832, 0.1093427 49.4965282, 0.1086858 49.4963901, 0.1086403 49.4963808, 0.1084057 49.4963327, 0.1083613 49.4963236, 0.1082434 49.4962808)",3,,,,,
41601195,False,Avenue René Coty,secondary,50,True,188.351,"LINESTRING (0.1102797 49.4966873, 0.1101085 49.4964867, 0.1100909 49.4964503, 0.110081 49.4964295, 0.1100121 49.4962694, 0.1098934 49.495997, 0.1095821 49.4951945, 0.1095352 49.4950705)",3,,,,,
"[1032007659, 893426052, 880255678]",False,Rue d'Ingouville,tertiary,50,True,118.29800000000002,"LINESTRING (0.1102797 49.4966873, 0.1102422 49.496827, 0.1102203 49.4968667, 0.1101816 49.4969369, 0.1100974 49.4970592, 0.1100664 49.4970934, 0.1099894 49.4971673, 0.1097619 49.4972894, 0.1095796 49.4973774, 0.1094914 49.49742, 0.1093285 49.4974987)",3,,,,,
"[927176956, 230154508]",False,Avenue René Coty,secondary,30,False,66.38499999999999,"LINESTRING (0.1102797 49.4966873, 0.1104744 49.4967531, 0.1105185 49.4967675, 0.1107589 49.496845, 0.1109055 49.4968929, 0.1110998 49.4969569)","['2', '4']",,,,,
"[1121867672, 5002662]",False,Rue Albert André Huet,residential,,True,139.231,"LINESTRING (0.1112652 49.4948715, 0.1111468 49.4948515, 0.1111192 49.4948468, 0.1109265 49.4948137, 0.1103272 49.4947097, 0.1097174 49.4946038, 0.1096527 49.4945949, 0.10963 49.4945944, 0.1095823 49.4945934, 0.1093936 49.4946045)",,,,,,
"[71890970, 965125323]",False,Rue Anatole France,residential,,False,125.93900000000001,"LINESTRING (0.1112652 49.4948715, 0.1113641 49.4948904, 0.1114057 49.4948983, 0.1114316 49.4949032, 0.1127518 49.495155, 0.1127782 49.4951601, 0.1128046 49.4951652, 0.1129382 49.4951909)",2,,,,,
541155617,True,Rue Casimir Périer,tertiary,,False,73.31700000000001,"LINESTRING (0.1112652 49.4948715, 0.1113023 49.4948007, 0.1113809 49.4946509, 0.1115927 49.4942474)",2,,,,,
70418320,True,Place Léon Meyer,residential,,False,96.55099999999999,"LINESTRING (0.1121754 49.4930435, 0.1121747 49.4929883, 0.1121739 49.4929577, 0.1121562 49.492243, 0.1121545 49.4921753)",,,,,,
