osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,name,bridge
108099234,unclassified,False,False,215.185,"LINESTRING (3.507236 45.7051349, 3.5071178 45.7053322, 3.5068976 45.7056624, 3.5068037 45.705875, 3.5067357 45.7062346, 3.5066709 45.7064359, 3.5065414 45.706592, 3.5063697 45.7067345, 3.5062466 45.706843, 3.5062188 45.7069003)",,,,
108099234,unclassified,False,True,97.273,"LINESTRING (3.507236 45.7051349, 3.5072401 45.7051387, 3.5080506 45.7047917, 3.5083083 45.7046912)",,,,
398946364,secondary,False,False,10.925,"LINESTRING (3.5001862 45.7067648, 3.5002036 45.7068623)",D 58,80,,
123303994,tertiary,True,False,36.984,"LINESTRING (3.5001862 45.7067648, 3.5004043 45.7067868, 3.5005093 45.706846, 3.5005956 45.7069052)",,,Route du Forez,
123303988,tertiary,False,True,249.46300000000002,"LINESTRING (3.5005956 45.7069052, 3.5007264 45.7069966, 3.5008683 45.707124, 3.5009972 45.7072835, 3.5011262 45.7074816, 3.5012128 45.7076514, 3.5012662 45.7078161, 3.5013012 45.7079795, 3.5013749 45.7081339, 3.5014785 45.7082476, 3.5020399 45.7086677, 3.5022327 45.7087642)",D 303,,Route du Forez,
1244602668,tertiary,True,False,31.259999999999998,"LINESTRING (3.5005956 45.7069052, 3.5003299 45.7068541, 3.5002598 45.7068566, 3.5002036 45.7068623)",,,Route du Forez,
398946364,secondary,False,True,10.925,"LINESTRING (3.5002036 45.7068623, 3.5001862 45.7067648)",D 58,80,,
398946364,secondary,False,False,302.62500000000006,"LINESTRING (3.5002036 45.7068623, 3.5002077 45.7069667, 3.500193 45.7070973, 3.4997907 45.7085715, 3.499746 45.7087406, 3.4997449 45.7091546, 3.4997683 45.7095537)",D 58,80,,
123303988,tertiary,False,False,249.46300000000005,"LINESTRING (3.5022327 45.7087642, 3.5020399 45.7086677, 3.5014785 45.7082476, 3.5013749 45.7081339, 3.5013012 45.7079795, 3.5012662 45.7078161, 3.5012128 45.7076514, 3.5011262 45.7074816, 3.5009972 45.7072835, 3.5008683 45.707124, 3.5007264 45.7069966, 3.5005956 45.7069052)",D 303,,Route du Forez,
123303988,tertiary,False,True,220.499,"LINESTRING (3.5022327 45.7087642, 3.5025033 45.7088104, 3.5026893 45.7088334, 3.5027804 45.7088446, 3.5029439 45.7089038, 3.5032066 45.7090485, 3.5033846 45.7091279, 3.5043478 45.709342, 3.5047325 45.7094127, 3.5048735 45.7094174)",D 303,,Route du Forez,
123303988,tertiary,False,False,220.49899999999997,"LINESTRING (3.5048735 45.7094174, 3.5047325 45.7094127, 3.5043478 45.709342, 3.5033846 45.7091279, 3.5032066 45.7090485, 3.5029439 45.7089038, 3.5027804 45.7088446, 3.5026893 45.7088334, 3.5025033 45.7088104, 3.5022327 45.7087642)",D 303,,Route du Forez,
123303988,tertiary,False,True,148.805,"LINESTRING (3.5048735 45.7094174, 3.5052526 45.7094214, 3.505454 45.7094724, 3.50574 45.7096742, 3.5059998 45.70986, 3.5061019 45.709933, 3.5063296 45.7100288, 3.5064608 45.7100424)",D 303,,Route du Forez,
220691826,unclassified,False,False,424.11499999999995,"LINESTRING (3.5048735 45.7094174, 3.5047089 45.7095427, 3.5043655 45.70973, 3.504151 45.7098724, 3.5039847 45.7100072, 3.5039096 45.7101458, 3.503872 45.7102882, 3.5038076 45.7104417, 3.5037057 45.7105878, 3.5035823 45.7107264, 3.5034804 45.710895, 3.5032873 45.7112621, 3.503121 45.7115955, 3.5030137 45.7118726, 3.502842 45.7121798, 3.502724 45.7123783, 3.5025363 45.7124757, 3.5023324 45.7125394, 3.5021924 45.7125512)",,,Rue des Levades,
123303988,tertiary,False,False,148.805,"LINESTRING (3.5064608 45.7100424, 3.5063296 45.7100288, 3.5061019 45.709933, 3.5059998 45.70986, 3.50574 45.7096742, 3.505454 45.7094724, 3.5052526 45.7094214, 3.5048735 45.7094174)",D 303,,Route du Forez,
123303988,tertiary,False,True,56.42,"LINESTRING (3.5064608 45.7100424, 3.5065122 45.7100477, 3.5067937 45.7100573, 3.5070564 45.7100512, 3.5071846 45.7100362)",D 303,,Route du Forez,
"[398946361, 398946362, 398946364]",secondary,False,True,47.334999999999994,"LINESTRING (3.4981972 45.7104092, 3.49835 45.7103837, 3.498744 45.7104396, 3.4987944 45.7104415)",D 58,80,Route des Carrières,yes
220691826,unclassified,False,False,69.029,"LINESTRING (3.5021924 45.7125512, 3.5020633 45.7124984, 3.5019013 45.712437, 3.5017583 45.7124259, 3.5013604 45.7124984)",,,Rue des Levades,
220691826,unclassified,False,True,424.11499999999995,"LINESTRING (3.5021924 45.7125512, 3.5023324 45.7125394, 3.5025363 45.7124757, 3.502724 45.7123783, 3.502842 45.7121798, 3.5030137 45.7118726, 3.503121 45.7115955, 3.5032873 45.7112621, 3.5034804 45.710895, 3.5035823 45.7107264, 3.5037057 45.7105878, 3.5038076 45.7104417, 3.503872 45.7102882, 3.5039096 45.7101458, 3.5039847 45.7100072, 3.504151 45.7098724, 3.5043655 45.70973, 3.5047089 45.7095427, 3.5048735 45.7094174)",,,Rue des Levades,
631842011,unclassified,False,True,38.111000000000004,"LINESTRING (3.5021924 45.7125512, 3.5022717 45.7126741, 3.50238 45.7128678)",,,Chemin de Traverse,
1244602677,residential,False,False,34.904,"LINESTRING (3.5013604 45.7124984, 3.5015488 45.7127834)",,,Impasse du Gros Chêne,
220691826,unclassified,False,False,312.959,"LINESTRING (3.5013604 45.7124984, 3.5012213 45.7124992, 3.5009269 45.712427, 3.5006748 45.7123034, 3.5001706 45.7118989, 3.4997038 45.7113557, 3.499382 45.7110074, 3.4991459 45.7107976, 3.4988402 45.7105054, 3.4987944 45.7104415)",,,Rue des Levades,
220691826,unclassified,False,True,69.029,"LINESTRING (3.5013604 45.7124984, 3.5017583 45.7124259, 3.5019013 45.712437, 3.5020633 45.7124984, 3.5021924 45.7125512)",,,Rue des Levades,
631842011,unclassified,False,False,38.111000000000004,"LINESTRING (3.50238 45.7128678, 3.5022717 45.7126741, 3.5021924 45.7125512)",,,Chemin de Traverse,
220691826,unclassified,False,True,312.95899999999995,"LINESTRING (3.4987944 45.7104415, 3.4988402 45.7105054, 3.4991459 45.7107976, 3.499382 45.7110074, 3.4997038 45.7113557, 3.5001706 45.7118989, 3.5006748 45.7123034, 3.5009269 45.712427, 3.5012213 45.7124992, 3.5013604 45.7124984)",,,Rue des Levades,
"[398946361, 398946362, 398946364]",secondary,False,False,47.335,"LINESTRING (3.4987944 45.7104415, 3.498744 45.7104396, 3.49835 45.7103837, 3.4981972 45.7104092)",D 58,80,Route des Carrières,yes
398946364,secondary,False,True,140.72500000000002,"LINESTRING (3.4987944 45.7104415, 3.4992205 45.7103682, 3.4993561 45.7103085, 3.4994826 45.7102445, 3.4996018 45.7101477, 3.4996765 45.7100327, 3.4997147 45.7099135, 3.4997669 45.7096156, 3.4997683 45.7095537)",D 58,80,,
108099234,unclassified,False,False,97.273,"LINESTRING (3.5083083 45.7046912, 3.5080506 45.7047917, 3.5072401 45.7051387, 3.507236 45.7051349)",,,,
224124165,tertiary,True,False,211.423,"LINESTRING (3.4997683 45.7095537, 3.5002351 45.7094692, 3.5007517 45.7093216, 3.5011256 45.709177, 3.5018337 45.7089148, 3.5022327 45.7087642)",,,,
