osmid,ref,name,highway,junction,oneway,reversed,length,geometry,maxspeed,lanes,bridge
13867651,M 288,Rond-Point Paul et Marie Cave,primary,roundabout,True,False,18.073,"LINESTRING (4.5109471 45.4779927, 4.5109525 45.4779523, 4.5109761 45.4779152, 4.5110155 45.4778853, 4.5110664 45.4778659)",,,
734815280,M 288,Boulevard Waldeck Rousseau,primary,,False,True,37.33,"LINESTRING (4.5109471 45.4779927, 4.5108923 45.4779986, 4.5108392 45.4780012, 4.5106451 45.4779955, 4.5104709 45.4779787)",50,,
13867651,M 288,Rond-Point Paul et Marie Cave,primary,roundabout,True,False,24.416,"LINESTRING (4.5110664 45.4778659, 4.5111177 45.4778591, 4.5111696 45.477863, 4.5112177 45.4778773, 4.5112577 45.4779008, 4.5112864 45.4779313, 4.5113012 45.4779664)",,,
29326314,,Boulevard François Delay,residential,,False,False,24.672,"LINESTRING (4.5110664 45.4778659, 4.5110374 45.4778266, 4.5110174 45.4777994, 4.5109173 45.4776702)",50,,
13867651,M 288,Rond-Point Paul et Marie Cave,primary,roundabout,True,False,13.626999999999999,"LINESTRING (4.5113012 45.4779664, 4.511302 45.4779971, 4.5112921 45.4780269, 4.5112722 45.4780541, 4.5112434 45.4780772)",,,
"[68205426, 734815279]",,Rue du Béal,residential,,False,False,29.284,"LINESTRING (4.5113012 45.4779664, 4.5113608 45.477955, 4.5114141 45.4779489, 4.5114582 45.4779473, 4.5115224 45.4779501, 4.5115815 45.4779614, 4.5116606 45.4779916)",,,
13867651,M 288,Rond-Point Paul et Marie Cave,primary,roundabout,True,False,30.820000000000004,"LINESTRING (4.5112434 45.4780772, 4.5111958 45.4780985, 4.5111411 45.4781083, 4.5110848 45.4781056, 4.5110325 45.4780907, 4.5109894 45.4780651, 4.51096 45.4780313, 4.5109471 45.4779927)",,,
"[1088560777, 13867653]",M 288,Quai de la Rive,primary,,False,False,100.95100000000001,"LINESTRING (4.5112434 45.4780772, 4.5112894 45.4781159, 4.5113138 45.4781338, 4.511363 45.4781727, 4.5114244 45.4782146, 4.5114995 45.4782593, 4.5116017 45.4783143, 4.5116793 45.4783503, 4.5117087 45.4783639, 4.5117935 45.4783991, 4.5119161 45.4784435, 4.5120032 45.478469, 4.5120836 45.478491, 4.5123202 45.4785576)",50,2,
89729458,,Rue Jean et André Dugas,residential,,False,False,5.879,"LINESTRING (4.5052975 45.4752813, 4.5053727 45.4752852)",50,,
202984180,,Rue Voltaire,residential,,False,False,9.271,"LINESTRING (4.5052975 45.4752813, 4.505179 45.4752745)",50,,
526573653,M 288,Boulevard Waldeck Rousseau,primary,,True,False,49.42400000000001,"LINESTRING (4.5052975 45.4752813, 4.5053031 45.4753784, 4.5053044 45.4754275, 4.5053448 45.4757058, 4.5053466 45.4757242)",50,,
282755186,,Rue Pasteur,residential,,False,True,59.466,"LINESTRING (4.5055031 45.4762092, 4.5053955 45.4762917, 4.5053742 45.4763082, 4.5049891 45.4766043)",50,,
732133940,M 288,Boulevard Waldeck Rousseau,primary,,True,False,30.743,"LINESTRING (4.5055031 45.4762092, 4.5054543 45.4762022, 4.5054074 45.4761892, 4.5053773 45.4761681, 4.5053472 45.4761346, 4.5053096 45.4760678, 4.5052924 45.4760247, 4.5052856 45.4760051)",50,,
732133945,M 288,Boulevard Waldeck Rousseau,primary,,False,False,43.599999999999994,"LINESTRING (4.5055031 45.4762092, 4.5055702 45.476253, 4.5056197 45.4762787, 4.5059457 45.4764483)",50,,
576016013,,,unclassified,,True,False,12.077000000000002,"LINESTRING (4.5059457 45.4764483, 4.5060211 45.4764354, 4.5060637 45.4764281, 4.5060962 45.4764226)",,,
732133945,M 288,Boulevard Waldeck Rousseau,primary,,False,True,43.599999999999994,"LINESTRING (4.5059457 45.4764483, 4.5056197 45.4762787, 4.5055702 45.476253, 4.5055031 45.4762092)",50,,
"[1089772024, 1089772025, 288647284]",M 288,Boulevard Waldeck Rousseau,primary,,False,False,133.007,"LINESTRING (4.5059457 45.4764483, 4.5061102 45.4765365, 4.5061557 45.4765609, 4.5062011 45.4765862, 4.506393 45.476693, 4.5069629 45.4770007, 4.5072934 45.4771816)",50,2,
288645947,M 288,Boulevard Waldeck Rousseau,primary,,False,False,263.65000000000003,"LINESTRING (4.5072934 45.4771816, 4.5073382 45.4772054, 4.5074079 45.4772349, 4.507636 45.4773039, 4.5077532 45.4773344, 4.5078124 45.4773479, 4.5080815 45.4774148, 4.5082019 45.4774447, 4.5088609 45.4776095, 4.5090075 45.4776512, 4.510057 45.4778989, 4.5102767 45.4779485, 4.5104709 45.4779787)",50,,
288645948,,,unclassified,,True,False,12.012,"LINESTRING (4.5072934 45.4771816, 4.5074111 45.4771637, 4.5074437 45.4771579)",,,
