osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,junction,tunnel
659948211,True,1,Rue Georges Clemenceau,secondary,50,False,33.091,"LINESTRING (7.0075994 43.5506749, 7.0078675 43.5504495)",,,
4698091,True,2,Rue Georges Clemenceau,secondary,50,False,37.979,"LINESTRING (7.0078675 43.5504495, 7.0077352 43.5506307, 7.0077111 43.5506743, 7.0076801 43.5507157, 7.0076511 43.5507526)",,,
543109928,False,,Rue Georges Clemenceau,secondary,,False,50.15,"LINESTRING (7.0078675 43.5504495, 7.0079795 43.5502923, 7.0080908 43.5501362, 7.0081531 43.5500488)",,,
4698096,True,,Rue des Tambourinaires,unclassified,,False,6.749,"LINESTRING (7.0074638 43.550938, 7.0075206 43.5509826)",,,
659948209,True,,Rue Georges Clemenceau,secondary,50,False,9.172,"LINESTRING (7.0076511 43.5507526, 7.0075875 43.550821)",,,
13864088,True,1,Rue Saint-Dizier,residential,,False,51.68,"LINESTRING (7.0076511 43.5507526, 7.0077259 43.5507925, 7.0081746 43.551021)",,,
13870431,False,2,Rue Georges Clemenceau,secondary,,False,48.634,"LINESTRING (7.0082916 43.5498484, 7.008587 43.549535, 7.0086323 43.5494874)",,,
13870431,False,2,Rue Georges Clemenceau,secondary,,True,24.923000000000002,"LINESTRING (7.0082916 43.5498484, 7.0082311 43.549936, 7.0081531 43.5500488)",,,
4698098,False,,Rue Jean Dollfus,residential,,False,6.851,"LINESTRING (7.0081531 43.5500488, 7.0080798 43.5500176)",,,
13870431,False,2,Rue Georges Clemenceau,secondary,,False,24.923000000000002,"LINESTRING (7.0081531 43.5500488, 7.0082311 43.549936, 7.0082916 43.5498484)",,,
543109928,False,,Rue Georges Clemenceau,secondary,,True,50.15,"LINESTRING (7.0081531 43.5500488, 7.0080908 43.5501362, 7.0079795 43.5502923, 7.0078675 43.5504495)",,,
4698098,False,,Rue Jean Dollfus,residential,,False,67.05999999999999,"LINESTRING (7.0076357 43.5493618, 7.0076401 43.5493461, 7.0076884 43.5491871, 7.0077391 43.5490074, 7.0077264 43.5488918, 7.0077229 43.5488601, 7.0077113 43.5487674)",,,
4698098,False,,Rue Jean Dollfus,residential,,True,82.196,"LINESTRING (7.0076357 43.5493618, 7.0077424 43.5495769, 7.0079355 43.5498934, 7.008036 43.5499973, 7.0080798 43.5500176)",,,
4698098,False,,Rue Jean Dollfus,residential,,True,67.06,"LINESTRING (7.0077113 43.5487674, 7.0077229 43.5488601, 7.0077264 43.5488918, 7.0077391 43.5490074, 7.0076884 43.5491871, 7.0076401 43.5493461, 7.0076357 43.5493618)",,,
4698108,False,2,Boulevard Jean Hibert,primary,50,False,228.02300000000002,"LINESTRING (7.0077113 43.5487674, 7.0079055 43.5487301, 7.0079497 43.5487205, 7.0086 43.5485859, 7.0087831 43.5485502, 7.0092185 43.5484617, 7.0093965 43.5484245, 7.0097577 43.5483452, 7.0101271 43.5482507, 7.0104227 43.5481836)",,,
13870431,False,2,Rue Georges Clemenceau,secondary,,False,223.91599999999997,"LINESTRING (7.0086323 43.5494874, 7.00874 43.5493734, 7.0089322 43.5491902, 7.0090337 43.549147, 7.0097917 43.5489252, 7.0099258 43.5489014, 7.0100695 43.5488886, 7.0103878 43.5488759, 7.0107652 43.5488737, 7.0109698 43.5488883, 7.0111148 43.5489173)",,,
