osmid,highway,junction,oneway,reversed,length,geometry,ref,name,maxspeed,bridge,lanes,access
4707981,primary,roundabout,True,False,8.309,"LINESTRING (-0.7078197 47.8232153, -0.7078412 47.8232497, -0.7078785 47.8232775)",,,,,,
4707969,primary,,True,False,211.62600000000003,"LINESTRING (-0.7050647 47.8236334, -0.7052037 47.8235769, -0.7053731 47.8235462, -0.705929 47.8234675, -0.7066042 47.8233722, -0.706938 47.8233251, -0.7074417 47.8232501, -0.7078197 47.8232153)",D 22,Rue Garnier,,,,
4707970,primary,roundabout,True,False,14.655999999999999,"LINESTRING (-0.7050647 47.8236334, -0.7050627 47.8235895, -0.7050427 47.8235477, -0.7050064 47.8235111)",,Rond-Point de l'Europe,,,,
4707970,primary,roundabout,True,False,11.292,"LINESTRING (-0.7049282 47.8237598, -0.7049716 47.8237426, -0.7050086 47.8237196, -0.7050374 47.8236918)",,Rond-Point de l'Europe,,,,
4707973,tertiary,,False,True,156.408,"LINESTRING (-0.7026146 47.8284781, -0.7026021 47.8283839, -0.7025757 47.8281856, -0.7024603 47.8271931, -0.7024658 47.8271009, -0.7024743 47.8270764)",,Quai Charles de Gaulle,,,,
"[1128868558, 4707974]",tertiary,roundabout,True,False,13.829,"LINESTRING (-0.7026146 47.8284781, -0.7025923 47.8284812, -0.7025716 47.8284877, -0.702551 47.8284996, -0.7025361 47.8285148, -0.7025282 47.8285323, -0.7025279 47.8285505, -0.7025383 47.8285701)",,,30,,,
4707975,tertiary,,False,False,59.421,"LINESTRING (-0.7025383 47.8285701, -0.7025134 47.8285721, -0.7024097 47.8285808, -0.7019226 47.8286214, -0.7018366 47.8286286, -0.7017707 47.8286341, -0.7017484 47.828636)",D 28,,,yes,2,
1128868558,tertiary,roundabout,True,False,11.494,"LINESTRING (-0.7025383 47.8285701, -0.7025528 47.8285858, -0.7025779 47.8285987, -0.7026079 47.8286054, -0.7026395 47.8286051, -0.7026693 47.828598)",,,30,,,
4707975,tertiary,,False,True,59.421,"LINESTRING (-0.7017484 47.828636, -0.7017707 47.8286341, -0.7018366 47.8286286, -0.7019226 47.8286214, -0.7024097 47.8285808, -0.7025134 47.8285721, -0.7025383 47.8285701)",D 28,,,yes,2,
4707976,secondary,roundabout,True,False,9.77,"LINESTRING (-0.7017484 47.828636, -0.7017375 47.82862, -0.7017202 47.8286068, -0.701698 47.8285976, -0.7016727 47.8285931, -0.7016465 47.8285937)",,,,,,
