osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,access,lanes,width
24037592,Rond-Point des Plages,secondary,50,roundabout,True,False,15.859,"LINESTRING (-3.4313859 47.7323848, -3.4313752 47.7323499, -3.43135 47.7323185, -3.4313123 47.7322934, -3.4312655 47.7322767)",,,,
24718943,Avenue de Savoie,secondary,50,,False,False,85.455,"LINESTRING (-3.4313859 47.7323848, -3.4315289 47.7323808, -3.4316559 47.7323774, -3.4319564 47.7323621, -3.4322359 47.7323168, -3.4323545 47.7322906, -3.4325074 47.732262)",D 163 B,,,
24037592,Rond-Point des Plages,secondary,50,roundabout,True,False,21.226999999999997,"LINESTRING (-3.4312655 47.7322767, -3.4312097 47.7322697, -3.4311534 47.7322746, -3.4311022 47.732291, -3.4310609 47.7323173, -3.4310338 47.7323508)",,,,
24037592,Rond-Point des Plages,secondary,50,roundabout,True,False,8.082,"LINESTRING (-3.4310522 47.7324576, -3.4310878 47.7324849, -3.4311339 47.7325039)",,,,
1243350308,Rond-Point de ty Néhué,secondary,50,roundabout,True,False,11.562,"LINESTRING (-3.4279086 47.7324166, -3.4278874 47.7324666, -3.427898 47.7325181)",,,,
"[1243350317, 1243350318, 1243350319]",Boulevard François Mitterrand,secondary,"['50', '30']",,True,False,200.928,"LINESTRING (-3.4279086 47.7324166, -3.4277022 47.732419, -3.4275841 47.7324205, -3.4271254 47.7324249, -3.4267565 47.7324285, -3.4267018 47.7324296, -3.4259832 47.7324496, -3.4257852 47.7324534, -3.4255331 47.732455, -3.425223 47.7324611)",D 163,,,
"[464192707, 26721644]",Rue de Kervam,tertiary,30,,False,True,266.85299999999995,"LINESTRING (-3.428098 47.732601, -3.4280881 47.7327291, -3.4280696 47.7329741, -3.4280294 47.7335076, -3.4280152 47.7338025, -3.4279772 47.7338814, -3.4279215 47.7339103, -3.427798 47.7339276, -3.4275883 47.7339318, -3.4274495 47.7339346, -3.4272365 47.7339507, -3.4270739 47.733975, -3.4270065 47.7340255, -3.4270048 47.7341535, -3.4270732 47.7343555, -3.4271108 47.73444)",,,,
1243350303,Rond-Point de ty Néhué,secondary,50,roundabout,True,False,17.191,"LINESTRING (-3.428098 47.732601, -3.4281705 47.7325844, -3.4282272 47.7325497, -3.4282586 47.7325027)",,,,
1243350311,Rond-Point de ty Néhué,secondary,50,roundabout,True,False,15.346,"LINESTRING (-3.4282485 47.7324267, -3.4282111 47.7323882, -3.4281557 47.7323612, -3.4280896 47.7323494)",,,,
79762343,Rue de Cornouaille,unclassified,50,,False,False,8.65,"LINESTRING (-3.4251764 47.7325323, -3.425223 47.7324611)",,,,
