osmid,oneway,name,highway,reversed,length,ref,geometry,lanes,width,maxspeed,access,bridge
27055948,True,Rue Dugommier,residential,False,38.96,,"LINESTRING (2.3436813 43.2121723, 2.3436716 43.2125226)",,,,,
175285906,False,Avenue Bunau Varilla,secondary,False,115.074,D 118,"LINESTRING (2.3436813 43.2121723, 2.343792 43.2121961, 2.34482 43.2123846, 2.3448367 43.2123877, 2.3450576 43.2124266)",,,,,
27055948,True,Rue Dugommier,residential,False,62.363,,"LINESTRING (2.3436744 43.2128488, 2.3436803 43.2131614, 2.3437607 43.2134026)",,,,,
27055959,False,Rue Pasteur,residential,True,113.149,,"LINESTRING (2.3436744 43.2128488, 2.3440376 43.2128328, 2.3446722 43.2127987, 2.3450672 43.2127781)",,,,,
232746598,False,Avenue Pierre Charles de Lespinasse,residential,True,93.19,,"LINESTRING (2.3439686 43.2141562, 2.3450045 43.2141496, 2.3451185 43.2141488)",2,,,,
27055949,True,Avenue Pierre Charles de Lespinasse,residential,False,186.48799999999997,,"LINESTRING (2.3451185 43.2141488, 2.345207 43.2141472, 2.3457047 43.214138, 2.3459632 43.21414, 2.3463058 43.214203, 2.3465031 43.2142476, 2.3467943 43.2143594, 2.3470742 43.2145263, 2.3471311 43.2145376, 2.347206 43.2145311, 2.3472728 43.2145131)",,6,,,
27055951,True,Allée d'Iéna,secondary,False,152.472,D 118,"LINESTRING (2.3451185 43.2141488, 2.3451156 43.214071, 2.3451123 43.2139821, 2.3450887 43.2133504, 2.345081 43.2131457, 2.3450672 43.2127781)",2,,,,
232746598,False,Avenue Pierre Charles de Lespinasse,residential,False,93.19,,"LINESTRING (2.3451185 43.2141488, 2.3450045 43.2141496, 2.3439686 43.2141562)",2,,,,
5206140,True,Place Davilla,residential,False,71.418,,"LINESTRING (2.3459189 43.2125625, 2.3458168 43.2125464, 2.34516 43.2124428, 2.3450576 43.2124266)",2,,,,
175285906,False,Avenue Bunau Varilla,secondary,True,115.074,D 118,"LINESTRING (2.3450576 43.2124266, 2.3448367 43.2123877, 2.34482 43.2123846, 2.343792 43.2121961, 2.3436813 43.2121723)",,,,,
242102287,True,Allée d'Iéna,secondary,False,150.2,,"LINESTRING (2.3450576 43.2124266, 2.3450246 43.2116852, 2.3450192 43.2115622, 2.3450205 43.2115217, 2.3449976 43.2110766)",2,,,,
24394593,True,Rue Jean-Jacques Rousseau,residential,False,138.454,,"LINESTRING (2.3449976 43.2110766, 2.346706 43.2110766)",,,,,
242102287,True,Allée d'Iéna,secondary,False,55.06899999999999,,"LINESTRING (2.3449976 43.2110766, 2.3449937 43.2108525, 2.3449934 43.2108345, 2.3449923 43.2107689, 2.3449918 43.2107415, 2.344989 43.2105814)",2,,,,
5214087,True,Boulevard Marcou,residential,False,91.579,,"LINESTRING (2.346706 43.2110766, 2.346495 43.2118857)",2,,,,
5214090,True,Place Davilla,residential,False,18.733,,"LINESTRING (2.3461448 43.2125982, 2.3459189 43.2125625)",2,,,,
5214087,True,Boulevard Marcou,residential,False,54.538,,"LINESTRING (2.346495 43.2118857, 2.3464458 43.2120637, 2.346362 43.2123665)",2,,,,
"[897659576, 5214105]",True,Rue Aimé Ramond,residential,False,76.88,,"LINESTRING (2.346495 43.2118857, 2.346577 43.2118888, 2.3466692 43.2118923, 2.346848 43.2118938, 2.3468585 43.2118938, 2.346887 43.2118939, 2.3474434 43.2118949)",,,30,,
5214105,True,Rue Aimé Ramond,residential,False,84.722,,"LINESTRING (2.3485174 43.2118712, 2.3495628 43.2118735)",,,30,,
5214123,True,Rue des Études,residential,False,43.515,,"LINESTRING (2.3485174 43.2118712, 2.3485429 43.2114803)",,,30,,
5206152,False,Rue Arago,residential,False,87.753,,"LINESTRING (2.3485429 43.2114803, 2.3474601 43.2114818)",,,30,,
5214123,True,Rue des Études,residential,False,41.543,,"LINESTRING (2.3485429 43.2114803, 2.3485455 43.2111067)",,,30,,
5206152,False,Rue Arago,residential,True,87.753,,"LINESTRING (2.3474601 43.2114818, 2.3485429 43.2114803)",,,30,,
232668694,True,Rue Littré,residential,False,45.955,,"LINESTRING (2.3474601 43.2114818, 2.3474434 43.2118949)",,,30,,
5206152,False,Rue Arago,residential,False,53.752,,"LINESTRING (2.3474601 43.2114818, 2.3470123 43.2114711, 2.3469912 43.2114698, 2.3467978 43.2114583)",,,30,,
