osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,width,bridge
23885578,2,secondary,50,roundabout,True,False,15.408,"LINESTRING (-1.4863026 47.2963461, -1.4862788 47.2963546, -1.48626 47.296364, -1.4862431 47.2963751, -1.4862274 47.2963891, -1.4862161 47.2964028, -1.4862054 47.296423, -1.4862011 47.2964388, -1.4862002 47.2964565)",,,,
23885579,1,secondary,50,,True,False,16.351,"LINESTRING (-1.4863026 47.2963461, -1.4862452 47.2963263, -1.4861784 47.2963001, -1.4861194 47.2962684)",M 37,Rue Joseph Cugnot,,
23885578,2,secondary,50,roundabout,True,False,12.648999999999997,"LINESTRING (-1.4864827 47.2965366, -1.4865081 47.296517, -1.4865219 47.2965008, -1.4865287 47.2964897, -1.4865375 47.2964628, -1.4865383 47.2964498, -1.4865362 47.2964335)",,,,
"[769134258, 31899549]",1,secondary,50,,True,False,33.101,"LINESTRING (-1.485916 47.2962377, -1.4860173 47.296298, -1.4860891 47.2963333, -1.4861173 47.2963553, -1.486161 47.2963917, -1.4862002 47.2964565)",M 37,Rue Joseph Cugnot,,
25653330,,secondary,,roundabout,True,False,16.701,"LINESTRING (-1.4960812 47.2928664, -1.4960883 47.2928842, -1.4961014 47.2929002, -1.49612 47.2929137, -1.49615 47.2929259, -1.4961842 47.2929311, -1.496219 47.2929289, -1.4962512 47.2929195)",,,,
"[943175672, 25653336]",2,secondary,50,,False,False,50.855000000000004,"LINESTRING (-1.4960812 47.2928664, -1.4959659 47.2928878, -1.4954252 47.292972)",M 37,Rue Marie Curie,,
25653330,,secondary,,roundabout,True,False,11.105,"LINESTRING (-1.4962512 47.2929195, -1.4962785 47.2929028, -1.4962964 47.2928809, -1.4963028 47.2928564, -1.496297 47.2928317)",,,,
25653330,,secondary,,roundabout,True,False,24.738999999999997,"LINESTRING (-1.496297 47.2928317, -1.4962788 47.2928089, -1.4962503 47.2927916, -1.4962149 47.2927819, -1.4961767 47.2927809, -1.4961432 47.2927877, -1.4961144 47.2928012, -1.4960932 47.2928202, -1.4960818 47.2928426, -1.4960812 47.2928664)",,,,
769067153,2,secondary,50,,False,False,18.17,"LINESTRING (-1.4938363 47.293265, -1.4935995 47.2932349)",M 37,Boulevard Louis Fouchard,,
25828982,,tertiary,30,,False,True,74.259,"LINESTRING (-1.4938363 47.293265, -1.4938246 47.2933495, -1.4938049 47.2934258, -1.4936562 47.2935794, -1.4935264 47.2937397, -1.4934869 47.2937924, -1.4934331 47.2938633)",,Rue Marie Curie,,
943175673,2,secondary,50,,False,True,90.56200000000001,"LINESTRING (-1.4938363 47.293265, -1.4940045 47.2932088, -1.4941577 47.2931777, -1.4945432 47.293114, -1.4948427 47.2930667, -1.4949879 47.2930437)",M 37,Rue Marie Curie,,
25653338,,residential,30,,False,True,282.703,"LINESTRING (-1.4911348 47.2962325, -1.4912834 47.2961347, -1.4913478 47.2960956, -1.4914035 47.2960384, -1.4914604 47.2959952, -1.4915349 47.2959197, -1.4915919 47.295856, -1.4916348 47.2957887, -1.4917504 47.2956693, -1.4918286 47.295579, -1.4919332 47.2954917, -1.4921451 47.2952611, -1.4921766 47.2952243, -1.4922068 47.2951647, -1.492654 47.2946786, -1.4927251 47.2946185, -1.4928411 47.294498, -1.4929933 47.2943302, -1.4930376 47.2942547, -1.4931088 47.2941786, -1.4931694 47.2941117)",,Rue Jeanne d'Arc,,
25653339,2,tertiary,30,,False,False,153.558,"LINESTRING (-1.4911348 47.2962325, -1.4909964 47.2961507, -1.4908879 47.2960718, -1.4902265 47.2956211, -1.4900547 47.2955061, -1.4898134 47.2953447, -1.4896884 47.295261)",,Rue André Maurois,,
38937601,,tertiary,30,,False,True,96.092,"LINESTRING (-1.4911348 47.2962325, -1.4910679 47.2963547, -1.4910212 47.2964495, -1.4909512 47.2966124, -1.4908719 47.2967968, -1.4907932 47.2969852, -1.4907934 47.2970615)",,Rue Notre-Dame la Blanche,,
256628182,,residential,30,,False,True,66.991,"LINESTRING (-1.4911348 47.2962325, -1.4912385 47.2962949, -1.4913044 47.2963243, -1.4918238 47.2964014, -1.4919592 47.296423)",,Rue André Maurois,,
25828826,2,tertiary,30,,False,False,214.329,"LINESTRING (-1.4958712 47.2952655, -1.4958732 47.29531, -1.495864 47.2953718, -1.495851 47.2954018, -1.4958136 47.2954536, -1.4957245 47.2955564, -1.4955525 47.2957916, -1.495471 47.2958921, -1.4953918 47.2959897, -1.4953565 47.2960331, -1.4952453 47.2961568, -1.4951074 47.2963319, -1.4950662 47.2963764, -1.4949867 47.2964623, -1.4949457 47.296503, -1.4949101 47.2965382, -1.4948161 47.2966263, -1.494722 47.2967145, -1.494478 47.2969247)",,Rue Jules Verne,,
25828885,,tertiary,30,,False,False,79.80399999999999,"LINESTRING (-1.4958712 47.2952655, -1.4957998 47.2952477, -1.4957668 47.2952322, -1.4957456 47.2952209, -1.4957244 47.2952096, -1.4956785 47.2951823, -1.4954165 47.2950156, -1.4951532 47.2948523, -1.4950721 47.2948009)",,Rue Albert Schweitzer,,
376049153,2,residential,50,,False,True,48.941,"LINESTRING (-1.4958712 47.2952655, -1.4959149 47.2952458, -1.4959809 47.2952175, -1.4960168 47.2951892, -1.4960584 47.2951493, -1.4961656 47.2949975, -1.4962376 47.2949136)",,Rue Jules Verne,,
