osmid,oneway,name,highway,maxspeed,reversed,length,tunnel,geometry,lanes,ref,junction,bridge,access
"[169131584, 169131585, 4315014]",True,"['Porte Saint-Vincent', 'Rue Saint-Vincent']",living_street,20,False,51.879000000000005,yes,"LINESTRING (-2.7580562 47.654228, -2.7580572 47.6542607, -2.7580597 47.654345, -2.7580598 47.654449, -2.7580581 47.6545793, -2.758058 47.6545896, -2.7580575 47.6546166, -2.7580533 47.6546571, -2.7580392 47.6546932)",,,,,
4390522,False,Rue Francis Decker,tertiary,50,True,30.638,,"LINESTRING (-2.7557978 47.6550749, -2.7555556 47.6552659, -2.7555321 47.6552844)",,,,,
37009522,False,Rue Alexandre Le Pontois,secondary,50,True,80.631,,"LINESTRING (-2.7557978 47.6550749, -2.7558504 47.6550481, -2.7566298 47.6546886, -2.7566842 47.6546635)",2,,,,
297813755,False,Rue Jehan de Bazvalan,secondary,50,False,149.625,,"LINESTRING (-2.7557978 47.6550749, -2.7556241 47.6550989, -2.7554895 47.6551178, -2.7553612 47.6551344, -2.7552862 47.6551412, -2.7552094 47.6551469, -2.755126 47.6551494, -2.7550157 47.6551454, -2.7548996 47.6551351, -2.7547987 47.6551237, -2.754452 47.6550735, -2.7539509 47.6550083, -2.7538301 47.6550042)",2,,,,
490594370,False,Rue Thiers,secondary,50,True,14.345,,"LINESTRING (-2.7598448 47.6577377, -2.7598316 47.657609)",3,,,,
490594370,False,Rue Thiers,secondary,50,False,49.176,,"LINESTRING (-2.7598448 47.6577377, -2.7598502 47.6577808, -2.7598508 47.6577984, -2.7598871 47.658179)",3,,,,
4317446,True,Rue Monseigneur Tréhiou,residential,30,False,31.375999999999998,,"LINESTRING (-2.7566305 47.6543877, -2.7566489 47.6544134, -2.7566608 47.6544408, -2.7566553 47.654584, -2.7566842 47.6546635)",,,,,
312258929,False,Rue Alexandre Le Pontois,secondary,50,False,8.457,,"LINESTRING (-2.7576717 47.6542442, -2.7576896 47.6542365, -2.7577108 47.6542279, -2.7577679 47.6542044)",3,,,,
"[312258929, 7837494]",False,Rue Alexandre Le Pontois,secondary,50,True,87.467,,"LINESTRING (-2.7576717 47.6542442, -2.7573928 47.6543653, -2.7573235 47.6543954, -2.7570064 47.6545384, -2.7566842 47.6546635)","['2', '3']",,,,
312258929,False,Rue Alexandre Le Pontois,secondary,50,True,8.456999999999999,,"LINESTRING (-2.7577679 47.6542044, -2.7577108 47.6542279, -2.7576896 47.6542365, -2.7576717 47.6542442)",3,,,,
"[964408665, 964408667]",True,Place Gambetta,secondary,30,False,21.847,,"LINESTRING (-2.7577679 47.6542044, -2.7579349 47.6542271, -2.7580562 47.654228)",,,,,
"[312258929, 7837494]",False,Rue Alexandre Le Pontois,secondary,50,False,87.467,,"LINESTRING (-2.7566842 47.6546635, -2.7570064 47.6545384, -2.7573235 47.6543954, -2.7573928 47.6543653, -2.7576717 47.6542442)","['2', '3']",,,,
37009522,False,Rue Alexandre Le Pontois,secondary,50,False,80.631,,"LINESTRING (-2.7566842 47.6546635, -2.7566298 47.6546886, -2.7558504 47.6550481, -2.7557978 47.6550749)",2,,,,
4390522,False,Rue Francis Decker,tertiary,50,False,340.09899999999993,,"LINESTRING (-2.7548896 47.6582141, -2.7548694 47.6579765, -2.7548674 47.6579527, -2.7549004 47.6576278, -2.7549125 47.6575081, -2.7549132 47.6574487, -2.7549246 47.6573945, -2.754994 47.6570666, -2.7550074 47.6570034, -2.7550278 47.6569071, -2.7550484 47.6567599, -2.7550521 47.6565951, -2.7550474 47.6564901, -2.7550269 47.6560331, -2.7550481 47.6559485, -2.7550549 47.6559092, -2.7550963 47.6556702, -2.7551206 47.6556069, -2.7551381 47.6555521, -2.7551752 47.6555016, -2.7552382 47.6554434, -2.7554913 47.6553065, -2.7555321 47.6552844)",,,,,
7837492,False,Rue Alain Le Grand,tertiary,,False,70.202,,"LINESTRING (-2.7548896 47.6582141, -2.7548161 47.6582302, -2.7546665 47.6582631, -2.7539906 47.6583925)",3,,,,
4317427,False,Rue Arthur de Richemont,residential,30,True,5.422,,"LINESTRING (-2.761892 47.6554195, -2.7619637 47.6554128)",,,,,
"[361838341, 490594355, 490594354, 490665213]",False,"['Place de la République', 'Rue Louis-Marie Autissier']",unclassified,50,"[False, True]",120.60900000000001,,"LINESTRING (-2.761892 47.6554195, -2.7615586 47.6555428, -2.7615219 47.6555641, -2.7614838 47.6555921, -2.761454 47.6556206, -2.7614405 47.6556337, -2.7614274 47.6556427, -2.7613966 47.6556576, -2.7613754 47.6556657, -2.7613369 47.6556731, -2.7612157 47.6556739, -2.7611774 47.6556741, -2.7608062 47.6556823, -2.76043 47.655685, -2.7604085 47.6556852)",3,,,,
"[1261910523, 4308988]",True,Rue Arthur de Richemont,residential,30,False,111.34400000000001,,"LINESTRING (-2.761892 47.6554195, -2.7617094 47.6553532, -2.7616855 47.6553445, -2.7609026 47.6550582, -2.7607431 47.6550161, -2.760562 47.6549778)",,,,,
490694299,True,Rue Arthur de Richemont,living_street,,False,72.41499999999999,,"LINESTRING (-2.760562 47.6549778, -2.7604826 47.6549591, -2.7601113 47.6548715, -2.7597204 47.6548465, -2.7596925 47.6548447, -2.7596247 47.6548376)",,,,,
192481591,False,Rue Thiers,secondary,50,True,29.522,,"LINESTRING (-2.7596247 47.6548376, -2.7596145 47.6547264, -2.7596004 47.6545726)",4,,,,
490694286,False,Rue Thiers,secondary,50,False,97.351,,"LINESTRING (-2.7596247 47.6548376, -2.7596946 47.6555995, -2.7596962 47.6556166, -2.7596985 47.6557116)",4,,,,
