osmid,oneway,ref,name,highway,reversed,length,maxspeed,geometry,lanes,bridge,junction
989703462,True,D 924,Rue du Connétable,primary,False,5.358,,"LINESTRING (2.4657059 49.1941654, 2.4657795 49.1941683)",,,
345193794,True,D 1016,Rue de Paris,primary,False,16.795,30,"LINESTRING (2.4657059 49.1941654, 2.4656736 49.1941114, 2.4656524 49.1940756, 2.4656196 49.1940253)",,,
989703465,False,,,primary,True,6.146,,"LINESTRING (2.4651136 49.1932326, 2.4651975 49.1932396)",,,
989703466,True,D 1016,Avenue du Maréchal Joffre,primary,False,126.75299999999999,50,"LINESTRING (2.4651136 49.1932326, 2.4650131 49.1930771, 2.4647294 49.1926337, 2.464677 49.1925518, 2.4646029 49.1924271, 2.4645826 49.1923883, 2.4645612 49.1923419, 2.464477 49.1921721)",,,
1192435846,False,D 909,Rue de Gouvieux,secondary,False,45.607,50,"LINESTRING (2.4651136 49.1932326, 2.4649883 49.1932267, 2.4648141 49.1932181, 2.4646467 49.1932139, 2.4646065 49.19321, 2.4645598 49.1932043, 2.4644917 49.1931898)",2,,
24551842,False,D 909,Rue de Gouvieux,secondary,True,58.95099999999999,50,"LINESTRING (2.460993 49.1924419, 2.4610622 49.1924576, 2.4611337 49.1924723, 2.4612517 49.1924968, 2.4617656 49.1926035)",2,,
52127514,False,D 909,Rue de Gouvieux,secondary,False,91.65199999999999,50,"LINESTRING (2.460993 49.1924419, 2.4609323 49.1924264, 2.4607541 49.1923799, 2.4599969 49.1921802, 2.4598214 49.1921368)",2,,
47203676,True,,Avenue Aumont,residential,False,140.52700000000002,30,"LINESTRING (2.4599187 49.1896644, 2.4599207 49.1896834, 2.4599276 49.1897062, 2.4599386 49.1897271, 2.4599724 49.189773, 2.4607582 49.190744, 2.460794 49.1907882)",,,
80301908,False,,Rue d'Orgemont,residential,False,21.535,30,"LINESTRING (2.4599187 49.1896644, 2.4599205 49.1896012, 2.4599302 49.1894709)",,,
332806806,True,,Rue de l'Embarcadère,residential,False,98.41499999999999,30,"LINESTRING (2.4612674 49.1897443, 2.4600382 49.1896714, 2.4599187 49.1896644)",,,
47205859,True,,Place Omer Vallon,residential,False,4.687,30,"LINESTRING (2.4657683 49.1942979, 2.4658328 49.1942984)",1,,
345193795,True,D 1016,Rue de Creil,primary,False,15.425,30,"LINESTRING (2.4657683 49.1942979, 2.4657494 49.1942516, 2.4657333 49.1942157, 2.4657059 49.1941654)",,,
"[36228816, 758096088]",True,,Rue d'Orgemont,residential,False,258.47499999999997,30,"LINESTRING (2.4591752 49.1919567, 2.4592047 49.1918623, 2.4592101 49.1918281, 2.4592104 49.1917942, 2.4592131 49.1915679, 2.4592147 49.1915079, 2.4592193 49.1914569, 2.4592241 49.1913918, 2.45923 49.1913359, 2.4592952 49.1908929, 2.4593348 49.1905994, 2.4593851 49.190234, 2.4594292 49.1898914, 2.4594374 49.1898563, 2.4594475 49.1898224, 2.4594606 49.1897933, 2.4594784 49.1897659, 2.4594991 49.1897432, 2.4595228 49.1897265, 2.45955 49.1897073, 2.4596043 49.189679)",,,
47203675,True,,Rue André,residential,False,168.046,30,"LINESTRING (2.4591752 49.1919567, 2.4593377 49.1918331, 2.460768 49.1908614)",,,
52127514,False,D 909,Rue de Gouvieux,secondary,True,51.05200000000001,50,"LINESTRING (2.4591752 49.1919567, 2.4593056 49.1919943, 2.4593873 49.192017, 2.4596018 49.1920769, 2.4597018 49.1921043, 2.4598214 49.1921368)",2,,
152622747,False,D 909,Rue de Gouvieux,secondary,False,50.205999999999996,50,"LINESTRING (2.4591752 49.1919567, 2.4590564 49.19192, 2.4589634 49.191891, 2.4588915 49.1918651, 2.4588244 49.191838, 2.4587587 49.1918085, 2.4587057 49.1917821, 2.458593 49.1917183)",2,,
47204683,False,,Quai de la Canardière,residential,True,3.634,,"LINESTRING (2.4639317 49.195238, 2.4639817 49.1952385)",,,
117371035,True,D 1016,Rue de Creil,primary,False,17.17,50,"LINESTRING (2.4639317 49.195238, 2.4639348 49.1950836)",,,
664683557,False,,Quai de la Canardière,residential,False,16.105,30,"LINESTRING (2.4639317 49.195238, 2.4638648 49.195231, 2.4638153 49.1952263, 2.4637125 49.1952166)",2,,
47205882,True,,Quai de la Canardière,secondary,False,158.461,50,"LINESTRING (2.4664631 49.1952817, 2.4649528 49.1951853, 2.4642927 49.1951432)",,,
253482663,False,,Rue des Cascades,secondary,True,278.045,50,"LINESTRING (2.4664631 49.1952817, 2.4665068 49.1952846, 2.4665639 49.1952883, 2.4666372 49.1952928, 2.4666922 49.1952937, 2.4667512 49.1952928, 2.4671763 49.1952796, 2.4672206 49.1952796, 2.4672648 49.1952814, 2.4673126 49.1952868, 2.4673493 49.1952963, 2.4673948 49.1953149, 2.4674869 49.1953709, 2.467929 49.1956417, 2.467964 49.1956617, 2.4679989 49.1956781, 2.4680389 49.1956957, 2.4680898 49.1957129, 2.4681586 49.1957289, 2.4682157 49.1957354, 2.4682682 49.1957364, 2.4683246 49.1957348, 2.4683766 49.1957319, 2.4691129 49.1956907, 2.4692325 49.1956832, 2.469821 49.1956591, 2.4699041 49.1956556, 2.4700343 49.1956479)",,,
