osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,ref,maxspeed,bridge,width
25783662,1,secondary,roundabout,True,False,42.366,"LINESTRING (-1.5463146 47.3030396, -1.5462635 47.3030406, -1.5462137 47.3030481, -1.5461667 47.3030618, -1.5461245 47.3030812, -1.5460883 47.3031057, -1.5460596 47.3031343, -1.5460393 47.3031661, -1.5460282 47.3031999, -1.5460267 47.3032345, -1.5460348 47.3032687, -1.5460522 47.3033013)",,,,,
503035578,1,residential,,True,False,29.255,"LINESTRING (-1.553023 47.2995701, -1.553013 47.2995435, -1.5529864 47.2995212, -1.5528855 47.2994778, -1.5527069 47.2994433)",Rue Olivier de Sesmaisons,,,,
600325463,1,tertiary,roundabout,True,False,9.3,"LINESTRING (-1.553023 47.2995701, -1.5529972 47.2995759, -1.5529628 47.2995916, -1.5529244 47.299618)",Place de la Gilière,,,,
27603889,1,tertiary,roundabout,True,False,28.497,"LINESTRING (-1.5529244 47.299618, -1.5528632 47.2996914, -1.5528374 47.2997268, -1.5528183 47.2997703, -1.5528113 47.2998145, -1.5528162 47.299857)",Place de la Gilière,,,,
27603893,,tertiary,,True,False,56.457,"LINESTRING (-1.5531222 47.2999542, -1.5532325 47.2999617, -1.5534945 47.2999475, -1.5538681 47.2999256)",Rue Louis Maisonneuve,,,,
600325462,1,tertiary,roundabout,True,False,29.087,"LINESTRING (-1.5531222 47.2999542, -1.5531685 47.2999307, -1.5531992 47.2999003, -1.5532203 47.2998631, -1.5532324 47.2998189, -1.5532324 47.2997674, -1.5532221 47.2997187)",Place de la Gilière,,,,
600325461,1,tertiary,roundabout,True,False,21.776999999999997,"LINESTRING (-1.5532221 47.2997187, -1.5531899 47.2996462, -1.5531426 47.2996025, -1.553103 47.2995825, -1.5530578 47.2995719)",Place de la Gilière,,,,
27603892,1,tertiary,roundabout,True,False,14.717999999999998,"LINESTRING (-1.5548629 47.2955076, -1.5548577 47.2955118, -1.5548529 47.2955163, -1.5548485 47.2955209, -1.5548445 47.2955257, -1.554841 47.2955307, -1.5548379 47.2955358, -1.5548353 47.295541, -1.5548331 47.2955463, -1.5548314 47.2955517, -1.5548302 47.2955572, -1.5548295 47.2955627, -1.5548292 47.2955682, -1.5548295 47.2955737, -1.5548302 47.2955792, -1.5548315 47.2955847, -1.5548332 47.29559, -1.5548354 47.2955954, -1.554838 47.2956006, -1.5548412 47.2956057, -1.5548447 47.2956106, -1.5548487 47.2956154, -1.5548531 47.29562, -1.554858 47.2956245, -1.5548632 47.2956287)",Place du Gendarme Cognard,,,,
27603892,1,tertiary,roundabout,True,False,15.311000000000003,"LINESTRING (-1.5548632 47.2956287, -1.5548706 47.295634, -1.5548785 47.2956388, -1.5548871 47.2956431, -1.5548961 47.295647, -1.5549055 47.2956504, -1.5549153 47.2956533, -1.5549254 47.2956557, -1.5549358 47.2956575, -1.5549463 47.2956587, -1.5549569 47.2956594, -1.5549676 47.2956595, -1.5549783 47.295659, -1.5549889 47.295658, -1.5549993 47.2956564, -1.5550095 47.2956542, -1.5550194 47.2956515, -1.555029 47.2956483, -1.5550381 47.2956445, -1.5550468 47.2956403)",Place du Gendarme Cognard,,,,
42992861,,residential,,False,False,58.726,"LINESTRING (-1.5548632 47.2956287, -1.5547528 47.2956896, -1.5546465 47.295748, -1.5546034 47.2957717, -1.5542543 47.2959579)",Rue Mendès France,M 75,30,,
