osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,tunnel,access
"[4299014, 186255878, 1251227821, 154380911, 1251227824]","['Rue Saint-Jean', 'Place Saint-Pierre']",tertiary,50,False,"[False, True]",250.51800000000003,2,"LINESTRING (-0.3596455 49.1822552, -0.3597314 49.1823397, -0.3601703 49.1827716, -0.3602543 49.1828542, -0.3604883 49.1830845, -0.3605941 49.1831886, -0.3607268 49.1833192, -0.3607558 49.1833477, -0.3608553 49.1834455, -0.3609081 49.1834961, -0.3614104 49.1839773, -0.3614485 49.1840138, -0.3615657 49.1841261)",,,
171570676,Rue Saint-Jean,tertiary,50,False,False,99.72,,"LINESTRING (-0.3596455 49.1822552, -0.3595211 49.1821364, -0.3589444 49.1815855, -0.3588707 49.1815151)",,,
"[823099848, 188201196]",Rue de Bernières,secondary,50,True,False,118.79899999999999,3,"LINESTRING (-0.3596455 49.1822552, -0.3595028 49.1823233, -0.359229 49.1824472, -0.3584841 49.1827835, -0.3584418 49.1828026, -0.3583995 49.1828217, -0.3583038 49.1828653)",,,
266714595,Place Saint-Martin,tertiary,50,False,True,23.386,2,"LINESTRING (-0.3697225 49.1840416, -0.3699354 49.1841993)",,,
12583474,Place Saint-Martin,secondary,50,True,False,70.801,3,"LINESTRING (-0.3697225 49.1840416, -0.3699463 49.1839686, -0.3702541 49.1837363, -0.3702992 49.1837045, -0.3703187 49.1835826)",,,
80972143,Place Saint-Martin,residential,30,True,False,22.778,,"LINESTRING (-0.3697225 49.1840416, -0.3695582 49.1839388, -0.3695404 49.1839254, -0.3695018 49.1838964)",,,
"[360996938, 360996939, 175208469]",Rue des Fossés Saint-Julien,secondary,50,False,True,175.53900000000004,4,"LINESTRING (-0.3697225 49.1840416, -0.369618 49.184123, -0.3695698 49.1841611, -0.3695398 49.1841847, -0.3695073 49.1842092, -0.3691866 49.1844667, -0.3685672 49.1849421, -0.3682825 49.185137, -0.3682139 49.1851867, -0.3681452 49.1852364)",,,
28741031,Rue du Tour de Terre,residential,30,True,False,83.53,,"LINESTRING (-0.3638234 49.1851282, -0.363833 49.1850565, -0.3638581 49.1849117, -0.363859 49.1847443, -0.3638577 49.1844127, -0.3638587 49.1843782)",,,
"[11551601, 527043186, 527043187, 527043188, 527043189]",Rue de Geôle,secondary,50,False,True,201.044,"['2', '3']","LINESTRING (-0.3638234 49.1851282, -0.3635512 49.1850728, -0.3634588 49.1850539, -0.3634254 49.1850472, -0.3632464 49.1850107, -0.3629359 49.1849394, -0.3628528 49.1849183, -0.3627519 49.1848932, -0.3626266 49.1848627, -0.3624829 49.1848166, -0.362277 49.184726, -0.3622173 49.184689, -0.3621132 49.1846244, -0.3619136 49.18445, -0.3617644 49.184315, -0.3617352 49.1842885, -0.3616057 49.1841644)",,,
682955899,Rue de Geôle,secondary,50,False,True,78.969,2,"LINESTRING (-0.3638234 49.1851282, -0.3639372 49.1851514, -0.364225 49.1852204, -0.3643066 49.1852451, -0.3643837 49.1852697, -0.3644933 49.1853072, -0.3646857 49.1853731, -0.3648039 49.185427)",,,
"[360996938, 360996939, 175208469]",Rue des Fossés Saint-Julien,secondary,50,False,False,175.53900000000002,4,"LINESTRING (-0.3681452 49.1852364, -0.3682139 49.1851867, -0.3682825 49.185137, -0.3685672 49.1849421, -0.3691866 49.1844667, -0.3695073 49.1842092, -0.3695398 49.1841847, -0.3695698 49.1841611, -0.369618 49.184123, -0.3697225 49.1840416)",,,
