osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,width,tunnel,bridge,junction,area
103593476,False,2,Rue du Vert Galant,residential,30,yes,False,74.316,"LINESTRING (0.1916887 48.0038008, 0.1917591 48.0038023, 0.1917746 48.0038026, 0.1918098 48.0038074, 0.191845 48.0038121, 0.1921056 48.0038801, 0.1925387 48.0039931, 0.1925977 48.0040084, 0.1926287 48.0040165)",,,,,
593856084,True,2,Rue Paul Courboulay,primary,50,yes,False,93.247,"LINESTRING (0.1916887 48.0038008, 0.1918752 48.0045401, 0.1918973 48.0046277)",,,,,
103593467,False,2,Rue du Vert Galant,residential,50,yes,True,84.413,"LINESTRING (0.1936858 48.0042923, 0.1935863 48.0042663, 0.1934509 48.004231, 0.1934011 48.004218, 0.1932108 48.0041684, 0.1927129 48.0040385, 0.1926287 48.0040165)",,,,,
103593473,False,2,Rue du Vert Galant,residential,30,yes,False,10.593,"LINESTRING (0.1936858 48.0042923, 0.1937409 48.0043023, 0.19377 48.0043076, 0.1938232 48.0043173)",,,,,
103593478,True,3,Rue Barbier,secondary,50,yes,False,97.843,"LINESTRING (0.1936858 48.0042923, 0.1936707 48.0042363, 0.1936582 48.0041894, 0.1934678 48.0034825, 0.1934527 48.0034263)",,,,,
"[25049769, 135023141, 593777013]",False,,"[""Place de l'Éperon"", 'Rue de la Barillerie']",residential,"['20', '30']",yes,"[False, True]",107.93499999999999,"LINESTRING (0.1956254 48.0055635, 0.1957227 48.005481, 0.1959451 48.0052905, 0.1959869 48.0052549, 0.196037 48.0052766, 0.1960719 48.0052917, 0.1960915 48.0053001, 0.1961603 48.0053338, 0.1964166 48.0054855, 0.1966229 48.0056428)",4.1,,,,
"[37703160, 853338364, 625132733, 853357870]",True,3,Place de l'Éperon,secondary,50,yes,False,92.3,"LINESTRING (0.1956254 48.0055635, 0.1955266 48.0054983, 0.1952163 48.0054464, 0.1949239 48.0053974, 0.1948509 48.0053852, 0.1947799 48.0053733, 0.194578 48.005344, 0.194456 48.0053241)",,,,,
"[945203616, 952677339, 23031917, 576331294]",False,2,"['Rue du Hallai', 'Rue de la Comédie', 'Place Saint-Pierre']",residential,"['50', '30']",yes,"[False, True]",122.23800000000001,"LINESTRING (0.1981494 48.007493, 0.1980858 48.0075276, 0.1980372 48.0075546, 0.1979345 48.0076134, 0.1976466 48.0077796, 0.1975893 48.0078121, 0.1975541 48.007832, 0.1975075 48.007847, 0.1974692 48.007851, 0.1974271 48.0078505, 0.1973849 48.0078444, 0.1973371 48.0078323, 0.1972958 48.0078194, 0.1972577 48.0078015, 0.1971803 48.0077433, 0.1971744 48.0077388, 0.1971318 48.0077068, 0.1968972 48.0075304)",,,,,
"[853231034, 625132731, 24028871]",True,2,Avenue de Rostov sur le Don,secondary,50,,False,134.097,"LINESTRING (0.1981494 48.007493, 0.1980791 48.0074542, 0.1980637 48.0074439, 0.1977131 48.0071662, 0.1975512 48.0070294, 0.1975095 48.0069941, 0.1973808 48.0068854, 0.1972595 48.0067829, 0.1972085 48.0067398, 0.1970016 48.0065649)",,,,,
729877936,True,1,Avenue de Rostov sur le Don,secondary,50,,False,40.035,"LINESTRING (0.1981494 48.007493, 0.1983181 48.0075324, 0.198489 48.0075918, 0.1985588 48.0076247, 0.1986231 48.0076582)",,,,,
