osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,bridge,junction
697621028,False,Rue Sainte-Marie,residential,,True,20.429,"LINESTRING (5.3612337 45.959156, 5.3611537 45.9593311)",,,
44028620,False,Rue Sainte-Marie,residential,,False,64.611,"LINESTRING (5.3612337 45.959156, 5.3612796 45.9590902, 5.3614351 45.9589228, 5.3614571 45.9588921, 5.3616327 45.9586464)",,,
68910372,True,Rue Alexandre Bérard,tertiary,,False,20.002,"LINESTRING (5.3581069 45.9595886, 5.3581881 45.9594178)",,,
43943930,True,Rue Aimé Vingtrinier,residential,,False,1.991,"LINESTRING (5.3602634 45.9586985, 5.3602889 45.958701)",,,
43944509,True,Rue des Plattes,unclassified,,False,64.38999999999999,"LINESTRING (5.3602634 45.9586985, 5.3601857 45.9588477, 5.360089 45.9590335, 5.3599799 45.959243)",,,
43944509,True,Rue des Plattes,unclassified,,False,52.681,"LINESTRING (5.3599799 45.959243, 5.3603092 45.9593317, 5.3604963 45.9593806, 5.3605908 45.9594411)",,,
697621028,False,Rue Sainte-Marie,residential,,False,20.429,"LINESTRING (5.3611537 45.9593311, 5.3612337 45.959156)",,,
43944506,False,Route du Maquis,unclassified,,False,201.96900000000002,"LINESTRING (5.3611537 45.9593311, 5.3612509 45.9593622, 5.3613426 45.9593933, 5.3614678 45.9594352, 5.3616211 45.9594555, 5.3617864 45.959436, 5.3620811 45.9593804, 5.3622802 45.9593024, 5.3626818 45.9591186, 5.3629624 45.9590619, 5.3631412 45.9590507, 5.3633193 45.9590649, 5.3635454 45.9591742)",,,
43944507,False,Rue Colbert,unclassified,,True,47.743,"LINESTRING (5.3611537 45.9593311, 5.3610211 45.9593147, 5.3608755 45.9593225, 5.3606675 45.9593872, 5.3605908 45.9594411)",,,
43944507,False,Rue Colbert,unclassified,,False,47.743,"LINESTRING (5.3605908 45.9594411, 5.3606675 45.9593872, 5.3608755 45.9593225, 5.3610211 45.9593147, 5.3611537 45.9593311)",,,
43944507,False,Rue Colbert,unclassified,,True,73.29400000000001,"LINESTRING (5.3605908 45.9594411, 5.3605266 45.959514, 5.3604544 45.9596253, 5.3602393 45.9600514)",,,
43944507,False,Rue Colbert,unclassified,,False,73.294,"LINESTRING (5.3602393 45.9600514, 5.3604544 45.9596253, 5.3605266 45.959514, 5.3605908 45.9594411)",,,
43944508,True,Rue du Clos Dutillier,unclassified,,False,114.202,"LINESTRING (5.3602393 45.9600514, 5.3600228 45.9600026, 5.3596665 45.9599255, 5.3593692 45.9598611, 5.3588295 45.9597443)",,,
383960144,False,Rue Colbert,unclassified,50,True,70.368,"LINESTRING (5.3602393 45.9600514, 5.3600428 45.960522, 5.36007 45.9606074, 5.3601111 45.9606548)",,,
697621034,False,Route du Maquis,unclassified,,True,10.911,"LINESTRING (5.3636621 45.9592294, 5.3635454 45.9591742)",,,
697621037,True,Route du Maquis,unclassified,,False,18.451,"LINESTRING (5.3636621 45.9592294, 5.3638768 45.9593019)",,,
43945603,False,Rue Marcel et Ida Démia,residential,50,True,189.98999999999998,"LINESTRING (5.3556488 45.9543167, 5.3555694 45.9543982, 5.3541891 45.9556912)",,,
43945607,False,Rue Gaston Brücher,residential,,True,93.44999999999999,"LINESTRING (5.3556488 45.9543167, 5.355725 45.9543917, 5.3564903 45.9549183)",,,
43945603,False,Rue Marcel et Ida Démia,residential,50,False,189.98999999999998,"LINESTRING (5.3541891 45.9556912, 5.3555694 45.9543982, 5.3556488 45.9543167)",,,
43945603,False,Rue Marcel et Ida Démia,residential,50,True,34.979,"LINESTRING (5.3541891 45.9556912, 5.3541444 45.9557357, 5.35393 45.9559491)",,,
43945606,False,Rue de Longeraie,residential,50,False,115.36200000000001,"LINESTRING (5.3541891 45.9556912, 5.3542846 45.9557054, 5.3545142 45.9556705, 5.3552975 45.9556428, 5.3555777 45.9556285, 5.3556603 45.9555968)",,,
43945604,False,Allée Emmanuel Perret,unclassified,,True,218.855,"LINESTRING (5.3556603 45.9555968, 5.3578239 45.9568662)",,,
43945606,False,Rue de Longeraie,residential,50,False,99.351,"LINESTRING (5.3556603 45.9555968, 5.3557105 45.9555776, 5.3558405 45.9554605, 5.3564903 45.9549183)",,,
43945606,False,Rue de Longeraie,residential,50,True,115.36200000000001,"LINESTRING (5.3556603 45.9555968, 5.3555777 45.9556285, 5.3552975 45.9556428, 5.3545142 45.9556705, 5.3542846 45.9557054, 5.3541891 45.9556912)",,,
43945606,False,Rue de Longeraie,residential,50,True,2.81,"LINESTRING (5.3565146 45.9548995, 5.3564903 45.9549183)",,,
44151134,False,Allée Henri Paule,residential,,False,74.808,"LINESTRING (5.3565146 45.9548995, 5.3572019 45.9553731)",,,
43945606,False,Rue de Longeraie,residential,50,False,38.816,"LINESTRING (5.3565146 45.9548995, 5.3567298 45.9547326, 5.3568531 45.9546417)",,,
43945605,False,Rue Antoine Buy,residential,50,False,52.962,"LINESTRING (5.3597704 45.955316, 5.3592716 45.9549895)",,,
43945601,False,Rue de la Bâtisse,residential,,False,89.816,"LINESTRING (5.3597704 45.955316, 5.3599615 45.9552441, 5.3606038 45.9550558, 5.3608235 45.9549766)",,,
43945601,False,Rue de la Bâtisse,residential,,True,27.161,"LINESTRING (5.3597704 45.955316, 5.359709 45.9553531, 5.359522 45.9554885)",,,
43945601,False,Rue de la Bâtisse,residential,,False,72.634,"LINESTRING (5.3608235 45.9549766, 5.3610268 45.9548944, 5.3612223 45.9547783, 5.3614447 45.9547392, 5.3616559 45.954702)",,,
43945601,False,Rue de la Bâtisse,residential,,True,89.816,"LINESTRING (5.3608235 45.9549766, 5.3606038 45.9550558, 5.3599615 45.9552441, 5.3597704 45.955316)",,,
43945601,False,Rue de la Bâtisse,residential,,False,27.161,"LINESTRING (5.359522 45.9554885, 5.359709 45.9553531, 5.3597704 45.955316)",,,
43945601,False,Rue de la Bâtisse,residential,,True,113.31,"LINESTRING (5.359522 45.9554885, 5.3592153 45.9557729, 5.3586323 45.9562983)",,,
"[699042208, 43945602]",False,"['Allée Armand Decour', 'Rue de la Bâtisse']","['unclassified', 'residential']",50,"[False, True]",195.076,"LINESTRING (5.359522 45.9554885, 5.3601011 45.9560674, 5.3598131 45.9560846, 5.3586323 45.9562983)",,,
43945602,False,Allée Armand Decour,unclassified,,True,68.455,"LINESTRING (5.359522 45.9554885, 5.3594819 45.9554235, 5.3591401 45.9550976, 5.3592716 45.9549895)",,,
43945609,False,Rue Truchon,residential,50,True,165.615,"LINESTRING (5.355079 45.9565731, 5.3540417 45.9578763)",,,
43945612,False,Rue du Dépot,residential,50,True,161.524,"LINESTRING (5.355079 45.9565731, 5.3563699 45.9572759, 5.3567403 45.9574534)",,,
68925083,False,Rue du Dépot,residential,50,False,70.02199999999999,"LINESTRING (5.355079 45.9565731, 5.3545099 45.956231, 5.3543841 45.9561699)",,,
68925083,False,Rue du Dépot,residential,50,True,42.838,"LINESTRING (5.35393 45.9559491, 5.3543841 45.9561699)",,,
43945603,False,Rue Marcel et Ida Démia,residential,50,False,34.979,"LINESTRING (5.35393 45.9559491, 5.3541444 45.9557357, 5.3541891 45.9556912)",,,
"[68925080, 43945611, 58650391]",False,"['Rue Aynard', 'Rue du Dépot', 'Rue de la Petite Croze']",residential,50,"[False, True]",560.956,"LINESTRING (5.35393 45.9559491, 5.3529544 45.9555082, 5.3525546 45.9558359, 5.3520764 45.9563611, 5.3516909 45.9568652, 5.3513986 45.9573575, 5.351335 45.957514, 5.3517794 45.957583, 5.3524572 45.9576882, 5.3530589 45.9577863, 5.3533908 45.9578266, 5.3540417 45.9578763)",,,
43945609,False,Rue Truchon,residential,50,False,30.945,"LINESTRING (5.3539872 45.958152, 5.3540417 45.9578763)",,,
42463241,False,Rue Aristide Briand,tertiary,,True,111.012,"LINESTRING (5.3539872 45.958152, 5.3551054 45.9582158, 5.3554178 45.9582387)",,,
43945609,False,Rue Truchon,residential,50,False,165.615,"LINESTRING (5.3540417 45.9578763, 5.355079 45.9565731)",,,
43945609,False,Rue Truchon,residential,50,True,30.945,"LINESTRING (5.3540417 45.9578763, 5.3539872 45.958152)",,,
"[68925080, 43945611, 58650391]",False,"['Rue de la Petite Croze', 'Rue du Dépot', 'Rue Aynard']",residential,50,"[False, True]",560.956,"LINESTRING (5.3540417 45.9578763, 5.3533908 45.9578266, 5.3530589 45.9577863, 5.3524572 45.9576882, 5.3517794 45.957583, 5.351335 45.957514, 5.3513986 45.9573575, 5.3516909 45.9568652, 5.3520764 45.9563611, 5.3525546 45.9558359, 5.3529544 45.9555082, 5.35393 45.9559491)",,,
69769318,True,Rue de la Petite Croze,residential,50,False,134.173,"LINESTRING (5.3540417 45.9578763, 5.3541381 45.9578823, 5.3557657 45.958016)",,,
43945614,False,Chemin de Ronde,residential,50,False,97.925,"LINESTRING (5.3557657 45.958016, 5.3567403 45.9574534)",,,
43945614,False,Chemin de Ronde,residential,50,False,22.473,"LINESTRING (5.3584547 45.9564583, 5.3586323 45.9562983)",,,
43945614,False,Chemin de Ronde,residential,50,True,66.596,"LINESTRING (5.3584547 45.9564583, 5.3578239 45.9568662)",,,
44151138,False,Allée Henri Paule,residential,,False,65.323,"LINESTRING (5.3584547 45.9564583, 5.3578365 45.9560578)",,,
43945604,False,Allée Emmanuel Perret,unclassified,,False,218.855,"LINESTRING (5.3578239 45.9568662, 5.3556603 45.9555968)",,,
43945614,False,Chemin de Ronde,residential,50,False,66.596,"LINESTRING (5.3578239 45.9568662, 5.3584547 45.9564583)",,,
43945614,False,Chemin de Ronde,residential,50,True,45.543,"LINESTRING (5.3578239 45.9568662, 5.35768 45.9569617, 5.3573734 45.9571295)",,,
43945614,False,Chemin de Ronde,residential,50,True,97.925,"LINESTRING (5.3567403 45.9574534, 5.3557657 45.958016)",,,
43945612,False,Rue du Dépot,residential,50,False,161.524,"LINESTRING (5.3567403 45.9574534, 5.3563699 45.9572759, 5.355079 45.9565731)",,,
43945614,False,Chemin de Ronde,residential,50,False,60.763999999999996,"LINESTRING (5.3567403 45.9574534, 5.357276 45.9571793, 5.3573734 45.9571295)",,,
43945614,False,Chemin de Ronde,residential,50,True,22.473,"LINESTRING (5.3586323 45.9562983, 5.3584547 45.9564583)",,,
43945601,False,Rue de la Bâtisse,residential,,False,113.31,"LINESTRING (5.3586323 45.9562983, 5.3592153 45.9557729, 5.359522 45.9554885)",,,
"[699042208, 43945602]",False,"['Rue de la Bâtisse', 'Allée Armand Decour']","['residential', 'unclassified']",50,"[False, True]",195.076,"LINESTRING (5.3586323 45.9562983, 5.3598131 45.9560846, 5.3601011 45.9560674, 5.359522 45.9554885)",,,
42463241,False,Rue Aristide Briand,tertiary,,False,111.012,"LINESTRING (5.3554178 45.9582387, 5.3551054 45.9582158, 5.3539872 45.958152)",,,
42463241,False,Rue Aristide Briand,tertiary,,True,181.282,"LINESTRING (5.3554178 45.9582387, 5.3555653 45.9582495, 5.3561632 45.9582935, 5.3570532 45.958381, 5.3572737 45.9583949, 5.3573729 45.958396, 5.3574891 45.9583912, 5.3575852 45.9583838, 5.3577449 45.958361)",,,
154324822,False,Avenue de Verdun,tertiary,50,True,46.037,"LINESTRING (5.3557052 45.9612536, 5.3551275 45.9611529)",,,
68910380,False,Rue Aimé Poncet,unclassified,50,True,38.994,"LINESTRING (5.3557052 45.9612536, 5.3556741 45.9613108, 5.3555532 45.961533, 5.3555271 45.9615817)",,,
154324822,False,Avenue de Verdun,tertiary,50,False,24.323,"LINESTRING (5.3557052 45.9612536, 5.35573 45.961258, 5.355762 45.9612635, 5.3560105 45.9613066)",,,
44025223,False,Rue Aguétant,unclassified,50,False,5.268,"LINESTRING (5.3555271 45.9615817, 5.3554614 45.9615691)",,,
"[666534963, 44025223]",False,Rue Aguétant,unclassified,"['50', '30']",True,112.307,"LINESTRING (5.3555271 45.9615817, 5.3555517 45.9615864, 5.3556047 45.9615965, 5.3556767 45.9616106, 5.356423 45.9617572, 5.3566825 45.9617221, 5.3569055 45.9616322)",,,
68910380,False,Rue Aimé Poncet,unclassified,50,False,38.994,"LINESTRING (5.3555271 45.9615817, 5.3555532 45.961533, 5.3556741 45.9613108, 5.3557052 45.9612536)",,,
44025223,False,Rue Aguétant,unclassified,50,True,116.023,"LINESTRING (5.354014 45.9612927, 5.3553532 45.9615484, 5.3554614 45.9615691)",,,
154324830,False,,unclassified,,False,27.119,"LINESTRING (5.354014 45.9612927, 5.3541562 45.9611163, 5.3541869 45.9610805)",,,
666535728,True,Rue de la République,unclassified,50,False,54.809,"LINESTRING (5.3568215 45.9589228, 5.3564615 45.959133, 5.3562941 45.9592515)",,,
"[44027549, 666535430]",False,Rue Roger Vailland,unclassified,"['30', '50']",False,160.35199999999998,"LINESTRING (5.3576051 45.9606992, 5.3577448 45.9607302, 5.3578465 45.9607517, 5.3579048 45.960764, 5.3583966 45.9608679, 5.3588963 45.9609734, 5.3595916 45.9611146)",,,
"[666535428, 384805501]",True,Rue Alexandre Bérard,tertiary,30,False,100.94800000000001,"LINESTRING (5.3576051 45.9606992, 5.3576186 45.960628, 5.3577207 45.9604079, 5.3577982 45.9602533, 5.3578453 45.9601468, 5.3578616 45.9601113, 5.3579473 45.9599253, 5.3579909 45.9598331)",,,
"[44024716, 666535429]",False,Rue Alexandre Bérard,tertiary,"['30', '50']",True,101.564,"LINESTRING (5.3576051 45.9606992, 5.3575769 45.9607848, 5.3575656 45.9608121, 5.3575073 45.9609344, 5.3574101 45.9611386, 5.3571899 45.9615652)",,,
44027547,False,Avenue du Général de Gaulle,unclassified,50,False,263.78299999999996,"LINESTRING (5.3595916 45.9611146, 5.3592752 45.9617928, 5.3591675 45.9618677, 5.3590353 45.9619673, 5.3589122 45.9622472, 5.3589082 45.9622562, 5.358867 45.9623499, 5.358788 45.9624963, 5.3587421 45.9625813, 5.3586681 45.9626433, 5.3583567 45.9627717, 5.3582659 45.9627748, 5.358228 45.9627686, 5.3581059 45.9627484, 5.3578352 45.9626777, 5.3577923 45.9626258)",,,
68910366,False,Rue Roger Vailland,unclassified,50,False,45.152,"LINESTRING (5.3595916 45.9611146, 5.3599075 45.9610153, 5.3600159 45.9609755, 5.3601133 45.9609332)",,,
"[44027549, 666535430]",False,Rue Roger Vailland,unclassified,"['50', '30']",True,160.35200000000003,"LINESTRING (5.3595916 45.9611146, 5.3588963 45.9609734, 5.3583966 45.9608679, 5.3579048 45.960764, 5.3578465 45.9607517, 5.3577448 45.9607302, 5.3576051 45.9606992)",,,
44027554,False,,unclassified,50,True,107.275,"LINESTRING (5.3570862 45.9617969, 5.3572 45.9619114, 5.3574693 45.9622001, 5.3576507 45.9624545, 5.3577923 45.9626258)",,,
652456045,False,,tertiary,50,False,23.034,"LINESTRING (5.3570862 45.9617969, 5.3569798 45.9616982, 5.3569055 45.9616322)",,,
697621031,False,,tertiary,50,False,26.982,"LINESTRING (5.3570862 45.9617969, 5.3571395 45.9616779, 5.3571899 45.9615652)",,,
44027547,False,Avenue du Général de Gaulle,unclassified,50,True,263.783,"LINESTRING (5.3577923 45.9626258, 5.3578352 45.9626777, 5.3581059 45.9627484, 5.358228 45.9627686, 5.3582659 45.9627748, 5.3583567 45.9627717, 5.3586681 45.9626433, 5.3587421 45.9625813, 5.358788 45.9624963, 5.358867 45.9623499, 5.3589082 45.9622562, 5.3589122 45.9622472, 5.3590353 45.9619673, 5.3591675 45.9618677, 5.3592752 45.9617928, 5.3595916 45.9611146)",,,
44027554,False,,unclassified,50,False,107.27499999999999,"LINESTRING (5.3577923 45.9626258, 5.3576507 45.9624545, 5.3574693 45.9622001, 5.3572 45.9619114, 5.3570862 45.9617969)",,,
43945614,False,Chemin de Ronde,residential,50,False,45.543,"LINESTRING (5.3573734 45.9571295, 5.35768 45.9569617, 5.3578239 45.9568662)",,,
43945614,False,Chemin de Ronde,residential,50,True,60.763999999999996,"LINESTRING (5.3573734 45.9571295, 5.357276 45.9571793, 5.3567403 45.9574534)",,,
"[462663846, 44024718]",False,Rue Amédée Bonnet,tertiary,30,False,248.63300000000004,"LINESTRING (5.3595287 45.9568257, 5.3596229 45.9567323, 5.3598154 45.9566247, 5.3602923 45.9564025, 5.3612106 45.9559549, 5.36153 45.9557656, 5.3616572 45.9557014, 5.3618351 45.955573, 5.3620004 45.9554191)",,,
44024718,False,Rue Amédée Bonnet,tertiary,30,True,91.253,"LINESTRING (5.3595287 45.9568257, 5.3592136 45.9572106, 5.3589794 45.9575515)",,,
44028622,True,Rue de Gerland,residential,,False,63.373999999999995,"LINESTRING (5.3602036 45.9571491, 5.3597966 45.956948, 5.3595287 45.9568257)",,,
44024718,False,Rue Amédée Bonnet,tertiary,30,False,91.253,"LINESTRING (5.3589794 45.9575515, 5.3592136 45.9572106, 5.3595287 45.9568257)",,,
44024718,False,Rue Amédée Bonnet,tertiary,30,True,39.458,"LINESTRING (5.3589794 45.9575515, 5.3588206 45.9577369, 5.3587267 45.9578597)",,,
44028624,True,Rue Gabriel Vicaire,unclassified,,False,116.77599999999998,"LINESTRING (5.3589794 45.9575515, 5.3590615 45.9575528, 5.3591313 45.9575386, 5.359196 45.9575229, 5.3592714 45.9575226, 5.3593598 45.9575276, 5.3594484 45.9575375, 5.3595163 45.9575529, 5.3595801 45.957561, 5.3596198 45.9575772, 5.359777 45.9574869, 5.3597953 45.9574739, 5.3599432 45.9573693, 5.360061 45.9572678, 5.3602036 45.9571491)",,,
44024718,False,Rue Amédée Bonnet,tertiary,30,False,39.458,"LINESTRING (5.3587267 45.9578597, 5.3588206 45.9577369, 5.3589794 45.9575515)",,,
44024718,False,Rue Amédée Bonnet,tertiary,30,True,68.698,"LINESTRING (5.3587267 45.9578597, 5.358673 45.9580563, 5.3586037 45.958301, 5.3585816 45.9584686)",,,
