osmid,name,highway,oneway,reversed,length,maxspeed,geometry,access,ref,lanes,junction,bridge
34182224,Ruelle Braque,residential,False,False,81.665,,"LINESTRING (2.4456357 48.9849224, 2.4461803 48.9842808)",,,,,
"[338430520, 1151624480]",Rue de Paris,tertiary,False,False,169.05700000000002,"['30', '50']","LINESTRING (2.4456357 48.9849224, 2.4450031 48.9847469, 2.4448084 48.9847008, 2.4447197 48.9846779, 2.4445278 48.9846488, 2.4440094 48.9846301, 2.4436861 48.98462, 2.4433986 48.9846115)",,,,,
338430520,Rue de Paris,tertiary,False,True,119.21100000000001,30,"LINESTRING (2.4456357 48.9849224, 2.4460437 48.9850585, 2.4461596 48.9851071, 2.4462443 48.9851592, 2.4463114 48.9851946, 2.4466986 48.9854315, 2.4467947 48.985489, 2.4469259 48.9855668)",,,,,
105068154,Rue du Chatel,residential,True,False,78.263,,"LINESTRING (2.4474766 48.9859097, 2.4475155 48.9859072, 2.447538 48.9858989, 2.4475787 48.9858687, 2.4476652 48.9857995, 2.4477339 48.9857064, 2.4477721 48.9856095, 2.4479239 48.9852971)",,,,,
338430521,Rue de Paris,tertiary,False,False,111.40100000000001,50,"LINESTRING (2.4474766 48.9859097, 2.4475331 48.9859427, 2.4476057 48.9859663, 2.4480582 48.9861083, 2.4482355 48.9861578, 2.4487404 48.9863046, 2.4488562 48.9863328)",,,,,
471619407,Rue de Paris,tertiary,False,False,55.402,30,"LINESTRING (2.4474766 48.9859097, 2.4474033 48.9858674, 2.4469259 48.9855668)",,,,,
338430521,Rue de Paris,tertiary,False,True,5.335,50,"LINESTRING (2.4489236 48.9863514, 2.4488562 48.9863328)",,,,,
1151627644,Rue de Paris,tertiary,False,True,5.885,50,"LINESTRING (2.4489236 48.9863514, 2.4489991 48.98637)",,,,,
29382563,Rue de l'Hôtel-Dieu - Pierre du Thillay,residential,True,False,70.26,,"LINESTRING (2.4489236 48.9863514, 2.4488729 48.9864277, 2.4487706 48.986563, 2.4484869 48.9869143)",,,,,
36284758,Parc de la Commanderie,unclassified,False,False,84.82,,"LINESTRING (2.4504748 48.9865559, 2.4504454 48.9867633, 2.4503213 48.9873118)",,,,,
50051998,Rue Furmanek,residential,False,True,72.64099999999999,,"LINESTRING (2.4504748 48.9865559, 2.4504813 48.986471, 2.4507184 48.986002, 2.4507514 48.9859311)",yes,,,,
"[1151627644, 241127116]",Rue de Paris,tertiary,False,False,109.80000000000001,"['30', '50']","LINESTRING (2.4504748 48.9865559, 2.4501185 48.9865152, 2.4500808 48.9865107, 2.4496252 48.9864565, 2.4491207 48.9864001, 2.4489991 48.98637)",,,,,
241127116,Rue de Paris,tertiary,False,True,81.11,30,"LINESTRING (2.4504748 48.9865559, 2.4505855 48.98657, 2.451307 48.986645, 2.4515716 48.9866741)",,,,,
29382562,Rue Emmanuel Rain,tertiary,False,True,181.763,,"LINESTRING (2.4515716 48.9866741, 2.4515091 48.986966, 2.4514733 48.9871045, 2.4513656 48.9875061, 2.4513359 48.9875899, 2.4511209 48.9881919, 2.4511346 48.9882787)",,D 47,,,
241127116,Rue de Paris,tertiary,False,False,81.11,30,"LINESTRING (2.4515716 48.9866741, 2.451307 48.986645, 2.4505855 48.98657, 2.4504748 48.9865559)",,,,,
"[43625435, 1151627645]",Rue de Paris,tertiary,False,True,78.55799999999999,"['30', '50']","LINESTRING (2.4515716 48.9866741, 2.4518042 48.9866974, 2.4518472 48.9867017, 2.4522324 48.9867228, 2.4524537 48.9867326, 2.4526431 48.9867355)",,,,,
43625435,Rue de Paris,tertiary,False,False,30.174,50,"LINESTRING (2.4530559 48.9867196, 2.4526431 48.9867355)",,,,,
43625435,Rue de Paris,tertiary,False,True,259.381,50,"LINESTRING (2.4530559 48.9867196, 2.4530698 48.9867189, 2.4533603 48.9866932, 2.4536573 48.9866606, 2.4537247 48.9866532, 2.4540041 48.9866029, 2.4541145 48.9865812, 2.4542835 48.9865479, 2.4548442 48.9864272, 2.4559917 48.9861864, 2.4564652 48.9860774)",,,,,
219835910,Rue des Cressonnières,residential,True,False,16.688000000000002,,"LINESTRING (2.4530559 48.9867196, 2.453013 48.9867364, 2.4529796 48.9867549, 2.4529431 48.986787, 2.4529362 48.9868116, 2.4529386 48.9868351)",,,,,
639324398,Rond-Point de la Laïcité,primary,True,False,28.392,50,"LINESTRING (2.4438202 48.9819193, 2.4437189 48.9819423, 2.4436117 48.9819423, 2.4435104 48.9819194, 2.4434555 48.9818936)",,,2,roundabout,
29382562,Rue Emmanuel Rain,tertiary,False,False,181.76300000000003,,"LINESTRING (2.4511346 48.9882787, 2.4511209 48.9881919, 2.4513359 48.9875899, 2.4513656 48.9875061, 2.4514733 48.9871045, 2.4515091 48.986966, 2.4515716 48.9866741)",,D 47,,,
241127115,Rue du Thillay,tertiary,False,True,215.068,,"LINESTRING (2.4511346 48.9882787, 2.4514302 48.9885094, 2.4514714 48.988546, 2.4516672 48.9887612, 2.45174 48.9888792, 2.4517896 48.9890075, 2.4519143 48.9894262, 2.4520547 48.989887, 2.4520782 48.9899642, 2.4521076 48.990064)",,D 47,,,
420826318,Rue Bernard Février,residential,False,True,97.501,50,"LINESTRING (2.4478359 48.988464, 2.4477736 48.9884641, 2.4475704 48.9884608, 2.4473357 48.9884476, 2.446867 48.9883937, 2.4466971 48.9883644, 2.4465352 48.9883076)",,,,,
