osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,maxspeed,access
22746734,True,2,M 613,Route de Montpellier,primary,False,104.83900000000001,"LINESTRING (3.8322091 43.5762295, 3.8320747 43.576221, 3.8315236 43.5760573, 3.8312439 43.5759807, 3.8312111 43.5759717, 3.8309896 43.575911)",,,
103965765,False,2,M 613,Route de Montpellier,primary,False,8.228,"LINESTRING (3.8309896 43.575911, 3.8310063 43.575838)",,,
"[103965764, 722979773]",True,2,M 613,"['Carrefour Paul Bernard', 'Route de Montpellier']",primary,False,117.34400000000001,"LINESTRING (3.8309896 43.575911, 3.8307716 43.5758512, 3.8306474 43.5758171, 3.8303467 43.5757475, 3.8298658 43.5756524, 3.8296922 43.5756181, 3.8296657 43.5756129, 3.8296286 43.5756089, 3.8295973 43.5756055)",,,
437559544,True,2,,Esplanade de l'Ortet,residential,False,30.698,"LINESTRING (3.8309896 43.575911, 3.8310057 43.5759768, 3.8309994 43.5759933, 3.8308953 43.57617)",,,
524638911,False,,M 613,,primary,True,8.543,"LINESTRING (3.8249633 43.5750406, 3.8249923 43.5749667)",,,
22746736,True,,M 613,Route de Béziers,primary,False,74.877,"LINESTRING (3.8249633 43.5750406, 3.8241407 43.5748452, 3.8241085 43.5748053)",,,
21747992,True,,,Place Raymond Mavit,tertiary,False,21.361,"LINESTRING (3.8282928 43.5773904, 3.8282946 43.5773622, 3.8283076 43.5773357, 3.8283307 43.577313, 3.828362 43.5772963, 3.8283987 43.5772868, 3.8284339 43.5772854, 3.8284685 43.5772907)",roundabout,,
"[924907104, 103965761, 446743620]",False,2,M 132,"['Avenue Georges Clemenceau', ""Rue Fon de l'Hospital""]","['living_street', 'tertiary']",True,186.377,"LINESTRING (3.8282928 43.5773904, 3.8282615 43.5773926, 3.8281471 43.5774007, 3.8280769 43.5774052, 3.8278069 43.5774274, 3.8277605 43.5774324, 3.8273428 43.5774773, 3.8271578 43.5774979, 3.8270929 43.5775113, 3.8270249 43.5775488, 3.8269594 43.5775999, 3.8269235 43.5776279, 3.8267181 43.5777883, 3.826712 43.577793, 3.8266401 43.5778531, 3.8263925 43.5780472, 3.8263373 43.5780904)",,30,
21751184,False,,,Allée Jean Vilar,residential,True,75.489,"LINESTRING (3.8285498 43.5773523, 3.8285977 43.577345, 3.8287209 43.5773245, 3.8288469 43.5773036, 3.8289404 43.577288, 3.8293638 43.5772175, 3.8294633 43.5772009)",,30,
1219350841,True,,,Place Raymond Mavit,tertiary,False,11.152000000000001,"LINESTRING (3.8285498 43.5773523, 3.8285556 43.5773855, 3.8285452 43.577418, 3.8285199 43.577446)",roundabout,,
22754109,True,,,Rue Fon de l'Hospital,residential,False,88.826,"LINESTRING (3.8295882 43.5776045, 3.8294447 43.5775979, 3.8291672 43.5775333, 3.8288435 43.5774571, 3.8286656 43.5774349, 3.8285872 43.5774419, 3.8285199 43.577446)",,,
108344951,False,,,Rue Fon de l'Hospital,residential,False,65.029,"LINESTRING (3.8295882 43.5776045, 3.8296379 43.5776259, 3.8303565 43.5777801)",,,
22746737,True,,,Rue Louis Pasteur,residential,False,10.954,"LINESTRING (3.8277452 43.5766879, 3.8276263 43.5766401)",,,
"[21751022, 26164383]",True,,,"['Avenue de la Libération', 'Grand Rue']",residential,False,105.268,"LINESTRING (3.8277452 43.5766879, 3.8268732 43.5771869, 3.826845 43.5771972, 3.8267894 43.5772042, 3.8266819 43.5772019)",,,
26259326,False,,,Avenue de la Libération,residential,False,63.813,"LINESTRING (3.8277452 43.5766879, 3.8280044 43.5765504, 3.8282795 43.5763897, 3.8283891 43.576359)",,,
21751184,False,,,Allée Jean Vilar,residential,False,57.141999999999996,"LINESTRING (3.8301575 43.5771034, 3.8300753 43.577102, 3.830006 43.5771106, 3.8295245 43.5771908, 3.8294633 43.5772009)",,30,
437559536,True,,,Esplanade de l'Ortet,residential,False,103.92299999999999,"LINESTRING (3.8301575 43.5771034, 3.83016 43.5770785, 3.8303031 43.5768185, 3.8305788 43.5763178, 3.830608 43.5762647, 3.8306241 43.5762333)",,30,
680553673,True,,,Rue André Chamson,residential,False,6.628,"LINESTRING (3.8312312 43.5772105, 3.8311549 43.5771882)",,,
26335769,True,,,Rue Boby Lapointe,residential,False,81.681,"LINESTRING (3.8312312 43.5772105, 3.8308692 43.5778611, 3.8308521 43.5778918)",,,
21751277,True,,,Esplanade de l'Ortet,residential,False,48.97,"LINESTRING (3.8305359 43.5770084, 3.8304491 43.577161, 3.8304251 43.5771872, 3.8303909 43.5772028, 3.8303487 43.5772042, 3.8301949 43.5771588, 3.8301689 43.5771383, 3.8301575 43.5771034)",,30,
21756174,False,,,Rue Lou Planas,residential,True,88.65700000000001,"LINESTRING (3.8316836 43.5796398, 3.8312934 43.5793082, 3.8312437 43.5792831, 3.8311772 43.57927, 3.8311235 43.5792824, 3.8308965 43.5794388)",,,
21756174,False,,,Rue Lou Planas,residential,False,88.65700000000001,"LINESTRING (3.8308965 43.5794388, 3.8311235 43.5792824, 3.8311772 43.57927, 3.8312437 43.5792831, 3.8312934 43.5793082, 3.8316836 43.5796398)",,,
21756243,False,,,Rue des Sarraliers,residential,True,118.50299999999999,"LINESTRING (3.8308965 43.5794388, 3.8305424 43.5791983, 3.8304969 43.5791627, 3.8302664 43.5788465, 3.8300139 43.5785987)",,,
21756269,False,,,Rue des Iris,residential,True,134.103,"LINESTRING (3.830711 43.5789099, 3.8308586 43.5787713, 3.8317019 43.5781032, 3.8318184 43.5780101)",,,
21756269,False,,,Rue des Iris,residential,False,134.103,"LINESTRING (3.8318184 43.5780101, 3.8317019 43.5781032, 3.8308586 43.5787713, 3.830711 43.5789099)",,,
108344951,False,,,Rue Fon de l'Hospital,residential,True,79.46600000000001,"LINESTRING (3.8318184 43.5780101, 3.8316643 43.5780038, 3.8312026 43.5779747, 3.8311298 43.5779575, 3.8308521 43.5778918)",,,
21756404,False,,,Rue Guillaume d'Autignac,residential,False,95.116,"LINESTRING (3.8303565 43.5777801, 3.8303299 43.5778435, 3.8300469 43.5785216, 3.8300139 43.5785987)",,,
108344951,False,,,Rue Fon de l'Hospital,residential,False,41.81,"LINESTRING (3.8303565 43.5777801, 3.8304392 43.5777983, 3.8308521 43.5778918)",,,
