osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,junction,tunnel
"[655664545, 154977108]",Quai de la Poterne,secondary,30,False,True,209.264,"LINESTRING (3.4069043 49.0439689, 3.4064713 49.0440494, 3.405846 49.0441831, 3.4051667 49.0443285, 3.4042251 49.0444372, 3.4041335 49.0444462)",,,,
301808316,,residential,30,False,True,41.232,"LINESTRING (3.3972881 49.0439011, 3.3972524 49.0439901, 3.3972611 49.044068, 3.397327 49.0441597, 3.3974502 49.0442175)",,,,
56476800,Place du Jeu de Paume,residential,30,False,False,31.616999999999997,"LINESTRING (3.4058686 49.0456194, 3.4059773 49.0455411, 3.406185 49.0454257)",,,,
164600267,Avenue Joussaume Latour,tertiary,30,False,False,165.732,"LINESTRING (3.4058686 49.0456194, 3.4055369 49.0454465, 3.4050823 49.0452096, 3.4048542 49.0450907, 3.4042305 49.0447612, 3.4040892 49.0446915)",,,,
164600267,Avenue Joussaume Latour,tertiary,30,False,True,24.95,"LINESTRING (3.4058686 49.0456194, 3.406053 49.0457174, 3.4061239 49.0457681)",,,,
56476809,Rue de la Barre,tertiary,30,False,False,322.2159999999999,"LINESTRING (3.4061239 49.0457681, 3.4061594 49.0458265, 3.4061775 49.0458701, 3.4061884 49.0459775, 3.4061791 49.0460514, 3.4061649 49.0461166, 3.4061136 49.0462549, 3.4060345 49.0464952, 3.4060206 49.0466368, 3.4060905 49.0467928, 3.4061069 49.0468239, 3.406198 49.0469968, 3.406208 49.0470157, 3.4064874 49.0473538, 3.4068405 49.0476703, 3.4069623 49.0478061, 3.4070007 49.0478989, 3.4070131 49.0481835, 3.4069716 49.0482667, 3.4068729 49.0483758, 3.4067864 49.0484381)",,,,
164600267,Avenue Joussaume Latour,tertiary,30,False,False,24.95,"LINESTRING (3.4061239 49.0457681, 3.406053 49.0457174, 3.4058686 49.0456194)",,,,
230444180,Rue Carnot,secondary,,True,False,22.535,"LINESTRING (3.4041094 49.0418309, 3.4041071 49.0419266, 3.4040666 49.0420302)",1,,,
655664544,Rue Carnot,secondary,30,True,False,22.279,"LINESTRING (3.4037534 49.0427763, 3.4036794 49.0429707)",,,,
56047022,Rue Paul Doucet,residential,30,True,False,56.618,"LINESTRING (3.4037534 49.0427763, 3.4031925 49.0424873, 3.4031721 49.042475, 3.403146 49.0424591)",,,,
459593771,Place du Maréchal Leclerc,secondary,30,True,False,24.822,"LINESTRING (3.4035922 49.0419851, 3.4036468 49.0419707, 3.4039221 49.0420098)",,,,
56158673,Place du Maréchal Leclerc,residential,30,True,False,21.814,"LINESTRING (3.4035104 49.0421976, 3.4033252 49.0420435)",1,,,
459593771,Place du Maréchal Leclerc,secondary,30,True,False,16.494,"LINESTRING (3.4035104 49.0421976, 3.4035665 49.0420539)",,,,
1077151971,Place du Maréchal Leclerc,secondary,30,True,False,11.238,"LINESTRING (3.4039221 49.0420098, 3.4040118 49.042092)",,,,
459593772,Rue Carnot,secondary,,True,False,24.717,"LINESTRING (3.4039221 49.0420098, 3.4039991 49.0419734, 3.4040354 49.0419167, 3.4041094 49.0418309)",1,,,
56084072,Rue des Granges,secondary,30,True,False,39.842,"LINESTRING (3.403146 49.0424591, 3.4034768 49.042251, 3.4035104 49.0421976)",,,,
56047020,Rue Carnot,secondary,20,True,False,36.698,"LINESTRING (3.4040118 49.042092, 3.4039557 49.0422641, 3.4039063 49.0424147)",,,,
56047033,Quai Gambetta,residential,30,False,False,253.187,"LINESTRING (3.4090974 49.0418502, 3.4089933 49.0418307, 3.4088477 49.0418036, 3.4083886 49.0417178, 3.4075121 49.041577, 3.4074324 49.0415642, 3.4073446 49.0415497, 3.4069213 49.0414798, 3.4068218 49.0414633, 3.4065113 49.041412, 3.405892 49.0413118, 3.4058096 49.0412985, 3.4057351 49.0412805)",,,,
56084073,Quai Amédée Couesnon,residential,30,True,False,86.02000000000001,"LINESTRING (3.4020962 49.0432877, 3.4019736 49.0432616, 3.40175 49.0432117, 3.401042 49.0430538, 3.400978 49.0430403)",,,,
