osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,access,junction
906882503,True,D 115,Rue du 11 Novembre 1918,tertiary,False,16.459,"LINESTRING (-1.4738937 47.1727929, -1.4737821 47.17292)",,,,
21621179,False,D 115,Rue du 11 Novembre 1918,tertiary,False,114.077,"LINESTRING (-1.4738937 47.1727929, -1.4740577 47.1723711, -1.474145 47.1721457, -1.4742072 47.1719764, -1.4742739 47.1718001)",,,,
22756026,True,,Rue de la Garenne,residential,False,57.394000000000005,"LINESTRING (-1.4783377 47.1669519, -1.4782984 47.1668844, -1.4782236 47.1666774, -1.4779829 47.1665152)",,,,
42740773,False,D 115,Rue Charles Chollet,tertiary,False,147.998,"LINESTRING (-1.4783377 47.1669519, -1.4785153 47.1668678, -1.4786105 47.1667659, -1.4786513 47.1666515, -1.4786488 47.1663914, -1.4786452 47.1660117, -1.4786524 47.165941, -1.478668 47.1658693, -1.478689 47.1658072, -1.4787102 47.1657627, -1.4787445 47.1657165)",2,50,,
983272118,False,D 115,Rue Charles Chollet,tertiary,True,253.15299999999996,"LINESTRING (-1.4783377 47.1669519, -1.4782943 47.1669606, -1.477946 47.1670035, -1.4767635 47.1671491, -1.4765967 47.1671772, -1.4764382 47.1672143, -1.4762918 47.1672614, -1.4761685 47.1673365, -1.4760648 47.1674217, -1.4759873 47.1675148, -1.4759175 47.1676756, -1.4758572 47.1678169, -1.4758076 47.1679006, -1.475798 47.1679265, -1.4757674 47.1680094)",2,50,,
22755728,True,,Rue Charles Lecour,residential,False,6.643,"LINESTRING (-1.4736176 47.1679583, -1.4736754 47.1679133)",1,30,,
35336563,True,,Place Saint-Martin,residential,False,3.644,"LINESTRING (-1.4736176 47.1679583, -1.4735694 47.1679587)",1,30,,
161925032,True,,Rue Louis Bonnigal,residential,False,55.855999999999995,"LINESTRING (-1.4729634 47.169073, -1.4729614 47.169127, -1.4730082 47.1694207, -1.4730416 47.1695719)",1,30,,
"[161924985, 204247229, 161925021]",False,,"['Rue Henri Charpentier', 'Rue Charles Callier', 'Place Saint-Martin']",residential,"[False, True]",93.725,"LINESTRING (-1.4729634 47.169073, -1.4729565 47.1690211, -1.4728733 47.1686213, -1.4729164 47.1685627, -1.4730209 47.1685541, -1.4733803 47.1685016)","['1', '2']",30,,
22588282,False,,Place du Beau Verger,residential,False,19.223,"LINESTRING (-1.4730416 47.1695719, -1.4731789 47.169574, -1.4732956 47.1695793)",1,30,,
161925033,False,,Rue Louis Bonnigal,residential,False,135.15099999999998,"LINESTRING (-1.4730416 47.1695719, -1.4729325 47.1695807, -1.4725623 47.1696107, -1.4720834 47.1696203, -1.4713285 47.1696352, -1.4712577 47.1696369)",2,30,,
"[300486893, 21624406]",False,,Rue d'Anjou,residential,False,109.741,"LINESTRING (-1.4712577 47.1696369, -1.4712391 47.1697247, -1.4711689 47.1699603, -1.4710977 47.1700298, -1.4709127 47.1701236, -1.4705012 47.170287, -1.4703824 47.1703316)",,30,,
"[600325368, 245896011, 42465107, 600325364]",True,,Rue de l'Hôpital,residential,False,106.86,"LINESTRING (-1.4712577 47.1696369, -1.4712485 47.1695094, -1.4712173 47.169374, -1.4711387 47.1690607, -1.4710944 47.1688615, -1.4710802 47.1688101, -1.4710257 47.1687603, -1.470956 47.1687193)",2,30,no,
161925033,False,,Rue Louis Bonnigal,residential,True,135.151,"LINESTRING (-1.4712577 47.1696369, -1.4713285 47.1696352, -1.4720834 47.1696203, -1.4725623 47.1696107, -1.4729325 47.1695807, -1.4730416 47.1695719)",2,30,,
"[300486892, 300486893]",False,,Rue d'Anjou,residential,True,130.897,"LINESTRING (-1.468375 47.1711587, -1.4685153 47.1710997, -1.4688187 47.1709721, -1.4697268 47.1705894, -1.4698506 47.1705429)",,30,,
600326530,True,,,tertiary,False,17.355,"LINESTRING (-1.468375 47.1711587, -1.46835 47.1711443, -1.468321 47.1711339, -1.4682894 47.1711279, -1.4682566 47.1711267, -1.4682243 47.1711304, -1.4681938 47.1711386, -1.4681666 47.1711511)",1,50,,roundabout
42379634,True,,,tertiary,False,16.788,"LINESTRING (-1.4681666 47.1711511, -1.4681472 47.1711646, -1.4681317 47.1711802, -1.4681206 47.1711975, -1.4681144 47.1712159, -1.4681132 47.1712348, -1.468117 47.1712535, -1.4681258 47.1712714, -1.4681392 47.1712879)",1,50,,roundabout
499961095,False,,Boulevard de l'Europe,tertiary,True,153.60399999999998,"LINESTRING (-1.4681666 47.1711511, -1.4680518 47.1710313, -1.4676005 47.1705605, -1.4675723 47.1705311, -1.4670959 47.1699775)",,,,
21624398,False,,Boulevard de l'Europe,tertiary,False,244.27900000000002,"LINESTRING (-1.4683754 47.1713007, -1.4685117 47.1713991, -1.4693039 47.1718692, -1.469575 47.1719949, -1.4697763 47.1720883, -1.4703115 47.1722859, -1.4710498 47.1724959)",,,,
600326533,True,,,tertiary,False,17.384,"LINESTRING (-1.4683754 47.1713007, -1.4683931 47.1712853, -1.4684061 47.1712679, -1.4684141 47.1712491, -1.4684168 47.1712297, -1.468414 47.1712102, -1.4684059 47.1711915, -1.4683928 47.1711741, -1.468375 47.1711587)",1,50,,roundabout
