osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,lanes,bridge,width,access
8475485,Boulevard du Colonel Teulié,primary,30,False,False,21.964,"LINESTRING (2.0371372 44.6101428, 2.0370615 44.6102618, 2.0370239 44.6103231)",,,,,,
8475485,Boulevard du Colonel Teulié,primary,30,False,True,96.677,"LINESTRING (2.0371372 44.6101428, 2.0371687 44.6100899, 2.0372061 44.6100271, 2.037532 44.6094802, 2.0375909 44.6093813, 2.0376141 44.6093424)",,,,,,
41163520,Place des Mirepoises,living_street,20,False,True,67.029,"LINESTRING (2.0371372 44.6101428, 2.0366376 44.6099537, 2.036401 44.6099217, 2.0363616 44.6099164)",,,,,,
8475590,Boulevard du Colonel Teulié,primary,30,True,False,19.91,"LINESTRING (2.0358637 44.6114668, 2.0358473 44.611433, 2.0358463 44.6113971, 2.0358608 44.6113628, 2.0358894 44.6113334, 2.0359294 44.6113117)",,,,,,
23050057,Allées Pierre Bérégovoy,primary,30,False,True,167.64000000000001,"LINESTRING (2.0358637 44.6114668, 2.0357201 44.6115342, 2.0356501 44.6115669, 2.0355739 44.6116033, 2.0351865 44.6117882, 2.0349699 44.6118916, 2.0347117 44.6120149, 2.0342502 44.6122338, 2.0341019 44.6123034)",D 19,,,,,
981533344,Rue Émile Zola,living_street,20,True,False,14.292,"LINESTRING (2.0379403 44.6082432, 2.0377738 44.6082929)",,,,,,
41163503,Rue du Canal,living_street,20,False,True,38.896,"LINESTRING (2.0379403 44.6082432, 2.037654 44.6081689, 2.0374827 44.6081162)",,,,,,
981302784,,primary,30,True,False,13.437000000000001,"LINESTRING (2.0379403 44.6082432, 2.0379373 44.6082194, 2.0379423 44.6081954, 2.0379582 44.608174, 2.0379833 44.6081577, 2.0380147 44.6081482)",,roundabout,,,,
267034680,Place du Douze Mai,primary,30,False,True,17.237000000000002,"LINESTRING (2.0284232 44.6107897, 2.0284994 44.6107964, 2.0286397 44.6107866)",D 19,,3,,,
273030212,Rue des Maquisards,primary,30,True,False,21.304,"LINESTRING (2.0284232 44.6107897, 2.0281808 44.6108175, 2.0281585 44.610823)",D 19,,,,,
981287958,Avenue Casimir Marcenac,primary,30,False,False,11.235,"LINESTRING (2.0298811 44.6115614, 2.0298014 44.6114778)",D 19,,,,,
