osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,width,bridge
39540397,4205,Kuršmarių g.,secondary,False,False,13.902000000000001,"LINESTRING (21.3731275 55.299903, 21.3729975 55.2998977, 21.3729083 55.2998955)",,,
"[95207568, 1236019953, 1236019954]",4218,Taikos g.,secondary,False,True,304.649,"LINESTRING (21.3731275 55.299903, 21.3731477 55.2998259, 21.3731785 55.2997511, 21.3732727 55.2996133, 21.3739641 55.2986693, 21.3740666 55.2985318, 21.3741076 55.2984735, 21.3741294 55.2984426, 21.3741899 55.2983454, 21.3742369 55.2982616, 21.3743075 55.2981358, 21.3743556 55.2980196, 21.3743746 55.2979189, 21.3743535 55.2978353, 21.374332 55.2977715, 21.3742492 55.2975257, 21.3741559 55.2973067)",2,,
95207576,,Skalvių g.,residential,False,False,301.411,"LINESTRING (21.3703611 55.2977308, 21.3703632 55.2979353, 21.3703367 55.297993, 21.3702688 55.2980842, 21.3691632 55.2993034, 21.3688757 55.299633, 21.3687706 55.2997829, 21.3687151 55.2999613, 21.3687128 55.3001176, 21.3687397 55.300225)",,,
95207581,,Neringos g.,residential,False,True,189.602,"LINESTRING (21.3703611 55.2977308, 21.3706809 55.2976943, 21.3708597 55.2976751, 21.3716468 55.2975858, 21.3719153 55.2975522, 21.3725498 55.2974827, 21.3733002 55.2974031)",,,
95207570,4218,Neringos g.,secondary,False,True,71.955,"LINESTRING (21.3741559 55.2973067, 21.3752252 55.2970873)",2,,
"[937308744, 1185347969]",,Neringos g.,residential,False,False,55.221000000000004,"LINESTRING (21.3741559 55.2973067, 21.3738865 55.297337, 21.3733002 55.2974031)",2,,
"[95207568, 1236019953, 1236019954]",4218,Taikos g.,secondary,False,False,304.64900000000006,"LINESTRING (21.3741559 55.2973067, 21.3742492 55.2975257, 21.374332 55.2977715, 21.3743535 55.2978353, 21.3743746 55.2979189, 21.3743556 55.2980196, 21.3743075 55.2981358, 21.3742369 55.2982616, 21.3741899 55.2983454, 21.3741294 55.2984426, 21.3741076 55.2984735, 21.3740666 55.2985318, 21.3739641 55.2986693, 21.3732727 55.2996133, 21.3731785 55.2997511, 21.3731477 55.2998259, 21.3731275 55.299903)",2,,
39540397,4205,Kuršmarių g.,secondary,False,True,266.424,"LINESTRING (21.3687397 55.300225, 21.3699388 55.3001225, 21.3722429 55.2999409, 21.3727078 55.2999067, 21.3729083 55.2998955)",,,
95207576,,Skalvių g.,residential,False,True,301.411,"LINESTRING (21.3687397 55.300225, 21.3687128 55.3001176, 21.3687151 55.2999613, 21.3687706 55.2997829, 21.3688757 55.299633, 21.3691632 55.2993034, 21.3702688 55.2980842, 21.3703367 55.297993, 21.3703632 55.2979353, 21.3703611 55.2977308)",,,
24516190,,Neringos g.,residential,False,False,171.56999999999996,"LINESTRING (21.3776171 55.2963723, 21.376972 55.2965254, 21.3759994 55.296873, 21.3757983 55.296945, 21.3756258 55.2969911, 21.3752252 55.2970873)",2,,
24516190,,Neringos g.,residential,False,True,257.21,"LINESTRING (21.3776171 55.2963723, 21.3780228 55.2962887, 21.3785136 55.2961775, 21.3788074 55.2961109, 21.3798865 55.2958663, 21.380103 55.2958181, 21.3805022 55.2957291, 21.380237 55.2954838, 21.3802199 55.295468, 21.3798143 55.2953943)",2,,
95207581,,Neringos g.,residential,False,False,189.60199999999998,"LINESTRING (21.3733002 55.2974031, 21.3725498 55.2974827, 21.3719153 55.2975522, 21.3716468 55.2975858, 21.3708597 55.2976751, 21.3706809 55.2976943, 21.3703611 55.2977308)",,,
160106133,,Kristupo Jurkšaičio g.,residential,False,True,154.987,"LINESTRING (21.3733002 55.2974031, 21.3731726 55.2969947, 21.373105 55.2967026, 21.3730806 55.2964412, 21.3731308 55.2962309, 21.3732292 55.2960281)",,5,
"[937308744, 1185347969]",,Neringos g.,residential,False,True,55.221000000000004,"LINESTRING (21.3733002 55.2974031, 21.3738865 55.297337, 21.3741559 55.2973067)",2,,
160106133,,Kristupo Jurkšaičio g.,residential,False,False,154.987,"LINESTRING (21.3732292 55.2960281, 21.3731308 55.2962309, 21.3730806 55.2964412, 21.373105 55.2967026, 21.3731726 55.2969947, 21.3733002 55.2974031)",,5,
