osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,lanes
"[912935213, 31338837, 912935214]",residential,False,False,151.62,"LINESTRING (23.5771918 55.0396478, 23.5765924 55.0393256, 23.5765565 55.0393072, 23.576413 55.0392337, 23.5763828 55.0392182, 23.5761464 55.0390944, 23.5759466 55.0389769, 23.5758478 55.0389227, 23.5754638 55.0387107)",,,,
41219575,primary,False,False,91.828,"LINESTRING (23.5771918 55.0396478, 23.5769703 55.0398031, 23.5767079 55.0399702, 23.576227 55.0402608)",141,Vydūno al.,50,
760160130,primary,False,True,167.882,"LINESTRING (23.5771918 55.0396478, 23.5778535 55.0390682, 23.5784278 55.0385673, 23.578511 55.038494, 23.578633 55.0383839)",141,Vydūno al.,,
31338619,residential,False,True,13.004,"LINESTRING (23.5900508 55.0420606, 23.589968 55.0420087, 23.5899221 55.0419702)",,Smėlio g.,,
238753099,secondary,False,False,184.267,"LINESTRING (23.5900508 55.0420606, 23.5887384 55.0422926, 23.5872925 55.0425589)",1907,Čekiškės g.,50,2
29241747,residential,False,True,134.36,"LINESTRING (23.5833106 55.0363539, 23.5833724 55.0364038, 23.5834166 55.036423, 23.5835398 55.0364602, 23.5837845 55.0365995, 23.5839129 55.0366604, 23.5840489 55.0367127, 23.5842498 55.036777, 23.5844872 55.0368577, 23.5846223 55.0369149, 23.5848674 55.0370327, 23.5849804 55.0370778)",,Kalnų g.,,
760172126,primary,False,False,151.07,"LINESTRING (23.5833106 55.0363539, 23.5829269 55.0364841, 23.5827416 55.036544, 23.5825642 55.0366157, 23.5824181 55.03668, 23.582272 55.0367533, 23.5820332 55.0368701, 23.5818259 55.0369715, 23.5816703 55.0370402, 23.5814059 55.0371569)",141,Vydūno al.,,
724375202,residential,False,False,2.892,"LINESTRING (23.5844416 55.0387263, 23.5844158 55.0387477)",,Bažnyčios Mažoji g.,,
357196842,residential,False,False,88.13000000000001,"LINESTRING (23.5844416 55.0387263, 23.5843602 55.0386945, 23.5842793 55.0386534, 23.5841511 55.0385878, 23.5834123 55.0381977)",,Kauno g.,,
357196842,residential,False,True,110.497,"LINESTRING (23.5844416 55.0387263, 23.5849473 55.038831, 23.585281 55.0388889, 23.5855673 55.0389093, 23.5857335 55.0389112, 23.5861265 55.0389073)",,Kauno g.,,
