osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,width,geometry,ref,access,junction
"[83105223, 24571624, 411714827, 386060652, 24571635, 215799226]",3,"['Rinktinės g.', 'T. Vrublevskio g.', 'Karaliaus Mindaugo tiltas']",secondary,50,False,True,147.93200000000002,yes,19.7,"LINESTRING (25.2884235 54.6895723, 25.2884006 54.6894956, 25.2883869 54.6894505, 25.2882493 54.6890107, 25.2882054 54.6888381, 25.2881347 54.6885428, 25.2880905 54.6883973, 25.2880366 54.6882613)",,,
62271789,2,Gedimino pr.,secondary,50,False,False,41.953,,,"LINESTRING (25.2789263 54.6872594, 25.2795505 54.6871491)",,,
"[1164240958, 4924933, 1164240934]",2,Jogailos g.,secondary,50,True,False,199.091,,,"LINESTRING (25.2789263 54.6872594, 25.2789035 54.687175, 25.2788343 54.6869187, 25.2786337 54.6862708, 25.278499 54.6859074, 25.2783851 54.6857078, 25.2783372 54.6856238, 25.2783207 54.6855949, 25.2782703 54.6855132)",,,
1212686593,2,Gedimino pr.,secondary,20,False,False,39.215,,,"LINESTRING (25.2823292 54.6866528, 25.2829139 54.6865521)",,,
"[1165456945, 1165456642, 35460569, 4870206]",,Totorių g.,residential,40,False,False,183.609,,8,"LINESTRING (25.2823292 54.6866528, 25.2823037 54.6866164, 25.2822836 54.6865761, 25.2822715 54.6865156, 25.2822654 54.6863221, 25.2822586 54.6861068, 25.2822569 54.686052, 25.282218 54.6856126, 25.2821996 54.6853665, 25.2821993 54.685335, 25.2821968 54.6852303, 25.2821916 54.6850074)",,,
1212686593,2,Gedimino pr.,secondary,20,False,True,92.77799999999999,,,"LINESTRING (25.2823292 54.6866528, 25.2821767 54.6866815, 25.2820113 54.6867125, 25.2811841 54.6868619, 25.2809526 54.6869037)",,,
62271789,2,Gedimino pr.,secondary,50,False,True,41.953,,,"LINESTRING (25.2795505 54.6871491, 25.2789263 54.6872594)",,,
1077046661,,Vilniaus g.,residential,,False,False,14.678,,,"LINESTRING (25.2795505 54.6871491, 25.279551 54.6870171)",,,
"[24610665, 379377253]",2,Gedimino pr.,secondary,"['20', '50']",False,False,94.163,,,"LINESTRING (25.2795505 54.6871491, 25.2797476 54.687113, 25.2801807 54.6870362, 25.2809526 54.6869037)",,,
"[4853621, 1163440606]",2,Vilniaus g.,secondary,50,False,False,117.81900000000002,,,"LINESTRING (25.2795505 54.6871491, 25.2795925 54.6872291, 25.2796663 54.6874084, 25.2797423 54.6877999, 25.2797709 54.687913, 25.2798213 54.6881174, 25.2798354 54.6881939)",,,
