osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry
"[1266716688, 430625862, 1266716687]",2,193,Bažnyčios g.,primary,False,False,287.08299999999997,yes,"LINESTRING (21.6146685 55.5157264, 21.6151484 55.5158298, 21.6154973 55.5158998, 21.6157199 55.5159416, 21.6172115 55.5162181, 21.6175385 55.516286, 21.6176694 55.5163215, 21.6177893 55.5163637, 21.6179054 55.5164241, 21.6180642 55.5165309, 21.6181866 55.516617, 21.6183207 55.5166904, 21.618483 55.5167799, 21.6186552 55.5168621)"
100199002,,,Liepų a.,residential,False,True,16.413,,"LINESTRING (21.6224329 55.5158927, 21.6226837 55.515933)"
"[1191756562, 88082798]",,193,"['Liepų a.', 'Vilkėno g.']",primary,False,False,260.937,,"LINESTRING (21.6224329 55.5158927, 21.6224476 55.5158327, 21.6224597 55.5157271, 21.6224637 55.5155988, 21.6224626 55.5155542, 21.6224579 55.5155079, 21.6224476 55.5154318, 21.622172 55.5144784, 21.6221559 55.5143994, 21.6221559 55.5143402, 21.6221559 55.5142848, 21.622164 55.5142111, 21.6221785 55.5141023, 21.6221941 55.5139837, 21.6222076 55.5138957, 21.6222304 55.5138007, 21.6222625 55.5137028, 21.6223287 55.5135692)"
88082798,,193,Liepų a.,primary,False,True,87.116,,"LINESTRING (21.6224329 55.5158927, 21.6224128 55.5159451, 21.6223873 55.5159906, 21.6223242 55.5160802, 21.6222398 55.5161827, 21.6221966 55.5162259, 21.6220131 55.51639, 21.6217878 55.5165798)"
88082854,,193,Bažnyčios g.,primary,True,False,97.17800000000001,,"LINESTRING (21.6186552 55.5168621, 21.6187736 55.516808, 21.6189484 55.5167628, 21.6191006 55.5167411, 21.619225 55.5167359, 21.6193256 55.5167366, 21.619438 55.5167493, 21.6195293 55.5167666, 21.6196154 55.5167875, 21.619716 55.5168268, 21.6197725 55.5168511, 21.6200155 55.5169683)"
"[1266716688, 430625862, 1266716687]",2,193,Bažnyčios g.,primary,False,True,287.08299999999997,yes,"LINESTRING (21.6186552 55.5168621, 21.618483 55.5167799, 21.6183207 55.5166904, 21.6181866 55.516617, 21.6180642 55.5165309, 21.6179054 55.5164241, 21.6177893 55.5163637, 21.6176694 55.5163215, 21.6175385 55.516286, 21.6172115 55.5162181, 21.6157199 55.5159416, 21.6154973 55.5158998, 21.6151484 55.5158298, 21.6146685 55.5157264)"
430491376,,193,Žiedo g.,primary,False,True,11.758,,"LINESTRING (21.6205764 55.5172634, 21.620391 55.5172762)"
430502719,,193,Bažnyčios g.,primary,False,False,13.983,,"LINESTRING (21.6205764 55.5172634, 21.6207979 55.5172727)"
430502719,,193,Bažnyčios g.,primary,False,True,48.227999999999994,,"LINESTRING (21.6205764 55.5172634, 21.620409 55.51717, 21.6202885 55.5171026, 21.620208 55.5170632, 21.6200155 55.5169683)"
84726011,,4238,Gedminaičių g.,secondary,False,True,33.423,,"LINESTRING (21.6217878 55.5165798, 21.6222723 55.5167027)"
