osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,access,bridge
7971536,2204,Kęstučio g.,secondary,50,False,True,5.029,"LINESTRING (21.2474546 55.8877266, 21.2475334 55.887717)",,,,
7971554,,Jono Karolio Chodkevičiaus g.,unclassified,50,True,False,120.596,"LINESTRING (21.2474546 55.8877266, 21.24752 55.8881034, 21.2476022 55.8887047, 21.2476184 55.8888072)",,,,
169962691,,Vytauto g.,unclassified,50,False,True,95.78800000000001,"LINESTRING (21.2501647 55.8880806, 21.250059 55.8881034, 21.2495153 55.8882619, 21.248797 55.8884719)",,,,
171260056,,Jono Karolio Chodkevičiaus g.,residential,50,False,False,133.226,"LINESTRING (21.2466559 55.8901527, 21.2465974 55.8901584, 21.2464727 55.890167, 21.2456639 55.8902315, 21.2453218 55.8902597, 21.2453044 55.8902611, 21.2452672 55.8902645, 21.2445443 55.8903344)",,,,
"[171260056, 173580957]",,"['Jono Karolio Chodkevičiaus g.', 'Rotušės a.']",residential,50,False,False,150.00799999999998,"LINESTRING (21.2445443 55.8903344, 21.2435232 55.8904762, 21.242806 55.8905797, 21.2422109 55.8906626)",,,,
171260056,,Jono Karolio Chodkevičiaus g.,residential,50,False,True,133.226,"LINESTRING (21.2445443 55.8903344, 21.2452672 55.8902645, 21.2453044 55.8902611, 21.2453218 55.8902597, 21.2456639 55.8902315, 21.2464727 55.890167, 21.2465974 55.8901584, 21.2466559 55.8901527)",,,,
512324090,,Trumpoji g.,residential,50,False,True,58.836999999999996,"LINESTRING (21.2445443 55.8903344, 21.2445234 55.8902783, 21.2443509 55.8898165)",,,,
944554773,2303,Rotušės a.,secondary,50,True,False,7.716,"LINESTRING (21.2418289 55.8907566, 21.2418184 55.8907729, 21.241802 55.8907876, 21.2417803 55.8908, 21.2417543 55.8908094)",roundabout,,,
1015685503,2303,Vilniaus g.,secondary,50,False,True,5.04,"LINESTRING (21.2416388 55.8910602, 21.2416511 55.8910154)",,2,,
"[259332906, 513976341, 169962694]",,Akmenės g.,residential,50,False,True,415.8589999999999,"LINESTRING (21.2416388 55.8910602, 21.2415488 55.8910533, 21.241525 55.8910537, 21.2414137 55.891071, 21.2404618 55.8912842, 21.2399917 55.8908686, 21.2394877 55.8904682, 21.239376 55.8903629, 21.239296 55.8902789, 21.2392446 55.8902024, 21.2392049 55.8901001, 21.2391984 55.8900545, 21.2392117 55.8900003, 21.2392393 55.8899561, 21.2392484 55.8899323, 21.2392478 55.8899056, 21.2392384 55.8898782, 21.239225 55.8898504, 21.2391937 55.8898026, 21.2391479 55.8897594, 21.2390782 55.8897071, 21.238837 55.8895481, 21.2385706 55.889353, 21.2384727 55.8892709, 21.2383131 55.8890892, 21.2382567 55.8890002, 21.2382257 55.8889108, 21.2382039 55.8888486, 21.2381718 55.8886953, 21.2382498 55.8886419)",,,no,
"[982456447, 984724515, 7971551]",2303,Vilniaus g.,secondary,"['50', '30']",False,False,201.153,"LINESTRING (21.2416388 55.8910602, 21.24152 55.8915809, 21.2415057 55.8916759, 21.2415004 55.8917513, 21.2415017 55.8917932, 21.2415119 55.8918377, 21.2415401 55.8918914, 21.2415735 55.8919428, 21.2416538 55.8920499, 21.2417022 55.8921171, 21.2419689 55.8924748, 21.242041 55.8925635, 21.2421311 55.8926506, 21.2421993 55.8927088, 21.2422757 55.8927662)",,2,,
333805739,2303,Vilniaus g.,secondary,50,False,True,134.46900000000002,"LINESTRING (21.2436832 55.8936824, 21.243526 55.8935805, 21.2431627 55.8933442, 21.2428228 55.8931194, 21.242685 55.8930278, 21.2423295 55.8927992, 21.2422757 55.8927662)",,2,,
512480806,,Maironio g.,residential,50,False,False,107.654,"LINESTRING (21.2436832 55.8936824, 21.2437672 55.8936411, 21.2441189 55.8935602, 21.2448212 55.8934116, 21.245272 55.8933127)",,,,
