osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,name,geometry,tunnel,junction
"[1149849250, 27179684, 288397671, 356942293, 149221784, 149221791]","['2', '3']",138,primary,50,False,False,182.043,yes,Gedimino g.,"LINESTRING (23.0355942 54.6480842, 23.0356585 54.648199, 23.0357454 54.648347, 23.0358055 54.6484324, 23.0359462 54.6486352, 23.036177 54.6489842, 23.0362278 54.6490605, 23.0362446 54.6490872, 23.0363643 54.649255, 23.0363882 54.6492846, 23.0366049 54.6495198, 23.0366679 54.6495964)",,
"[43317826, 253654990, 356942294]","['2', '3']",185,primary,50,False,False,208.705,,Vytauto g.,"LINESTRING (23.0355942 54.6480842, 23.0353916 54.6481187, 23.0350346 54.648188, 23.0344275 54.6483204, 23.0342197 54.6483636, 23.0340632 54.6483947, 23.0339208 54.6484244, 23.0337048 54.6484751, 23.0335869 54.6485028, 23.0335257 54.6485182, 23.033232 54.648592, 23.0331586 54.6486093, 23.0330031 54.648646, 23.0325642 54.6487515)",,
"[95745488, 1149849249]","['2', '3']",,residential,50,False,True,216.364,,Taikos g.,"LINESTRING (23.0355942 54.6480842, 23.0355558 54.6479989, 23.0354637 54.6478023, 23.0353285 54.6475972, 23.0352302 54.647448, 23.0349007 54.6469517, 23.0344972 54.6463095, 23.0344619 54.6462533)",,
207815326,2,5101,primary,50,False,True,222.492,,Vytauto g.,"LINESTRING (23.0355942 54.6480842, 23.0357544 54.6480591, 23.0359592 54.6480136, 23.0364166 54.647892, 23.0366647 54.6478203, 23.0367499 54.6477961, 23.037708 54.6475237, 23.0384781 54.6473048, 23.0387219 54.6472354)",,
"[207543248, 724510540, 161847517, 161847518]",2,,tertiary,50,False,True,265.13800000000003,yes,"['J. Basanavičiaus a.', 'Eucharistinio kongreso tiltas', 'Statybininkų g.']","LINESTRING (23.0316197 54.6489558, 23.031663 54.6490413, 23.0316891 54.6490928, 23.0318784 54.6494296, 23.0318936 54.6494529, 23.0319159 54.6494871, 23.0320598 54.6496858, 23.0322661 54.6499804, 23.0322966 54.6500142, 23.0323649 54.6500982, 23.032525 54.650283, 23.0326922 54.6504759, 23.0327635 54.6505582, 23.0331866 54.6511312, 23.0332025 54.6511535)",,
357471184,2,185,primary,50,False,False,33.993,,Vytauto g.,"LINESTRING (23.0285339 54.6478047, 23.0281343 54.6476047)",,
357471184,2,185,primary,50,False,True,69.951,,Vytauto g.,"LINESTRING (23.0285339 54.6478047, 23.0291487 54.648101, 23.0293689 54.6482076)",,
27179854,2,,residential,50,False,True,181.21,,Vienybės g.,"LINESTRING (23.032779 54.6539741, 23.0325883 54.6537875, 23.0322824 54.653488, 23.0313456 54.6525712)",,
592131399,2,,residential,50,False,False,131.469,,Lauko g.,"LINESTRING (23.032779 54.6539741, 23.0328671 54.6539518, 23.0345777 54.6535192, 23.0346516 54.6535005)",,
352598225,2,,tertiary,50,False,False,169.943,,Statybininkų g.,"LINESTRING (23.0346516 54.6535005, 23.0346206 54.6534513, 23.0345948 54.6534105, 23.0343968 54.6530966, 23.0343435 54.6530123, 23.0342928 54.6529319, 23.0341186 54.6526428, 23.0340762 54.6525723, 23.0339834 54.6524183, 23.0338905 54.652264, 23.0338477 54.6521931, 23.0337677 54.6520603)",,
