osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,access
791446220,2,Aerouosto g.,secondary,50,False,True,11.303,,"LINESTRING (24.068686 54.9718187, 24.0687939 54.9717381)",
262768540,2,Vilniaus g.,trunk,50,True,False,180.869,A6,"LINESTRING (24.068686 54.9718187, 24.0682905 54.9716382, 24.0678994 54.971464, 24.0671673 54.971133, 24.0664574 54.970814)",
425007160,2,Vilniaus g.,trunk,50,True,False,24.668,A6,"LINESTRING (24.0687939 54.9717381, 24.069101 54.9718728)",
791446220,2,Aerouosto g.,secondary,50,False,False,11.303,,"LINESTRING (24.0687939 54.9717381, 24.068686 54.9718187)",
267179217,2,Aerouosto g.,secondary,50,False,True,32.905,,"LINESTRING (24.0687939 54.9717381, 24.0688659 54.9716842, 24.0688858 54.9716693, 24.0689369 54.9716311, 24.0691077 54.9715033)",
220096705,,Šaltinių g.,unclassified,,False,True,146.442,,"LINESTRING (24.0678243 54.9713101, 24.0678932 54.9712636, 24.0679215 54.9712445, 24.069311 54.970307)",
791446221,3,Vilniaus g.,trunk,50,True,False,47.782999999999994,A6,"LINESTRING (24.0678243 54.9713101, 24.0683052 54.9715269, 24.0683894 54.9715649, 24.068413 54.9715756)",
62191270,,Alyvų g.,residential,,False,True,125.975,,"LINESTRING (24.0629079 54.9691171, 24.0629993 54.9690448, 24.0640919 54.9682107)",
"[700145433, 128680314, 791446219]","['2', '3']",Vilniaus g.,trunk,50,True,False,174.911,A6,"LINESTRING (24.0629079 54.9691171, 24.0634838 54.969376, 24.0641089 54.9696567, 24.0641946 54.9696952, 24.0644103 54.9697869, 24.0649757 54.9700288, 24.0650804 54.9700757)",
62191270,,Alyvų g.,residential,,False,False,95.351,,"LINESTRING (24.0652855 54.9673433, 24.0643497 54.9680117)",
62191272,,Pievų g.,residential,,False,False,409.479,,"LINESTRING (24.0652855 54.9673433, 24.0670374 54.9681282, 24.0682996 54.9686522, 24.0700585 54.969461, 24.0703563 54.9695979)",
871662520,,Alyvų g.,residential,,False,False,190.477,,"LINESTRING (24.0652855 54.9673433, 24.0654875 54.9672295, 24.0655374 54.9671958, 24.065883 54.9669477, 24.066019 54.9668113, 24.0669524 54.9660801, 24.0671059 54.9659915)",
62191272,,Pievų g.,residential,,False,False,67.309,,"LINESTRING (24.0703563 54.9695979, 24.0704335 54.9696334, 24.0711689 54.9699837)",
62191272,,Pievų g.,residential,,False,True,409.47900000000004,,"LINESTRING (24.0703563 54.9695979, 24.0700585 54.969461, 24.0682996 54.9686522, 24.0670374 54.9681282, 24.0652855 54.9673433)",
220096705,,Šaltinių g.,unclassified,,False,False,103.28800000000001,,"LINESTRING (24.0703563 54.9695979, 24.0701281 54.9697527, 24.069311 54.970307)",
62191272,,Pievų g.,residential,,False,True,67.309,,"LINESTRING (24.0711689 54.9699837, 24.0704335 54.9696334, 24.0703563 54.9695979)",
"[696016643, 1127325262]",4,Oro Uosto g.,secondary,50,False,False,214.14600000000002,,"LINESTRING (24.0711689 54.9699837, 24.0703898 54.9705578, 24.0697585 54.971023, 24.0691077 54.9715033)",
696016643,4,Oro Uosto g.,secondary,50,False,True,222.64600000000002,,"LINESTRING (24.0711689 54.9699837, 24.0712962 54.9698769, 24.0714318 54.9697612, 24.0715946 54.9696031, 24.0717508 54.9694385, 24.0719594 54.9691397, 24.072066 54.9689438, 24.0721536 54.9687007, 24.0721849 54.9685971, 24.0722269 54.9684011, 24.0722716 54.9681179)",
62191270,,Alyvų g.,residential,,False,True,27.576,,"LINESTRING (24.0640919 54.9682107, 24.0643497 54.9680117)",
62191270,,Alyvų g.,residential,,False,False,125.975,,"LINESTRING (24.0640919 54.9682107, 24.0629993 54.9690448, 24.0629079 54.9691171)",
62191319,,Tulpių g.,residential,,False,False,406.616,,"LINESTRING (24.0640919 54.9682107, 24.065361 54.9687451, 24.0684015 54.9699405, 24.069311 54.970307)",
62191319,,Tulpių g.,residential,,False,True,406.616,,"LINESTRING (24.069311 54.970307, 24.0684015 54.9699405, 24.065361 54.9687451, 24.0640919 54.9682107)",
220096705,,Šaltinių g.,unclassified,,False,False,146.44200000000004,,"LINESTRING (24.069311 54.970307, 24.0679215 54.9712445, 24.0678932 54.9712636, 24.0678243 54.9713101)",
220096705,,Šaltinių g.,unclassified,,False,True,103.28800000000001,,"LINESTRING (24.069311 54.970307, 24.0701281 54.9697527, 24.0703563 54.9695979)",
62191270,,Alyvų g.,residential,,False,False,27.576,,"LINESTRING (24.0643497 54.9680117, 24.0640919 54.9682107)",
62191270,,Alyvų g.,residential,,False,True,95.351,,"LINESTRING (24.0643497 54.9680117, 24.0652855 54.9673433)",
62219202,,Piliakalnio g.,residential,50,False,True,322.373,,"LINESTRING (24.0640631 54.9726731, 24.0631234 54.9726383, 24.062776 54.9726141, 24.0624306 54.9725684, 24.0622247 54.9725306, 24.061686 54.9723812, 24.060914 54.972113, 24.0604829 54.9719632, 24.0603713 54.9719245, 24.0597698 54.9717127, 24.0594895 54.9715942)",
"[62219211, 746641781]",,B. Buračo tak.,"['living_street', 'residential']",20,False,False,257.08099999999996,,"LINESTRING (24.0640631 54.9726731, 24.0641101 54.9726358, 24.0642947 54.9724897, 24.0649559 54.9719662, 24.065298 54.9717024, 24.0655098 54.9715391, 24.0656127 54.9714602, 24.0661624 54.9710384, 24.0662424 54.9709755, 24.0663701 54.970879, 24.0664574 54.970814)",
