osmid,highway,oneway,reversed,length,geometry,name,maxspeed,width
37159118,residential,False,True,16.603,"LINESTRING (35.0720659 31.3983328, 35.0719009 31.3982832)",,,
37156209,residential,False,False,408.766,"LINESTRING (35.0720659 31.3983328, 35.0717103 31.3984426, 35.0713963 31.3986099, 35.0711028 31.3988813, 35.070551 31.3996426, 35.070328 31.4003, 35.0702016 31.4009949, 35.0701366 31.4010006, 35.0700041 31.4008198, 35.0698744 31.4007846)",,,
37157458,residential,False,False,14.196,"LINESTRING (35.0650876 31.4015705, 35.0650561 31.4016953)",,,
37156140,residential,False,False,99.405,"LINESTRING (35.0650876 31.4015705, 35.0646596 31.4015964, 35.0641671 31.4017211, 35.0640793 31.4017696)",طريق كتف عبيد,20,
37164113,residential,False,True,23.438,"LINESTRING (35.0641783 31.4019627, 35.0640793 31.4017696)",,,
37157909,residential,False,False,68.873,"LINESTRING (35.0628113 31.3972162, 35.0625306 31.3969867, 35.0622239 31.3968676)",,,3
37157909,residential,False,True,140.847,"LINESTRING (35.0628113 31.3972162, 35.0632128 31.3974919, 35.063843 31.3977178, 35.0641267 31.3977423)",,,3
37163314,residential,False,True,64.223,"LINESTRING (35.0628113 31.3972162, 35.0630185 31.3971182, 35.0630452 31.3969138, 35.0631817 31.3967904)",,,
37161148,residential,False,True,63.162000000000006,"LINESTRING (35.0650015 31.4032884, 35.0652673 31.4033391, 35.0655085 31.4033301, 35.0656415 31.4032678)",,,
37156121,residential,False,False,26.287,"LINESTRING (35.0696045 31.3954103, 35.069795 31.3955819)",,,
37156121,residential,False,True,29.544,"LINESTRING (35.0696045 31.3954103, 35.0694178 31.3951977)",,,
37155156,residential,False,False,91.583,"LINESTRING (35.0696045 31.3954103, 35.0694237 31.3955099, 35.0688753 31.3956223, 35.0687221 31.3956432, 35.0686919 31.3956473)",,,
37162955,residential,False,False,48.522,"LINESTRING (35.0690242 31.3975081, 35.0695343 31.3975371)",,,
37163061,residential,False,False,124.05100000000002,"LINESTRING (35.0690242 31.3975081, 35.0688925 31.3978819, 35.068823 31.3979514, 35.0685014 31.3979154, 35.0680847 31.3979465)",,,
37163061,residential,False,True,68.32300000000001,"LINESTRING (35.0690242 31.3975081, 35.0689312 31.397217, 35.068713 31.3969658)",,,
37158570,residential,False,True,172.399,"LINESTRING (35.0624669 31.3976313, 35.0626388 31.3977646, 35.0626401 31.3979307, 35.0633069 31.3982619, 35.0633968 31.3982619, 35.0636875 31.3980936, 35.0638474 31.398029)",,,
37156121,residential,False,False,55.547,"LINESTRING (35.0675852 31.3961148, 35.0678641 31.395993, 35.0679853 31.3957852)",,,
37156121,residential,False,True,108.221,"LINESTRING (35.0675852 31.3961148, 35.0672708 31.3964018, 35.067223 31.3966582, 35.0672582 31.3969775)",,,
37162243,residential,False,False,132.981,"LINESTRING (35.0675852 31.3961148, 35.0678923 31.3962308, 35.068066 31.3963137, 35.0683706 31.3962305, 35.0689069 31.3963198)",,,
37164113,residential,False,False,23.438,"LINESTRING (35.0640793 31.4017696, 35.0641783 31.4019627)",,,
37156140,residential,False,False,143.025,"LINESTRING (35.0640793 31.4017696, 35.0639488 31.4018385, 35.0635259 31.4018875, 35.0630998 31.4019785, 35.0628125 31.4020518, 35.0626257 31.4020671)",طريق كتف عبيد,20,
37156140,residential,False,True,99.405,"LINESTRING (35.0640793 31.4017696, 35.0641671 31.4017211, 35.0646596 31.4015964, 35.0650876 31.4015705)",طريق كتف عبيد,20,
37158625,residential,False,False,5.996,"LINESTRING (35.0638152 31.3957177, 35.0638741 31.3957372)",,,
37161950,residential,False,False,35.358,"LINESTRING (35.0638152 31.3957177, 35.0640538 31.3954735)",,,
37158625,residential,False,True,138.755,"LINESTRING (35.0638152 31.3957177, 35.0636688 31.3956692, 35.0634167 31.395707, 35.0627097 31.3960149, 35.0624557 31.396036)",,,
37162955,residential,False,True,260.538,"LINESTRING (35.0720973 31.3960392, 35.071225 31.3964831, 35.0708111 31.3968452, 35.0702721 31.3971577, 35.0699341 31.3974548)",,,
37158856,residential,False,True,73.203,"LINESTRING (35.0637479 31.4003164, 35.0634554 31.4001932, 35.0633373 31.4001959, 35.0630149 31.4002424)",,,
37161147,residential,False,True,62.052,"LINESTRING (35.0631916 31.3956304, 35.0629121 31.3954206, 35.0626775 31.3952877)",,,
37163413,residential,False,False,29.371,"LINESTRING (35.0685189 31.3982597, 35.0682215 31.3983327)",,,
37157218,residential,False,False,73.955,"LINESTRING (35.0685189 31.3982597, 35.068657 31.3983464, 35.069255 31.398439)",,,
37163413,residential,False,True,89.00500000000001,"LINESTRING (35.0685189 31.3982597, 35.0692958 31.3980272, 35.0693553 31.3979437)",,,
37155857,secondary,False,False,347.94,"LINESTRING (35.0682161 31.4035674, 35.0680734 31.4033669, 35.0678685 31.4033155, 35.0676704 31.4033305, 35.0667798 31.4035525, 35.0666127 31.4035233, 35.0665404 31.4034144, 35.0665285 31.4032246, 35.0666327 31.402707, 35.0669334 31.4019868)",السموع - يطا,80,
"[37162788, 37164038]",residential,False,True,236.235,"LINESTRING (35.0682161 31.4035674, 35.0681093 31.4032747, 35.0678529 31.4026749, 35.0676158 31.4024501, 35.0672875 31.4023853, 35.0671573 31.4023498, 35.067097 31.4023366, 35.0670615 31.4020679, 35.0670529 31.4020303, 35.0669334 31.4019868)",,,
