osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,width,name
41305940,False,2,residential,40,False,53.637,"LINESTRING (34.403884 31.4407873, 34.4036409 31.4403868, 34.4036689 31.4403665)",,
41305940,False,2,residential,40,True,156.838,"LINESTRING (34.403884 31.4407873, 34.404172 31.4412146, 34.4046966 31.4420156)",,
41308556,False,2,residential,40,False,107.926,"LINESTRING (34.403884 31.4407873, 34.4043215 31.4405797, 34.4048489 31.4402749)",,
41308556,False,2,residential,40,True,161.755,"LINESTRING (34.403884 31.4407873, 34.4035936 31.4410128, 34.4032385 31.4412365, 34.4027878 31.4414942, 34.402515 31.4416502)",,
41307368,False,2,residential,40,False,70.90599999999999,"LINESTRING (34.4015245 31.4421937, 34.4013656 31.4419782, 34.4011266 31.4416539)",,
41307368,False,2,residential,40,True,78.994,"LINESTRING (34.4015245 31.4421937, 34.4017332 31.4424604, 34.4019715 31.4427929)",,
41308556,False,2,residential,40,False,111.72399999999999,"LINESTRING (34.4015245 31.4421937, 34.402144 31.4418538, 34.402515 31.4416502)",,
41305579,False,1,residential,40,False,179.156,"LINESTRING (34.3993347 31.4425493, 34.3980437 31.4413734)",,
41307501,False,4,tertiary,40,False,44.209,"LINESTRING (34.3993347 31.4425493, 34.3996541 31.4422598)",16,
41307501,False,4,tertiary,40,True,23.903,"LINESTRING (34.3993347 31.4425493, 34.3991703 31.4427122)",16,
41304964,False,2,residential,40,True,50.156,"LINESTRING (34.4046966 31.4420156, 34.4050749 31.4423307)",,
41306630,False,4,tertiary,40,True,63.219,"LINESTRING (34.4046966 31.4420156, 34.4041367 31.4423239)",,Al-Borag
41305940,False,2,residential,40,False,156.838,"LINESTRING (34.4046966 31.4420156, 34.404172 31.4412146, 34.403884 31.4407873)",,
41306630,False,4,tertiary,40,False,148.233,"LINESTRING (34.4046966 31.4420156, 34.4050617 31.4418452, 34.4053338 31.4417009, 34.4060419 31.4413381)",,Al-Borag
41308290,False,2,residential,40,True,22.737,"LINESTRING (34.3989869 31.4376364, 34.3991646 31.4377736)",,
41306630,False,4,tertiary,40,True,122.283,"LINESTRING (34.4023325 31.4433032, 34.4012686 31.4439241)",,Al-Borag
41307368,False,2,residential,40,False,43.203,"LINESTRING (34.4023325 31.4433032, 34.4020969 31.4429707)",,
