osmid,oneway,name,highway,reversed,length,maxspeed,ref,geometry,lanes,width,tunnel,junction
86330488,True,Calle San Francisco,residential,False,44.679,,,"LINESTRING (-3.0227319 39.1556472, -3.0232465 39.1556001)",,,,
553525101,False,Calle Don Víctor Peñasco,secondary,False,41.328,20,,"LINESTRING (-3.0227319 39.1556472, -3.0225784 39.1559993)",,,,
553525101,False,Calle Don Víctor Peñasco,secondary,True,12.582,20,,"LINESTRING (-3.0227319 39.1556472, -3.022775 39.1555391)",,,,
769478877,False,Calle Socuéllamos,secondary,True,132.25,,CM-3103,"LINESTRING (-3.02004 39.1600257, -3.0208799 39.1590305)",,,,
207438902,True,Calle Juan José Rodrigo,residential,False,56.088,,,"LINESTRING (-3.02004 39.1600257, -3.0201246 39.1600455, -3.0206114 39.1602635)",,,,
769478877,False,Calle Socuéllamos,secondary,False,167.16500000000002,,CM-3103,"LINESTRING (-3.02004 39.1600257, -3.020007 39.1600696, -3.0193812 39.1607328, -3.0188651 39.1612204)",,,,
86325679,True,Calle Campo,residential,False,60.364,,,"LINESTRING (-3.0223977 39.1615435, -3.0224616 39.1620841)",,,,
86325774,True,Calle San Luis,residential,False,76.11500000000001,,,"LINESTRING (-3.0223977 39.1615435, -3.0222889 39.1615601, -3.0220032 39.1617449, -3.0216048 39.1617716)",,,,
769478877,False,Calle Socuéllamos,secondary,False,132.25,,CM-3103,"LINESTRING (-3.0208799 39.1590305, -3.02004 39.1600257)",,,,
207294972,True,Calle Veracruz,residential,False,72.44200000000001,,,"LINESTRING (-3.0208799 39.1590305, -3.0212529 39.1595676, -3.0212799 39.1596034)",,,,
86325651,True,Calle Veracruz,residential,False,34.216,,,"LINESTRING (-3.0193284 39.1575686, -3.0195885 39.157801)",,,,
230551884,False,Calle Doña Crisanta,residential,False,45.111,40,CR-1225,"LINESTRING (-3.0193284 39.1575686, -3.0188711 39.1573715)",2,10,,
230551884,False,Calle Doña Crisanta,residential,True,35.855,40,CR-1225,"LINESTRING (-3.0193284 39.1575686, -3.0196824 39.1577378)",2,10,,
839535663,True,Calle Veracruz,residential,False,9.193,,,"LINESTRING (-3.0199218 39.1581132, -3.019991 39.1581761)",,,,
230551886,True,Plaza del Arcipreste,residential,False,59.849000000000004,,,"LINESTRING (-3.0199218 39.1581132, -3.0196833 39.1584128, -3.019513 39.158544)",,,,
544485900,True,Calle Don Víctor Peñasco,secondary,False,28.997,20,,"LINESTRING (-3.0222711 39.1566686, -3.0223884 39.1564242)",,,,
544485902,False,,secondary,False,28.086,,,"LINESTRING (-3.0222711 39.1566686, -3.0225345 39.15652)",,,,
231640858,True,Calle Alfonso XII,residential,False,47.001,,,"LINESTRING (-3.0220122 39.1592961, -3.0225569 39.1592794)",,,,
