osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,bridge,junction,tunnel
211488264,True,1,C-12,Carrer del Pont,tertiary,False,224.79899999999998,"LINESTRING (0.8068943 41.7940369, 0.8068451 41.7938651, 0.8067963 41.7931426, 0.8067394 41.7922991, 0.8067479 41.7921664, 0.806785 41.7920239)",,,,
"[37046381, 37593558, 211497679]",False,2,C-148a,"['Pont de Sant Miquel', ""Carrer d'Urgell""]",tertiary,"[False, True]",130.022,"LINESTRING (0.8068943 41.7940369, 0.80705 41.7940146, 0.80707 41.7940117, 0.8083977 41.7938234, 0.8084348 41.7938174)",50,yes,,
"[37385168, 99712843, 211039053]",False,2,,Pont Nou,residential,True,120.784,"LINESTRING (0.8064525 41.7896698, 0.8065252 41.7896561, 0.8077996 41.7895327, 0.8078177 41.7895306, 0.8078952 41.7895215)",,yes,,
436204653,False,,,Carrer de Gaspar de Portolà,residential,False,59.558,"LINESTRING (0.8064525 41.7896698, 0.8058757 41.7898046, 0.8057671 41.7898302)",,,,
1199737048,False,2,C-12,Carrer del Portalet,tertiary,False,189.82500000000002,"LINESTRING (0.8064525 41.7896698, 0.8063522 41.7892016, 0.8061002 41.787983)",,,,
37594833,False,,C-12F,Avinguda de Francesc Macià,tertiary,False,42.978,"LINESTRING (0.8056865 41.785853, 0.8056436 41.7856604, 0.8056042 41.7854714)",,,,
232686834,False,2,C-12,Avinguda de Francesc Macià,tertiary,True,75.221,"LINESTRING (0.8056865 41.785853, 0.8056993 41.7859191, 0.805705 41.7859482, 0.8058046 41.7864609, 0.8058165 41.7865225)",,,,
781641957,False,2,C-12,Carrer de Sant Francesc,tertiary,False,63.51200000000001,"LINESTRING (0.8056865 41.785853, 0.80564 41.7858566, 0.8054928 41.7858678, 0.8050151 41.7859292, 0.8049298 41.7859402)",,,,
211488266,False,2,C-12,Carrer de la Divina Pastora,tertiary,False,27.127,"LINESTRING (0.803704 41.7860485, 0.8036715 41.7859744, 0.803628 41.7858116)",,,,
"[211488274, 1243263988]",False,,,"['Carrer de la Divina Pastora', 'Carrer del Barri Nou']",residential,True,212.743,"LINESTRING (0.803704 41.7860485, 0.8036606 41.7861171, 0.8037511 41.7864568, 0.8038163 41.7866368, 0.8039749 41.7870762, 0.8040494 41.7873892, 0.8040995 41.7875996, 0.8041533 41.7878223, 0.8041433 41.7878709, 0.8041239 41.7879109)",,,,
"[1172844745, 37594834]",False,2,C-12,Carrer de Sant Francesc,tertiary,True,104.8,"LINESTRING (0.803704 41.7860485, 0.8037709 41.7860851, 0.8038489 41.7860971, 0.8039208 41.7860873, 0.8045908 41.7859964, 0.8047634 41.7859678, 0.8047912 41.7859632, 0.8049298 41.7859402)",,,,
