osmid,oneway,name,highway,reversed,length,ref,geometry,lanes,maxspeed,junction,bridge
982707512,True,Calle Isla Cristina,tertiary,False,15.959,,"LINESTRING (-7.2066188 37.2563182, -7.2066875 37.2564509)",,,,
360507219,False,Calle Alcalde César Barrios,tertiary,False,58.164,HU-4400,"LINESTRING (-7.2009477 37.2568895, -7.2007489 37.2570778, -7.2005341 37.2572959)",,,,
360507219,False,Calle Alcalde César Barrios,tertiary,True,62.766999999999996,HU-4400,"LINESTRING (-7.2009477 37.2568895, -7.2011633 37.2567028, -7.2014662 37.2565065)",,,,
40773235,True,Calle Ramón y Cajal,residential,False,34.556,,"LINESTRING (-7.2034386 37.2572081, -7.2030494 37.2572329)",,,,
429056979,True,Calle Juan Santana,tertiary,False,25.201,,"LINESTRING (-7.2034386 37.2572081, -7.2035256 37.2574239)",,,,
428068845,True,Calle Cervantes,residential,False,63.27,,"LINESTRING (-7.2020957 37.2572607, -7.2020974 37.2578297)",,,,
40773235,True,Calle Ramón y Cajal,residential,False,109.678,,"LINESTRING (-7.2020957 37.2572607, -7.2017289 37.2571463, -7.201367 37.2570217, -7.2009477 37.2568895)",,,,
40773233,False,Avenida de Huelva,tertiary,False,31.906,,"LINESTRING (-7.1996659 37.2592315, -7.1997571 37.2589539)",,,,
40773233,False,Avenida de Huelva,tertiary,True,20.477,,"LINESTRING (-7.1996659 37.2592315, -7.1996061 37.2594094)",,,,
40774254,False,Calle Ayamonte,residential,True,86.811,,"LINESTRING (-7.1996659 37.2592315, -7.2005815 37.2595116)",,,,
40773233,False,Avenida de Huelva,tertiary,True,31.906,,"LINESTRING (-7.1997571 37.2589539, -7.1996659 37.2592315)",,,,
382263028,False,Calle Alcalde César Barrios,tertiary,True,27.579,,"LINESTRING (-7.1997571 37.2589539, -7.1998435 37.2587156)",,,,
190921293,False,Calle Gerona,tertiary,False,42.645,,"LINESTRING (-7.1997571 37.2589539, -7.1996803 37.2589408, -7.1992898 37.2588605)",,,,
77366317,True,Avenida de Andalucía,trunk,False,28.79,,"LINESTRING (-7.197176 37.2529045, -7.1970378 37.2530011, -7.1969118 37.2530521)",1,,,
