osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,ref,access
18615864,Avenida Rafael Alcaide,residential,False,True,85.05799999999999,"LINESTRING (-4.528086 36.5921707, -4.5282852 36.5919845, -4.5283941 36.5918681, -4.5284825 36.5916939, -4.5285218 36.5915108)",,,,,
26700217,Avenida del Parque,residential,False,False,77.812,"LINESTRING (-4.528086 36.5921707, -4.5273149 36.5922738, -4.5272271 36.5922891)",,,,,
26700217,Avenida del Parque,residential,False,True,197.999,"LINESTRING (-4.528086 36.5921707, -4.5297249 36.5920661, -4.5299407 36.5920385, -4.5300287 36.5920102, -4.5301428 36.5919734, -4.5302634 36.5919205)",,,,,
1087346108,Redonda de los Molinillos,primary,True,False,21.735,"LINESTRING (-4.52625 36.5912699, -4.5262384 36.5912319, -4.526212 36.5911991, -4.5261736 36.591175, -4.5261276 36.5911623, -4.5260789 36.5911625)",2,50,roundabout,,
26700217,Avenida del Parque,residential,False,True,77.812,"LINESTRING (-4.5272271 36.5922891, -4.5273149 36.5922738, -4.528086 36.5921707)",,,,,
32547651,Avenida Federico García Lorca,tertiary,False,False,73.337,"LINESTRING (-4.5272271 36.5922891, -4.5271415 36.5921379, -4.5270172 36.5920101, -4.526785 36.5918271, -4.5267235 36.5917774)",,,,,
32547651,Avenida Federico García Lorca,tertiary,False,True,229.871,"LINESTRING (-4.5272271 36.5922891, -4.5272543 36.5924064, -4.5272476 36.5926227, -4.5271923 36.592819, -4.5271499 36.5929599, -4.5271439 36.5931785, -4.5271802 36.5934068, -4.5272693 36.5936816, -4.5274238 36.5939435, -4.5275495 36.5941133, -4.5276547 36.5942554)",,,,,
18437993,,secondary,True,False,4.452,"LINESTRING (-4.5318137 36.5997981, -4.5317868 36.5997887, -4.5317664 36.5997868)",,,roundabout,A-368,
42154874,,tertiary,True,False,9.496,"LINESTRING (-4.5317664 36.5997868, -4.5316995 36.5997204)",,,,,
18437993,,secondary,True,False,6.532,"LINESTRING (-4.5317664 36.5997868, -4.5317527 36.5997925, -4.5317375 36.599791, -4.5317027 36.5998105)",,,roundabout,A-368,
80305892,,tertiary,True,False,10.023,"LINESTRING (-4.5316995 36.5997204, -4.5317027 36.5998105)",,,,,
42154873,Avenida Federico García Lorca,tertiary,False,False,97.28500000000001,"LINESTRING (-4.5316995 36.5997204, -4.5316521 36.5995634, -4.5316366 36.5995139, -4.5314358 36.5988715)",,,,,
42154873,Avenida Federico García Lorca,tertiary,False,False,6.564,"LINESTRING (-4.5313048 36.5984767, -4.5312999 36.5984178)",,,,,
42154873,Avenida Federico García Lorca,tertiary,False,True,45.431,"LINESTRING (-4.5313048 36.5984767, -4.5314358 36.5988715)",,,,,
