osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,junction,tunnel
72612427,True,1,motorway_link,50,False,104.95200000000001,"LINESTRING (-6.031023 37.3633211, -6.0310127 37.3634157, -6.031267 37.3639106, -6.0312533 37.3640387, -6.0311127 37.3641128, -6.0310489 37.3641228)",,,,
231562532,False,,tertiary,,False,22.927,"LINESTRING (-6.0279763 37.3620855, -6.028195 37.3621964)",A-8066,Calle Antonio Machado,,
231562532,False,,tertiary,,True,25.212,"LINESTRING (-6.0279763 37.3620855, -6.0277399 37.3619586)",A-8066,Calle Antonio Machado,,
318617502,False,,residential,,True,62.559,"LINESTRING (-6.0279763 37.3620855, -6.0284404 37.3616607)",,Calle Alcalde Fernando Castellano,,
231562532,False,,tertiary,,True,22.927,"LINESTRING (-6.028195 37.3621964, -6.0279763 37.3620855)",A-8066,Calle Antonio Machado,,
318617512,False,,tertiary,,False,27.388,"LINESTRING (-6.028195 37.3621964, -6.0284409 37.3623463)",,Carretera del Monumento,,
26648232,False,,tertiary,,False,21.429,"LINESTRING (-6.028195 37.3621964, -6.0283881 37.3622182, -6.028435 37.3622238)",A-8066,,,
26648232,False,,tertiary,,True,29.754,"LINESTRING (-6.0295708 37.3624459, -6.0292713 37.3623237)",A-8066,,,
26648232,False,,tertiary,,False,207.668,"LINESTRING (-6.0295708 37.3624459, -6.0297122 37.3625805, -6.0298457 37.362765, -6.0298776 37.3628092, -6.0303485 37.3634875, -6.0304511 37.3636353, -6.030576 37.3637744, -6.0308056 37.36403)",A-8066,,,
107243013,False,,residential,,False,49.217999999999996,"LINESTRING (-6.0295708 37.3624459, -6.0296368 37.3623698, -6.0299759 37.3621462)",,Calle Virgen del Rosario,,
26648233,True,,secondary,,False,9.08,"LINESTRING (-6.0308319 37.3641988, -6.0308205 37.3642386, -6.0308247 37.3642793)",A-8066,,roundabout,
26648233,True,,secondary,,False,15.287000000000003,"LINESTRING (-6.0308247 37.3642793, -6.0308475 37.3643214, -6.0308868 37.3643549, -6.030938 37.364376)",A-8066,,roundabout,
26648233,True,,secondary,,False,8.632,"LINESTRING (-6.0310489 37.3641228, -6.0310012 37.3641144, -6.0309525 37.3641171)",A-8066,,roundabout,
153339534,True,,residential,,False,21.436999999999998,"LINESTRING (-6.037042 37.3619795, -6.0370678 37.361877, -6.0371155 37.3617973)",,,,
313804713,False,,tertiary,,True,73.03399999999999,"LINESTRING (-6.037042 37.3619795, -6.036983 37.3619011, -6.0367261 37.3613738)",,Calle Castilla,,
43450513,True,,residential,,False,42.311,"LINESTRING (-6.0346822 37.3600446, -6.0345135 37.3596885)",,Calle Isabel la Católica,,
43450504,True,,residential,,False,11.813,"LINESTRING (-6.0346822 37.3600446, -6.0346562 37.3600613, -6.0346407 37.3600848, -6.0346383 37.3601113, -6.0346493 37.3601364)",,Plaza López Domínguez,roundabout,
43450504,True,,residential,,False,10.499,"LINESTRING (-6.0346493 37.3601364, -6.034669 37.3601541, -6.0346952 37.3601652, -6.0347247 37.3601681, -6.0347535 37.3601625)",,Plaza López Domínguez,roundabout,
"[227001932, 71890749]",True,,residential,,False,265.31899999999996,"LINESTRING (-6.0346493 37.3601364, -6.0320312 37.3609597, -6.0319578 37.3608235)",,"['Calle Conde de Barcelona', 'Calle Manuel Madrazo']",,
43450505,False,,residential,,False,32.417,"LINESTRING (-6.0347535 37.3601625, -6.0348815 37.3604357)",,Calle Isabel la Católica,,
43450504,True,,residential,,False,11.058,"LINESTRING (-6.0347535 37.3601625, -6.0347791 37.3601483, -6.0347962 37.3601274, -6.0348023 37.360103, -6.0347965 37.3600786)",,Plaza López Domínguez,roundabout,
43450504,True,,residential,,False,12.065,"LINESTRING (-6.0347965 37.3600786, -6.0347776 37.360056, -6.0347488 37.3600414, -6.0347151 37.3600374, -6.0346822 37.3600446)",,Plaza López Domínguez,roundabout,
43450505,False,,residential,,True,31.94,"LINESTRING (-6.0350733 37.3609396, -6.0350951 37.3608776, -6.0349967 37.3606689)",,Calle Isabel la Católica,,
71890754,True,,residential,,False,223.44899999999998,"LINESTRING (-6.0350733 37.3609396, -6.0347513 37.3610388, -6.0344354 37.3611362, -6.0341241 37.3612322, -6.0338001 37.3613321, -6.0327161 37.3616662)",,Calle Amantina Cobos,,
310030234,False,,residential,,False,103.889,"LINESTRING (-6.0350733 37.3609396, -6.035202 37.3612027, -6.035283 37.3613682, -6.0353265 37.3614572, -6.0353967 37.3616007, -6.0351335 37.3616835)",,Calle Argentina,,
43450506,True,,residential,,False,51.775,"LINESTRING (-6.0315799 37.3601175, -6.0313564 37.3596871)",,,,
257736735,False,,tertiary,,False,110.975,"LINESTRING (-6.0315799 37.3601175, -6.0304122 37.3604844)",,Calle 28 de Febrero,,
257736735,False,,tertiary,,True,151.242,"LINESTRING (-6.0315799 37.3601175, -6.0330507 37.3596496, -6.0331686 37.3596121)",,Calle 28 de Febrero,,
313804721,False,,residential,,True,29.782,"LINESTRING (-6.0324197 37.3617761, -6.0322978 37.3615264)",,Calle Murillo,,
