osmid,oneway,ref,name,highway,reversed,length,geometry,junction,bridge,lanes,maxspeed
62727611,True,AS-386,Carretera de Ujo a Cabañaquinta,tertiary,False,14.569,"LINESTRING (-5.7348824 43.1672786, -5.7349837 43.1671899, -5.7349957 43.167177)",,,,
228459905,True,AE-1,,tertiary,False,18.048,"LINESTRING (-5.7348824 43.1672786, -5.7349277 43.1672673, -5.7350933 43.1672268)",,,,
228402091,False,AE-3,,tertiary,True,14.015,"LINESTRING (-5.7403279 43.1678328, -5.7402341 43.1678581, -5.7401626 43.1678681)",,,,
228402093,False,AE-2,Calle Francisco Palacios,tertiary,True,35.03,"LINESTRING (-5.7403279 43.1678328, -5.7404426 43.1679485, -5.7406005 43.1680766)",,,,
62727500,True,AS-386,,tertiary,False,17.646,"LINESTRING (-5.7352381 43.1669796, -5.7352573 43.1669618, -5.7352681 43.1669405, -5.7352695 43.1669179, -5.7352614 43.166896, -5.7352444 43.166877, -5.7352203 43.1668626, -5.7351914 43.1668544)",roundabout,,,
62727651,True,AS-386,Carretera de Ujo a Cabañaquinta,tertiary,False,51.147000000000006,"LINESTRING (-5.7352381 43.1669796, -5.7353138 43.1669377, -5.7354205 43.166866, -5.7355271 43.1667696, -5.7355463 43.1667496, -5.7356535 43.1666376)",,,,
"[62727454, 83204335]",True,,,primary_link,False,35.157,"LINESTRING (-5.7341229 43.1669578, -5.7340345 43.1669336, -5.733978 43.1669199, -5.7339258 43.1669008, -5.7338458 43.1668311, -5.7338138 43.1667647)",,yes,,
83204308,False,,,tertiary,False,53.864999999999995,"LINESTRING (-5.7341229 43.1669578, -5.734234 43.1669553, -5.7344121 43.166938, -5.7347787 43.1668865)",,yes,2,
"[83204307, 62727351]",True,,,tertiary,False,30.381999999999998,"LINESTRING (-5.7351427 43.1668553, -5.7350869 43.1668401, -5.7350104 43.1668475, -5.7349527 43.1668551, -5.7347787 43.1668865)",,yes,,
62727500,True,AS-386,,tertiary,False,11.618,"LINESTRING (-5.7351427 43.1668553, -5.7351165 43.1668637, -5.7350946 43.1668772, -5.7350788 43.1668946, -5.7350704 43.1669146, -5.7350701 43.1669355)",roundabout,,,
62727500,True,AS-386,,tertiary,False,3.983,"LINESTRING (-5.7351914 43.1668544, -5.735167 43.1668526, -5.7351427 43.1668553)",roundabout,,,
62727500,True,AS-386,,tertiary,False,1.199,"LINESTRING (-5.7350701 43.1669355, -5.735074 43.1669459)",roundabout,,,
62727531,True,,,primary_link,False,6.881,"LINESTRING (-5.7335588 43.1665154, -5.7334747 43.1665236)",roundabout,,2,
"[62727545, 83204370]",True,,,primary_link,False,38.480999999999995,"LINESTRING (-5.7336613 43.1668967, -5.733729 43.1669172, -5.733895 43.1669459, -5.7340183 43.1669636, -5.7341229 43.1669578)",,yes,,
83204330,True,,,primary_link,False,19.374,"LINESTRING (-5.7336613 43.1668967, -5.7337536 43.1668352, -5.7338138 43.1667647)",roundabout,,2,
83204329,True,AS-386,Carretera de Ujo a Cabañaquinta,tertiary,False,45.096,"LINESTRING (-5.7356535 43.1666376, -5.7354822 43.1667478, -5.7353566 43.1667935, -5.7352288 43.1668304, -5.7351914 43.1668544)",,,,
662455451,False,AS-386,Avenida Tartiere,residential,True,94.50800000000001,"LINESTRING (-5.7356535 43.1666376, -5.7357427 43.1665795, -5.7358699 43.1665026, -5.7360256 43.1664675, -5.7361946 43.166456, -5.736303 43.1664699, -5.736414 43.1664995, -5.7365816 43.1665769, -5.7366334 43.1666568)",,,,50
62727500,True,AS-386,,tertiary,False,6.421,"LINESTRING (-5.7351655 43.1669991, -5.7351918 43.1669974, -5.7352165 43.1669907, -5.7352381 43.1669796)",roundabout,,,
"[662363513, 202284933]",False,,Celestino Castañón,living_street,"[False, True]",61.009,"LINESTRING (-5.7378584 43.1691297, -5.7380153 43.1690312, -5.7381617 43.1689207, -5.7382694 43.168811, -5.7383111 43.1687607, -5.7383467 43.1687176)",,,,
662467686,False,AS-386,Avenida de la Constitución,residential,False,130.45499999999998,"LINESTRING (-5.7378584 43.1691297, -5.7375303 43.168581, -5.7375209 43.1685651, -5.7372333 43.1680488)",,,2,50
662467686,False,AS-386,Avenida de la Constitución,residential,True,94.137,"LINESTRING (-5.7378584 43.1691297, -5.7378919 43.1691747, -5.7379963 43.1692977, -5.7381194 43.1694129, -5.7383562 43.1695574, -5.7386647 43.1697232)",,,2,50
"[83204345, 83204330, 62727531]",True,,,primary_link,False,34.034,"LINESTRING (-5.7332847 43.1666488, -5.7332902 43.1667101, -5.7332989 43.1667616, -5.7333308 43.1668299, -5.7333896 43.1668649, -5.7334706 43.1668926)",roundabout,yes,2,
83204330,True,,,primary_link,False,4.235,"LINESTRING (-5.7338138 43.1667647, -5.7338173 43.1667267)",roundabout,,2,
62727655,True,,,primary_link,False,257.065,"LINESTRING (-5.7359183 43.1650528, -5.7356849 43.1650863, -5.7352421 43.1652647, -5.7348956 43.1654533, -5.7345532 43.1657568, -5.7341554 43.1661074, -5.7339094 43.1663431, -5.733688 43.1664682, -5.7335588 43.1665154)",,,,
