osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,lanes,junction,access
32690965,False,Carrer dels Castanyers,residential,30,True,49.928,,"LINESTRING (1.2901237 41.7809094, 1.2895243 41.7808666)",,,
196583020,False,Avinguda de Cervera,tertiary,30,False,105.751,L-311z,"LINESTRING (1.2901237 41.7809094, 1.2900123 41.781669, 1.289985 41.7818548)",,,
473656597,False,Carretera de Guissona a Concabella,tertiary,50,True,10.696,L-310,"LINESTRING (1.283875 41.7818184, 1.2837572 41.7817792)",,,
32690961,True,Plaça de la Plana,residential,30,False,43.525,,"LINESTRING (1.283875 41.7818184, 1.2842638 41.7818228, 1.2843984 41.7818079)",1,,
32691020,False,Carretera de Guissona a Concabella,tertiary,50,True,53.268,L-310,"LINESTRING (1.283875 41.7818184, 1.2840029 41.781866, 1.2841146 41.7819116, 1.2842223 41.7819586, 1.2844297 41.7820591)",2,,
32690964,False,Carrer de Oliveres,residential,30,False,14.457,,"LINESTRING (1.2885443 41.781854, 1.2885418 41.781984)",,,
196583088,True,Rambla dels Segadors,residential,30,False,72.154,,"LINESTRING (1.2885443 41.781854, 1.2894145 41.7818527)",,,
32690964,False,Carrer de Oliveres,residential,30,True,118.157,,"LINESTRING (1.2885443 41.781854, 1.2885439 41.781774, 1.2885396 41.7807914)",,,
32690965,False,Carrer dels Castanyers,residential,30,False,42.947,,"LINESTRING (1.2880223 41.7807721, 1.2885396 41.7807914)",,,
32690965,False,Carrer dels Castanyers,residential,30,True,56.451,,"LINESTRING (1.2880223 41.7807721, 1.2873415 41.7807739)",,,
32690992,True,Plaça Francesc Macià,residential,30,False,130.391,,"LINESTRING (1.2880223 41.7807721, 1.2877886 41.7812426, 1.2875641 41.7812491, 1.2873415 41.7807739)",,,
32690964,False,Carrer de Oliveres,residential,30,True,28.181,,"LINESTRING (1.2885332 41.7829625, 1.2885392 41.7827091)",,,
