osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,access
80417916,Calle Noria,residential,False,False,46.773,"LINESTRING (-6.0506025 37.2879937, -6.0511274 37.2879433)",,,
80417907,Avenida Cervantes,residential,False,True,74.385,"LINESTRING (-6.0506025 37.2879937, -6.0508492 37.2876096, -6.0509065 37.2873764)",,,
76378795,Calle Carretero,residential,False,False,73.826,"LINESTRING (-6.0555699 37.286278, -6.0547438 37.2861841)",,,
120755826,Huerta La Estrella,residential,False,True,41.076,"LINESTRING (-6.0555699 37.286278, -6.0558114 37.2859625)",2,,
267428277,Calle la Laguna,residential,False,False,95.573,"LINESTRING (-6.0555699 37.286278, -6.0546794 37.2857914)",,,
76379439,Calle Carretero,residential,False,True,220.529,"LINESTRING (-6.0555699 37.286278, -6.057705 37.2871572, -6.0577849 37.2871877)",,,
76378795,Calle Carretero,residential,False,False,119.492,"LINESTRING (-6.0547438 37.2861841, -6.0534907 37.2857831)",,,
76378795,Calle Carretero,residential,False,True,73.826,"LINESTRING (-6.0547438 37.2861841, -6.0555699 37.286278)",,,
76379326,Calle Santa Ángela de la Cruz,residential,False,True,87.404,"LINESTRING (-6.0547438 37.2861841, -6.0545962 37.2865467, -6.0544394 37.2869319)",,,
76379461,Calle la Isla,residential,False,True,40.166,"LINESTRING (-6.0528233 37.2855695, -6.0531232 37.2852983)",,,
267427889,Calle Antonio Pérez Tinao,residential,False,False,112.123,"LINESTRING (-6.0528233 37.2855695, -6.0518883 37.2848888)",,,
267427889,Calle Antonio Pérez Tinao,residential,False,True,41.994,"LINESTRING (-6.0528233 37.2855695, -6.0532637 37.2857104)",,,
267427889,Calle Antonio Pérez Tinao,residential,False,True,112.123,"LINESTRING (-6.0518883 37.2848888, -6.0528233 37.2855695)",,,
76379016,Calle Maestra Josefa Navarro,residential,False,False,103.872,"LINESTRING (-6.0489931 37.2917494, -6.0501534 37.2918927)",,,
76379016,Calle Maestra Josefa Navarro,residential,False,True,20.468,"LINESTRING (-6.0489931 37.2917494, -6.0487625 37.2917343)",,,
120755154,Calle Cinca,residential,False,False,60.822,"LINESTRING (-6.0489931 37.2917494, -6.0488987 37.2922912)",,,
