osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry
96217544,Grupo San Marcos,residential,20,False,True,40.721,,,"LINESTRING (-9.1914064 42.9415671, -9.1919003 42.9415089)"
1190387476,Avenida Simón Tomé Santos,primary,50,False,False,147.703,2,AC-445,"LINESTRING (-9.1914064 42.9415671, -9.1914931 42.9419861, -9.1915602 42.9422808, -9.1916092 42.9424924, -9.1916366 42.9426107, -9.1916319 42.9427302, -9.1916226 42.9427636, -9.1916102 42.9428081, -9.1915711 42.9428743)"
1190387476,Avenida Simón Tomé Santos,primary,50,False,True,88.256,2,AC-445,"LINESTRING (-9.1914064 42.9415671, -9.1913755 42.9414507, -9.1913461 42.9412852, -9.1913433 42.9411804, -9.1913877 42.9410484, -9.1915015 42.9409456, -9.1916365 42.9408534)"
1190387473,Rúa Rafael Juan,living_street,20,False,True,31.52,,,"LINESTRING (-9.1936328 42.9463021, -9.1937766 42.9460389)"
"[224128083, 96217543]","['Rúa Rafael Juan', 'Rúa Alameda']",living_street,20,True,False,285.73,,,"LINESTRING (-9.1936328 42.9463021, -9.1936141 42.9463376, -9.1935941 42.9464033, -9.193524 42.9466338, -9.1935234 42.9466589, -9.1935174 42.9469025, -9.1935215 42.9469338, -9.1935438 42.9471021, -9.1935451 42.9472148, -9.193546 42.9473, -9.1935203 42.9474126, -9.1934954 42.9475221, -9.193465 42.9475761, -9.1933921 42.9477056, -9.1933063 42.9478424, -9.1932148 42.9480204, -9.1931823 42.9481001, -9.1931722 42.9481433, -9.1931452 42.9482158, -9.1931274 42.9482724, -9.1930115 42.9486411, -9.1929985 42.9486825, -9.192956 42.9487938)"
723334104,Rúa San Marcos,residential,20,False,False,24.873,,,"LINESTRING (-9.1927955 42.9442564, -9.1924936 42.9442218)"
660455976,Praza Castelao,residential,20,True,False,45.496,,,"LINESTRING (-9.1927955 42.9442564, -9.1928895 42.9443548, -9.193083 42.9444853, -9.1931959 42.9445351)"
723334104,Rúa San Marcos,residential,20,False,True,24.873,,,"LINESTRING (-9.1924936 42.9442218, -9.1927955 42.9442564)"
"[96217548, 109084422]","['Rúa San Marcos', 'Praza Párroco Francisco Sánchez']",residential,20,False,"[False, True]",81.003,,,"LINESTRING (-9.1924936 42.9442218, -9.1923055 42.9442381, -9.1921688 42.9442495, -9.1919289 42.9442686, -9.1917988 42.9442769, -9.1917206 42.9442851, -9.1916744 42.9441297)"
109084422,Praza Párroco Francisco Sánchez,residential,20,False,False,32.715,,,"LINESTRING (-9.1916744 42.9441297, -9.1912751 42.9441632)"
