osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,access
478458110,False,3,Calle Gran Vía de Colón,primary,30,False,39.607,"LINESTRING (-3.5984452 37.1774397, -3.5986236 37.1777663)",,
28238532,True,1,Calle Cárcel Baja,secondary,30,False,48.481,"LINESTRING (-3.5984452 37.1774397, -3.598498 37.1773932, -3.5985143 37.1773789, -3.5986745 37.1772836, -3.5988663 37.177163)",,
1059078526,False,3,Calle Gran Vía de Colón,primary,30,True,49.5,"LINESTRING (-3.5984452 37.1774397, -3.5983756 37.177314, -3.5983622 37.1772896, -3.5983468 37.1772614, -3.5982206 37.1770321)",,
"[118183626, 155265059]",True,1,Calle Portería de Santo Domingo,residential,30,False,56.871,"LINESTRING (-3.5945473 37.1738521, -3.5945778 37.173818, -3.5946327 37.1737557, -3.5949061 37.1734681, -3.5949226 37.1734382)",,
"[513660221, 826055814]",True,1,Plaza de Fortuny,secondary,30,False,31.822000000000003,"LINESTRING (-3.5945473 37.1738521, -3.5944098 37.1736994, -3.5943715 37.1736608, -3.5943334 37.1736223)",,
6066200,False,,Plaza de los Campos,residential,,True,28.079,"LINESTRING (-3.5958872 37.1722869, -3.5958429 37.1723161, -3.5956545 37.1724582)",,
43686475,False,,Plaza de los Campos,residential,,True,17.003,"LINESTRING (-3.5958872 37.1722869, -3.5958573 37.172263, -3.5957516 37.1721787)",,
639429781,True,,Plaza de los Campos,residential,,False,22.540999999999997,"LINESTRING (-3.5958872 37.1722869, -3.5959381 37.1723092, -3.5961247 37.1723578)",,
27702716,False,1,Calle Capuchinas,residential,,False,29.653,"LINESTRING (-3.6013478 37.1762859, -3.601295 37.176301, -3.6010524 37.1763507, -3.6010243 37.176351)",,
675513366,False,1,Plaza de la Trinidad,residential,,False,25.111,"LINESTRING (-3.6013478 37.1762859, -3.6013755 37.1763378, -3.6014114 37.1763714, -3.6014484 37.1763913, -3.6014822 37.1763972, -3.6015151 37.1763972, -3.6015589 37.1763886)",,
852648325,False,1,Plaza de la Trinidad,residential,,True,38.863,"LINESTRING (-3.6013478 37.1762859, -3.6012205 37.1760375, -3.60118 37.175963)",,
160116579,False,1,Calle Darrillo Magdalena,living_street,20,False,51.497,"LINESTRING (-3.6016448 37.1736857, -3.601373 37.1738205, -3.6011863 37.1739372, -3.6011674 37.1739487)",3.9,
6065710,True,1,Plaza de Mariana Pineda,tertiary,30,False,26.657,"LINESTRING (-3.5973468 37.1725863, -3.5971694 37.1724989, -3.5971155 37.1724978, -3.597078 37.1725043)",,
42780861,True,2,Plaza de Mariana Pineda,tertiary,,False,36.821,"LINESTRING (-3.5973468 37.1725863, -3.5973733 37.1725459, -3.5975116 37.1723375, -3.597565 37.1723116)",,
6065750,True,1,Calle Almireceros,residential,30,False,63.79600000000001,"LINESTRING (-3.5967559 37.1769406, -3.5967852 37.1769338, -3.5970642 37.1768634, -3.5971488 37.1768411, -3.5974072 37.1767672, -3.5974388 37.176759)",,
"[411782120, 105257412]",True,1,"['Plaza Nueva', 'Calle Elvira']",secondary,30,False,58.013,"LINESTRING (-3.5967559 37.1769406, -3.5967457 37.1769286, -3.5965861 37.1767225, -3.5964515 37.1765485, -3.5964367 37.1765294, -3.5964117 37.1764968)",,
"[876564572, 26547013]",True,1,Calle Cárcel Baja,secondary,30,False,77.022,"LINESTRING (-3.5976638 37.1777342, -3.5977056 37.1777196, -3.5983321 37.1775008, -3.598342 37.1774974, -3.5983703 37.1774875, -3.5984043 37.1774756, -3.5984452 37.1774397)",,
"[411782120, 204132395]",True,1,Calle Elvira,secondary,30,False,119.99199999999999,"LINESTRING (-3.5976638 37.1777342, -3.5976454 37.1777054, -3.5976133 37.1776744, -3.5975998 37.1776626, -3.5975947 37.1776582, -3.5974666 37.1775398, -3.59724 37.1773805, -3.597197 37.1773492, -3.5969882 37.1771894, -3.596881 37.1770835, -3.5968344 37.1770372, -3.5967559 37.1769406)",,
352349417,True,1,Calle Ancha de la Virgen,residential,30,False,36.4,"LINESTRING (-3.5957971 37.1711103, -3.5961135 37.1709015)",,
151472993,True,1,Calle Concepción,living_street,20,False,45.976,"LINESTRING (-3.5957971 37.1711103, -3.5957843 37.1710981, -3.5954641 37.1707932)",,
639429826,True,1,Calle Ancha de la Virgen,residential,30,False,39.679,"LINESTRING (-3.5961135 37.1709015, -3.5964584 37.1706739)",,
151472995,True,1,Calle San Jacinto,living_street,20,False,51.644000000000005,"LINESTRING (-3.5961135 37.1709015, -3.5961284 37.1709167, -3.5964728 37.1712672)",,
639429824,False,1,Calle San Jacinto,living_street,20,False,46.214999999999996,"LINESTRING (-3.5961135 37.1709015, -3.5961005 37.1708899, -3.5957644 37.1705927)",,
43686791,False,2,Plaza del Realejo,secondary,30,False,39.503,"LINESTRING (-3.5943334 37.1736223, -3.5943044 37.1735975, -3.5942722 37.1735807, -3.5941764 37.1734879, -3.594151 37.1734633, -3.594108 37.173428, -3.5940608 37.1734053, -3.5940046 37.1733969)",,
"[118183618, 530891283]",True,1,Calle Carnicería,residential,30,False,44.885,"LINESTRING (-3.5943334 37.1736223, -3.5943654 37.1735951, -3.5943816 37.1735816, -3.5946965 37.1733409)",,
42780878,True,1,Plaza de Mariana Pineda,residential,30,False,48.012,"LINESTRING (-3.5967063 37.1722399, -3.5967518 37.1722629, -3.5970776 37.1724271, -3.5970919 37.1724441, -3.597078 37.1725043)",,
