osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,tunnel
891852981,NA-1110,Carretera Galar - Viana errepidea,tertiary,False,True,8.21,"LINESTRING (-2.3661712 42.515077, -2.3660773 42.5151027)",,,
220239593,NA-1110,Carretera Galar - Viana errepidea,tertiary,True,False,132.49099999999999,"LINESTRING (-2.3661712 42.515077, -2.3664594 42.515017, -2.3666072 42.5149802, -2.3667489 42.5149396, -2.3669331 42.5148727, -2.367083 42.5148161, -2.367217 42.5147568, -2.3673327 42.5146962, -2.36743 42.5146496, -2.3675348 42.5146184, -2.3676396 42.5145994)",,,
91134005,,Calle Tierra Estella,residential,False,True,71.588,"LINESTRING (-2.3715382 42.5129424, -2.3717537 42.5135663)",,,
31959452,,Calle San Luis Gonzaga,residential,True,False,112.02300000000001,"LINESTRING (-2.3715382 42.5129424, -2.3716168 42.5129998, -2.3717444 42.5130141, -2.3726659 42.5128905, -2.3727965 42.5127884)",,,
220235407,N-111,Carretera Viana - Logroño,trunk,True,False,104.569,"LINESTRING (-2.3715382 42.5129424, -2.3719279 42.5128862, -2.3726042 42.5128085, -2.3727965 42.5127884)",2,,
91133978,,Camino Cementerio,residential,False,True,7.074,"LINESTRING (-2.3727965 42.5127884, -2.3727836 42.5127255)",,,
375937013,NA-7230,Calle San José,residential,False,False,59.411,"LINESTRING (-2.3727965 42.5127884, -2.3729142 42.5133156)",,,
220235407,N-111,Carretera Viana - Logroño,trunk,True,False,91.38,"LINESTRING (-2.3727965 42.5127884, -2.3733178 42.5127299, -2.3738977 42.5126602)",2,,
220235407,N-111,Carretera Viana - Logroño,trunk,True,False,51.107,"LINESTRING (-2.3741128 42.512635, -2.3747289 42.5125643)",2,,
220236323,,Calle D. Pablo Antoñana Angulo,residential,False,True,27.02,"LINESTRING (-2.3741128 42.512635, -2.3741203 42.5126681, -2.374184 42.5126938, -2.3743436 42.5127961)",,,
220236330,N-111,Carretera Viana - Logroño,trunk,False,True,17.079,"LINESTRING (-2.3765213 42.5119896, -2.3764171 42.5120552, -2.3763628 42.5120893)",2,,
31959429,N-111,,tertiary,True,False,3.263,"LINESTRING (-2.3675041 42.5144144, -2.3674958 42.5144431)",,roundabout,
91134047,,Travesía el Cristo,residential,False,True,46.753,"LINESTRING (-2.3677479 42.5145988, -2.3679245 42.5149986)",,,
31959429,N-111,,tertiary,True,False,9.985,"LINESTRING (-2.3677479 42.5145988, -2.367803 42.5145797, -2.3678476 42.5145491)",,roundabout,
31959429,N-111,,tertiary,True,False,13.931999999999999,"LINESTRING (-2.3678476 42.5145491, -2.3678759 42.514513, -2.3678891 42.5144723, -2.3678862 42.5144306)",,roundabout,
320177716,NA-8407,Travesía de Viana,tertiary,False,True,20.715,"LINESTRING (-2.3678476 42.5145491, -2.3679071 42.5145815, -2.3680758 42.5146251)",,,
31959429,N-111,,tertiary,True,False,1.939,"LINESTRING (-2.367694 42.5143133, -2.3676705 42.5143153)",,roundabout,
31959429,N-111,,tertiary,True,False,8.963000000000001,"LINESTRING (-2.3676396 42.5145994, -2.3676938 42.5146047, -2.3677479 42.5145988)",,roundabout,
220235405,,Travesía de Viana,tertiary,False,False,180.502,"LINESTRING (-2.3752155 42.512828, -2.3738477 42.5137019, -2.373662 42.5138059, -2.3735116 42.5138437)",,,
220236321,NA-8407,Travesía de Viana,tertiary,True,False,34.730000000000004,"LINESTRING (-2.3752155 42.512828, -2.3752762 42.5128037, -2.3753348 42.5127619, -2.3753751 42.5127184, -2.375413 42.5126772, -2.3755056 42.5126057)",,,
161533159,,Calle Serapio Urra,residential,False,True,75.83200000000001,"LINESTRING (-2.3735116 42.5138437, -2.3740592 42.5142875, -2.3741106 42.5143603)",,,
