osmid,name,highway,oneway,reversed,length,geometry,ref,junction,bridge,maxspeed
30101873,Avenida de Hispanoamérica,residential,False,False,20.225,"LINESTRING (-1.1680157 37.7270633, -1.1678093 37.7269831)",,,,
30101873,Avenida de Hispanoamérica,residential,False,False,60.843,"LINESTRING (-1.1672435 37.7266431, -1.1667653 37.7262477)",,,,
30101874,Calle Vicente Aleixandre,residential,False,True,7.177,"LINESTRING (-1.1672435 37.7266431, -1.1672825 37.7265864)",,,,
30101873,Avenida de Hispanoamérica,residential,False,True,14.013,"LINESTRING (-1.1672435 37.7266431, -1.1673394 37.7267268, -1.1673515 37.7267357)",,,,
30101874,Calle Vicente Aleixandre,residential,False,False,71.175,"LINESTRING (-1.1673478 37.7259484, -1.1672825 37.7265864)",,,,
30101874,Calle Vicente Aleixandre,residential,False,True,69.521,"LINESTRING (-1.1673478 37.7259484, -1.1674266 37.7253263)",,,,
30101876,"Calle Francisco García ""El Maestro""",residential,False,True,51.613,"LINESTRING (-1.1673478 37.7259484, -1.1676432 37.7259707, -1.167932 37.7259925)",,,,
30101874,Calle Vicente Aleixandre,residential,False,False,7.177,"LINESTRING (-1.1672825 37.7265864, -1.1672435 37.7266431)",,,,
30101874,Calle Vicente Aleixandre,residential,False,True,71.175,"LINESTRING (-1.1672825 37.7265864, -1.1673478 37.7259484)",,,,
30101877,Calle Antonio Inglés,residential,False,True,50.377,"LINESTRING (-1.1672825 37.7265864, -1.1678523 37.7266327)",,,,
144232295,Avenida de Murcia,residential,True,False,22.302,"LINESTRING (-1.168687 37.7249235, -1.1686597 37.7251229)",,,,
144232283,Avenida de los Reyes de España,primary,True,False,25.911,"LINESTRING (-1.168687 37.7249235, -1.168715 37.7249843, -1.1687775 37.7250731, -1.1688383 37.7251193)",RM-601,,,
30101876,"Calle Francisco García ""El Maestro""",residential,False,False,57.356,"LINESTRING (-1.1685812 37.7260415, -1.167932 37.7259925)",,,,
30101876,"Calle Francisco García ""El Maestro""",residential,False,True,56.101,"LINESTRING (-1.1685812 37.7260415, -1.1692158 37.7260926)",,,,
512569116,Avenida de Murcia,residential,False,False,71.945,"LINESTRING (-1.1685812 37.7260415, -1.168501 37.7266854)",,,,
512569116,Avenida de Murcia,residential,False,True,48.27,"LINESTRING (-1.1685812 37.7260415, -1.1686297 37.7256091)",,,,
30101877,Calle Antonio Inglés,residential,False,False,57.352,"LINESTRING (-1.168501 37.7266854, -1.1678523 37.7266327)",,,,
30101877,Calle Antonio Inglés,residential,False,True,56.372,"LINESTRING (-1.168501 37.7266854, -1.1691381 37.726741)",,,,
512569116,Avenida de Murcia,residential,False,True,71.945,"LINESTRING (-1.168501 37.7266854, -1.1685812 37.7260415)",,,,
30101945,Ronda del Mediodía,primary,True,False,25.294,"LINESTRING (-1.1704908 37.7197845, -1.1707423 37.7196742)",,,,
30101893,Calle Manuel de Falla,residential,False,True,49.427,"LINESTRING (-1.1704908 37.7197845, -1.1705629 37.7198392, -1.1708961 37.7200924)",,,,
30101896,Calle Isaac Albéniz,residential,False,False,30.767,"LINESTRING (-1.1750141 37.7222726, -1.1747598 37.7220826)",,,,
30101922,Calle Doctor Fleming,residential,False,False,32.853,"LINESTRING (-1.1750141 37.7222726, -1.1746415 37.7222518)",,,,
30101922,Calle Doctor Fleming,residential,False,True,10.045,"LINESTRING (-1.1750141 37.7222726, -1.1751281 37.722278)",,,,
30101896,Calle Isaac Albéniz,residential,False,True,26.513,"LINESTRING (-1.171225 37.7194653, -1.1714404 37.7196321)",,,,
30101945,Ronda del Mediodía,primary,True,False,31.933,"LINESTRING (-1.171225 37.7194653, -1.1715455 37.7193304)",,,,
30101902,Gran Vía de los Mártires del Castillo de Olite,residential,False,False,74.331,"LINESTRING (-1.1746789 37.7194139, -1.1741122 37.7199098)",,,,
511997291,Ronda de Poniente,primary,True,False,14.648,"LINESTRING (-1.1746789 37.7194139, -1.1747103 37.7194356, -1.174748 37.7194496, -1.174789 37.719455, -1.1748304 37.7194515)",,roundabout,,
30101896,Calle Isaac Albéniz,residential,False,False,50.532,"LINESTRING (-1.1730628 37.7208071, -1.1726377 37.7205014)",,,,
30101896,Calle Isaac Albéniz,residential,False,True,55.906,"LINESTRING (-1.1730628 37.7208071, -1.173528 37.7211497)",,,,
30101902,Gran Vía de los Mártires del Castillo de Olite,residential,False,False,72.371,"LINESTRING (-1.1730628 37.7208071, -1.1725078 37.7212876)",,,,
30101902,Gran Vía de los Mártires del Castillo de Olite,residential,False,True,66.379,"LINESTRING (-1.1730628 37.7208071, -1.1735787 37.7203714)",,,,
30101893,Calle Manuel de Falla,residential,False,False,50.599,"LINESTRING (-1.1725078 37.7212876, -1.1720983 37.720968)",,,,
30101893,Calle Manuel de Falla,residential,False,True,52.215,"LINESTRING (-1.1725078 37.7212876, -1.1729086 37.721634)",,,,
