osmid,highway,oneway,reversed,length,name,geometry,ref,maxspeed,junction,bridge
"[141365090, 141365084]",residential,False,False,40.774,Calle Palomar,"LINESTRING (-2.196837 42.4431898, -2.1968927 42.4432557, -2.1971157 42.4433875, -2.197208 42.4434259)",,,,
"[141365090, 141365085]",residential,False,True,40.004999999999995,Calle Mayor,"LINESTRING (-2.196837 42.4431898, -2.1969231 42.4430429, -2.1969838 42.4430147, -2.197065 42.442977, -2.1971537 42.4430156)",,,,
334191914,residential,False,True,94.72800000000001,Calle Río Mayor,"LINESTRING (-2.196837 42.4431898, -2.1967283 42.4432562, -2.1965044 42.4433932, -2.1964175 42.4434463, -2.1964867 42.4434944, -2.1968611 42.4437549)",,,,
141365085,residential,False,False,99.194,Calle Mayor,"LINESTRING (-2.1992088 42.4437473, -2.1989402 42.4437929, -2.1989171 42.4437828, -2.1981363 42.4434431)",,,,
141365091,tertiary,False,False,68.657,,"LINESTRING (-2.1992088 42.4437473, -2.1991378 42.4435902, -2.1992645 42.4432811, -2.1993897 42.4431912)",NA-6361,,,
141365091,tertiary,False,True,35.129000000000005,,"LINESTRING (-2.1992088 42.4437473, -2.1992509 42.4438193, -2.1992596 42.4438342, -2.1993783 42.4440374)",NA-6361,,,
141365091,tertiary,False,False,35.129,,"LINESTRING (-2.1993783 42.4440374, -2.1992596 42.4438342, -2.1992509 42.4438193, -2.1992088 42.4437473)",NA-6361,,,
215384280,tertiary,False,True,32.727000000000004,Calle Augusto Echeverría,"LINESTRING (-2.1993783 42.4440374, -2.199303 42.4440527, -2.1992816 42.444057, -2.1992416 42.4440651, -2.199051 42.4441924)",NA-8411,50,,
334194347,tertiary,False,False,48.722,Travesía de Mendavia,"LINESTRING (-2.1993783 42.4440374, -2.1994273 42.4440275, -2.1994898 42.4440148, -2.1996439 42.4440903, -2.1998575 42.4441949, -2.1998882 42.4442099)",NA-8411,50,,
141365084,residential,False,True,173.592,Calle Palomar,"LINESTRING (-2.199051 42.4441924, -2.1989481 42.4441496, -2.197208 42.4434259)",,,,
215384280,tertiary,False,False,32.727000000000004,Calle Augusto Echeverría,"LINESTRING (-2.199051 42.4441924, -2.1992416 42.4440651, -2.1992816 42.444057, -2.199303 42.4440527, -2.1993783 42.4440374)",NA-8411,50,,
215384280,tertiary,False,True,79.021,Calle Augusto Echeverría,"LINESTRING (-2.199051 42.4441924, -2.198874 42.4443129, -2.1985488 42.4445343, -2.1983432 42.4446743)",NA-8411,50,,
327592299,residential,False,True,19.916,Calle Virgen de Legarda,"LINESTRING (-2.2031522 42.4411884, -2.2032712 42.4410323)",,,,
339578473,residential,False,False,68.585,Calle Donantes de Sangre,"LINESTRING (-2.2031522 42.4411884, -2.202419 42.4408923)",,,,
327592299,residential,False,False,139.20600000000002,Calle Virgen de Legarda,"LINESTRING (-2.2031522 42.4411884, -2.2024123 42.4420936, -2.2022818 42.4422629)",,,,
327592299,residential,False,False,58.629,Calle Virgen de Legarda,"LINESTRING (-2.2036216 42.4405728, -2.2032712 42.4410323)",,,,
327592299,residential,False,True,49.619,Calle Virgen de Legarda,"LINESTRING (-2.2036216 42.4405728, -2.2039047 42.4401785)",,,,
339578169,residential,False,False,84.10300000000001,Calle Cortes de Navarra,"LINESTRING (-2.2036216 42.4405728, -2.2030812 42.4404842, -2.2026227 42.4404036)",,,,
335255473,residential,False,False,43.907,Calle Río,"LINESTRING (-2.2005076 42.4425007, -2.2008706 42.4422106)",,,,
334280576,tertiary,False,False,51.715,Calle Estación,"LINESTRING (-2.2005076 42.4425007, -2.2005335 42.442357, -2.2005512 42.4421419, -2.20057 42.4420382)",NA-6361,,,
"[334280576, 141365091]",tertiary,False,True,70.467,Calle Estación,"LINESTRING (-2.2005076 42.4425007, -2.2004695 42.4425657, -2.2004187 42.4426342, -2.2003458 42.4427046, -2.2002684 42.4427793, -2.2001911 42.4428575, -2.200074 42.442939, -2.2000185 42.4429538, -2.1999636 42.4429684)",NA-6361,,,
339578167,residential,False,True,49.75299999999999,Calle Laureano Gómez,"LINESTRING (-2.2005076 42.4425007, -2.2006084 42.4425373, -2.2009636 42.4426749, -2.2010475 42.4427042)",,,,
339578167,residential,False,True,40.164,Calle Laureano Gómez,"LINESTRING (-2.2010475 42.4427042, -2.2014199 42.4429386)",,,,
335250842,residential,False,True,119.388,Calle Prado,"LINESTRING (-2.2010475 42.4427042, -2.2012908 42.4424849, -2.2014705 42.4423958, -2.2018138 42.4423503, -2.2021249 42.4422394, -2.2022818 42.4422629)",,,,
339578167,residential,False,False,49.753,Calle Laureano Gómez,"LINESTRING (-2.2010475 42.4427042, -2.2009636 42.4426749, -2.2006084 42.4425373, -2.2005076 42.4425007)",,,,
334277280,tertiary,False,False,9.63,Travesía de Mendavia,"LINESTRING (-2.1958646 42.4449057, -2.195973 42.4449389)",NA-8411,50,,
334185050,residential,False,False,46.572,Calle San Bartolomé,"LINESTRING (-2.1958646 42.4449057, -2.1956311 42.4450135, -2.1954227 42.4450952, -2.1953773 42.4451196)",,,,
