osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,lanes,maxspeed,junction
86301870,CM-410a,Calle Ronda de Escuelas,secondary,False,False,30.493,"LINESTRING (-3.871815 39.6490077, -3.8718391 39.6487341)",,,,
86301870,CM-410a,Calle Ronda de Escuelas,secondary,False,True,27.527,"LINESTRING (-3.871815 39.6490077, -3.8717935 39.6492547)",,,,
191697095,,Calle las Bodegas,residential,False,False,150.182,"LINESTRING (-3.871815 39.6490077, -3.8709788 39.6489127, -3.8700802 39.6490176)",,,,
86301870,CM-410a,Calle Ronda de Escuelas,secondary,False,True,80.92200000000001,"LINESTRING (-3.8724281 39.646761, -3.8723534 39.6467825, -3.8722844 39.6468128, -3.8722381 39.6468378, -3.8721933 39.6468646, -3.8721276 39.6469127, -3.8720735 39.6469645, -3.8720275 39.6470208, -3.8719938 39.6470758, -3.87197 39.6471409, -3.8719528 39.6472054, -3.871938 39.647266, -3.871929 39.6473248)",,,,
335197657,,Calle Ramón y Cajal,residential,False,True,110.667,"LINESTRING (-3.8724281 39.646761, -3.8726131 39.6474548, -3.8727376 39.6477253)",,,,
687241559,CM-410a,Calle Barruelo de Escuelas,secondary,False,False,81.713,"LINESTRING (-3.8724281 39.646761, -3.8725283 39.6467439, -3.8726818 39.646723, -3.8729174 39.6466997, -3.8733717 39.646653)",,,,
334574818,CM-410a,Calle San Benito,secondary,False,False,24.418,"LINESTRING (-3.8744119 39.6465374, -3.8746782 39.6464588)",,,,
687241561,CM-410a,Calle San Benito,secondary,False,True,16.969,"LINESTRING (-3.8744119 39.6465374, -3.8742147 39.6465526)",,,,
335197683,,Plaza Mayor,residential,False,True,56.934,"LINESTRING (-3.8747106 39.6477047, -3.874056 39.6477948)",,,,
"[1173178808, 23093441]",,"['Plaza Mayor', 'Calle Real']",residential,False,False,23.747,"LINESTRING (-3.8747106 39.6477047, -3.8748083 39.6477618, -3.8748997 39.6478579)",,,,
335197686,,Plaza Mayor,residential,False,True,36.639,"LINESTRING (-3.8747106 39.6477047, -3.8746792 39.6475287, -3.8746679 39.6473771)",,,,
182447126,,Calle del Conde,residential,False,False,52.364000000000004,"LINESTRING (-3.8771321 39.6472646, -3.8771942 39.6473969, -3.8773277 39.6475752, -3.8774445 39.6476612)",,,,
1173178806,,Calle San Martín,residential,False,False,75.149,"LINESTRING (-3.8771321 39.6472646, -3.8773082 39.6471525, -3.8777849 39.6470649, -3.8779317 39.6470176)",,,,
182447126,,Calle del Conde,residential,False,True,4.575,"LINESTRING (-3.8774805 39.6476916, -3.8774445 39.6476612)",,,,
191697175,,Plaza del Castillo,residential,False,False,26.284,"LINESTRING (-3.8774805 39.6476916, -3.8777874 39.6476975)",,,,
"[335197688, 182447147]",,Plaza del Castillo,residential,False,"[False, True]",27.204,"LINESTRING (-3.8774805 39.6476916, -3.8773203 39.6477849, -3.8773296 39.6478746)",,,,
335197678,N-401,Carretera de Sonseca,trunk,False,False,10.527,"LINESTRING (-3.87848 39.6477268, -3.8785859 39.6477749)",,,,
335197678,N-401,Carretera de Sonseca,trunk,False,True,5.785,"LINESTRING (-3.87848 39.6477268, -3.8784247 39.6476969)",,,,
182447179,,Calle Pepe Carbonell,residential,False,True,42.167,"LINESTRING (-3.87848 39.6477268, -3.8783997 39.6478395, -3.8783945 39.6478571, -3.8783633 39.6479622, -3.8783532 39.6480163, -3.8783697 39.6480853)",,,,
191697051,TO-3232,Calle de Arisgotas,tertiary,False,False,6.132,"LINESTRING (-3.8785859 39.6477749, -3.8786397 39.6477385)",,,,
335197678,N-401,Carretera de Sonseca,trunk,False,False,58.67,"LINESTRING (-3.8785859 39.6477749, -3.8791708 39.6480498)",,,,
335197678,N-401,Carretera de Sonseca,trunk,False,True,10.527,"LINESTRING (-3.8785859 39.6477749, -3.87848 39.6477268)",,,,
335197678,N-401,Carretera de Sonseca,trunk,False,False,5.785,"LINESTRING (-3.8784247 39.6476969, -3.87848 39.6477268)",,,,
182447134,,Calle de la Flor,residential,False,False,89.672,"LINESTRING (-3.8784247 39.6476969, -3.8784557 39.6476342, -3.8784688 39.6475653, -3.878496 39.6474168, -3.8784348 39.6468992)",,,,
335197678,N-401,Carretera de Sonseca,trunk,False,True,10.36,"LINESTRING (-3.8784247 39.6476969, -3.8783691 39.6476664, -3.8783318 39.6476377)",,,,
86301816,,Calle Alonso del Pozo,residential,False,False,27.96,"LINESTRING (-3.8727376 39.6477253, -3.8724114 39.6477372)",,,,
335197658,,Calle Rejas Verdes,residential,False,True,31.795,"LINESTRING (-3.8727376 39.6477253, -3.8727796 39.6480094)",,,,
"[86301816, 86301810]",,"['Calle Alonso del Pozo', 'Plaza Mayor']",residential,False,"[False, True]",122.46300000000001,"LINESTRING (-3.8727376 39.6477253, -3.8738816 39.6476679, -3.8740099 39.6476813, -3.874056 39.6477948)",,,,
335197657,,Calle Ramón y Cajal,residential,False,False,110.667,"LINESTRING (-3.8727376 39.6477253, -3.8726131 39.6474548, -3.8724281 39.646761)",,,,
335197683,,Plaza Mayor,residential,False,False,56.934,"LINESTRING (-3.874056 39.6477948, -3.8747106 39.6477047)",,,,
86301805,,Calle del Pilón,residential,False,True,13.902000000000001,"LINESTRING (-3.874056 39.6477948, -3.8739493 39.6478181, -3.8739347 39.6478561)",,,,
"[86301816, 86301810]",,"['Calle Alonso del Pozo', 'Plaza Mayor']",residential,False,"[False, True]",122.463,"LINESTRING (-3.874056 39.6477948, -3.8740099 39.6476813, -3.8738816 39.6476679, -3.8727376 39.6477253)",,,,
86301808,,Calle Labradores,residential,False,False,81.762,"LINESTRING (-3.8727846 39.6496441, -3.8728002 39.6489089)",,,,
86301808,,Calle Labradores,residential,False,True,116.798,"LINESTRING (-3.8727846 39.6496441, -3.8728216 39.6506941)",,,,
