osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,lanes,maxspeed,access
232631956,B-431,Carretera de Prats,tertiary,False,False,47.718,"LINESTRING (1.9559423 41.7999392, 1.9561484 41.7998283, 1.9562139 41.7997048, 1.9561896 41.7995995)",,,,
232631956,B-431,Carretera de Prats,tertiary,False,True,67.44200000000001,"LINESTRING (1.9559423 41.7999392, 1.9553882 41.79999, 1.9551365 41.800022)",,,,
34931545,,Carrer Sant Víctor,residential,False,True,117.155,"LINESTRING (1.9551365 41.800022, 1.9556424 41.800482, 1.9557262 41.8005582, 1.9558508 41.8006715, 1.9558707 41.8006837, 1.9559928 41.8007582, 1.956087 41.8007895)",,,,
"[141676194, 75436627, 383025636, 383025635]",B-431,Carretera de Prats,tertiary,False,True,234.006,"LINESTRING (1.9551365 41.800022, 1.9549257 41.8000295, 1.9544685 41.8000883, 1.9541935 41.8001233, 1.9540422 41.8001606, 1.9540238 41.8001674, 1.953973 41.8002102, 1.9537422 41.8004048, 1.953363 41.8006857, 1.9532281 41.8007856, 1.9530556 41.8009289, 1.9528679 41.8010848)",yes,,,
161652309,,Carrer Sant Víctor,living_street,False,False,88.252,"LINESTRING (1.9551365 41.800022, 1.9547406 41.799863, 1.9546063 41.7998231, 1.954412 41.7997878, 1.9541724 41.7996944)",,,,
232631956,B-431,Carretera de Prats,tertiary,False,False,67.44200000000001,"LINESTRING (1.9551365 41.800022, 1.9553882 41.79999, 1.9559423 41.7999392)",,,,
34931546,,Carrer Hospital,residential,False,True,71.015,"LINESTRING (1.9495317 41.7991606, 1.949614 41.7990848, 1.9499879 41.798972, 1.9500607 41.79893, 1.9502429 41.7988248)",,2,,
191056141,,Carrer de la Bassa d'en Serola,living_street,False,True,133.86599999999999,"LINESTRING (1.9495317 41.7991606, 1.9496809 41.7991452, 1.9498424 41.7990936, 1.9501227 41.7989961, 1.9504152 41.7989412, 1.950653 41.7988921, 1.9507643 41.7988899, 1.9510356 41.7989506, 1.9510715 41.7989546)",,,,
"[34931547, 191056142]",,Carrer Fort,living_street,False,False,125.00000000000001,"LINESTRING (1.9495317 41.7991606, 1.949693 41.7992195, 1.9500413 41.7992212, 1.9501105 41.7992215, 1.9504126 41.7991835, 1.9504901 41.7991727, 1.9505835 41.7991722, 1.9507026 41.7991563, 1.9507719 41.7991397, 1.9509878 41.7990643)",,1,20,
34931547,,Carrer Fort,living_street,False,False,14.271,"LINESTRING (1.9509878 41.7990643, 1.9510393 41.7990203, 1.9510715 41.7989546)",,1,20,
"[34931547, 191056142]",,Carrer Fort,living_street,False,True,125.00000000000001,"LINESTRING (1.9509878 41.7990643, 1.9507719 41.7991397, 1.9507026 41.7991563, 1.9505835 41.7991722, 1.9504901 41.7991727, 1.9504126 41.7991835, 1.9501105 41.7992215, 1.9500413 41.7992212, 1.949693 41.7992195, 1.9495317 41.7991606)",,1,20,
191053469,,Carrer Fort,living_street,False,False,24.726999999999997,"LINESTRING (1.9509878 41.7990643, 1.9510695 41.7991171, 1.9512368 41.7991845)",,1,20,
34931548,,Carrer Fort,living_street,True,False,34.504000000000005,"LINESTRING (1.9508677 41.7993263, 1.9510775 41.7992578, 1.9512368 41.7991845)",,1,20,
191053469,,Carrer Fort,living_street,False,False,19.753,"LINESTRING (1.9512368 41.7991845, 1.951453 41.7992592)",,1,20,
191053469,,Carrer Fort,living_street,False,True,24.726999999999997,"LINESTRING (1.9512368 41.7991845, 1.9510695 41.7991171, 1.9509878 41.7990643)",,1,20,
75436551,,Carretera de Sallent,tertiary,False,False,102.58699999999999,"LINESTRING (1.9517193 41.7982753, 1.9507571 41.7982394, 1.950483 41.7982361)",,,,
75436625,B-420,Carretera de Sallent,tertiary,False,True,32.031,"LINESTRING (1.9517193 41.7982753, 1.9519482 41.7982773, 1.9520551 41.7982654, 1.9520964 41.7982452)",,,,
191053497,,Carrer de l'Hospital,residential,False,True,126.036,"LINESTRING (1.9517193 41.7982753, 1.9516827 41.7983183, 1.9506736 41.7984966, 1.9502603 41.798525)",,2,30,
75436565,,Carrer del Carme,residential,False,True,73.897,"LINESTRING (1.9525533 41.7977504, 1.9533394 41.7980638)",,,,
75436625,B-420,Carretera de Sallent,tertiary,False,True,32.524,"LINESTRING (1.9525533 41.7977504, 1.9527574 41.7975006)",,,,
75436625,B-420,Carretera de Sallent,tertiary,False,False,67.786,"LINESTRING (1.9525533 41.7977504, 1.952314 41.7980686, 1.9522798 41.7981076, 1.9522064 41.7981916, 1.9520964 41.7982452)",,,,
42988562,BV-4512,Carrer Rocafort,tertiary,False,False,127.5,"LINESTRING (1.9527574 41.7975006, 1.9514157 41.79694)",,,,
43330305,BV-4512,Carrer Rocafort,tertiary,False,True,9.469,"LINESTRING (1.9527574 41.7975006, 1.9528563 41.7975432)",,,,
75436625,B-420,Carretera de Sallent,tertiary,False,False,32.524,"LINESTRING (1.9527574 41.7975006, 1.9525533 41.7977504)",,,,
34931554,,Passeig Diagonal,residential,False,False,41.058,"LINESTRING (1.9503464 41.7960069, 1.9508237 41.7961055)",,2,50,
34931554,,Passeig Diagonal,residential,False,True,123.587,"LINESTRING (1.9503464 41.7960069, 1.948902 41.7957317)",,2,50,
75436622,,Carrer Sant Pelegrí,residential,False,False,47.203,"LINESTRING (1.9503464 41.7960069, 1.9502416 41.7961596, 1.950087 41.7963848)",,,,
75436622,,Carrer Sant Pelegrí,residential,False,True,53.199999999999996,"LINESTRING (1.9503464 41.7960069, 1.9504303 41.7956588, 1.9504599 41.795536)",,,,
42988562,BV-4512,Carrer Rocafort,tertiary,False,False,35.147,"LINESTRING (1.950087 41.7963848, 1.9497172 41.7962302)",,,,
42988562,BV-4512,Carrer Rocafort,tertiary,False,True,93.943,"LINESTRING (1.950087 41.7963848, 1.9510722 41.7968023)",,,,
75436622,,Carrer Sant Pelegrí,residential,False,False,47.464,"LINESTRING (1.950087 41.7963848, 1.9498067 41.796757)",,,,
75436622,,Carrer Sant Pelegrí,residential,False,True,47.203,"LINESTRING (1.950087 41.7963848, 1.9502416 41.7961596, 1.9503464 41.7960069)",,,,
34931546,,Carrer Hospital,residential,False,True,33.367,"LINESTRING (1.9502429 41.7988248, 1.9502603 41.798525)",,2,,
34931546,,Carrer Hospital,residential,False,False,71.015,"LINESTRING (1.9502429 41.7988248, 1.9500607 41.79893, 1.9499879 41.798972, 1.949614 41.7990848, 1.9495317 41.7991606)",,2,,
386780127,,Carrer de les Muralles,living_street,False,False,92.12299999999999,"LINESTRING (1.9502429 41.7988248, 1.9503483 41.798833, 1.9513188 41.7986374)",,,20,
34931546,,Carrer Hospital,residential,False,False,33.367,"LINESTRING (1.9502603 41.798525, 1.9502429 41.7988248)",,2,,
191053497,,Carrer de l'Hospital,residential,False,False,126.03599999999999,"LINESTRING (1.9502603 41.798525, 1.9506736 41.7984966, 1.9516827 41.7983183, 1.9517193 41.7982753)",,2,30,
161961053,,Carrer Fassina de Baix,living_street,False,False,31.633,"LINESTRING (1.9561896 41.7995995, 1.9565176 41.7997449)",,,,
232631956,B-431,Carretera de Prats,tertiary,False,False,54.922000000000004,"LINESTRING (1.9561896 41.7995995, 1.9560681 41.7994987, 1.9559878 41.799458, 1.9557718 41.7993725, 1.9556604 41.7993104)",,,,
232631956,B-431,Carretera de Prats,tertiary,False,True,47.718,"LINESTRING (1.9561896 41.7995995, 1.9562139 41.7997048, 1.9561484 41.7998283, 1.9559423 41.7999392)",,,,
43330305,BV-4512,Carrer Rocafort,tertiary,False,False,9.038,"LINESTRING (1.9545284 41.7982645, 1.9544349 41.7982227)",,,,
75436591,B-431,Carrer Barquera,tertiary,False,False,53.616,"LINESTRING (1.9545284 41.7982645, 1.9546366 41.7981799, 1.9547744 41.7981078, 1.955068 41.7980099)",,2,50,
232631956,B-431,Carretera de Prats,tertiary,False,True,64.768,"LINESTRING (1.9545284 41.7982645, 1.9547432 41.7984289, 1.9548919 41.7985905, 1.9550179 41.7987163)",,,,
142356181,B-431,Carrer de les Parres,tertiary,False,False,35.726,"LINESTRING (1.9556541 41.7970067, 1.9556879 41.7966864)",,,50,
191054114,,Carrer de la Indústria,residential,False,True,79.937,"LINESTRING (1.9556541 41.7970067, 1.9565915 41.7971753)",,,,
34931554,,Passeig Diagonal,residential,False,True,114.162,"LINESTRING (1.9556541 41.7970067, 1.9550316 41.7968894, 1.9543189 41.7967552)",,2,50,
142356181,B-431,Carrer de les Parres,tertiary,False,True,123.136,"LINESTRING (1.9556541 41.7970067, 1.9556083 41.7971964, 1.9554565 41.7974985, 1.9551521 41.79795, 1.955068 41.7980099)",,,50,
43330305,BV-4512,Carrer Rocafort,tertiary,False,False,65.586,"LINESTRING (1.9535411 41.7978386, 1.9528563 41.7975432)",,,,
75436567,,Carrer Balmes,residential,True,False,53.424,"LINESTRING (1.9535411 41.7978386, 1.953836 41.7974114)",,,,
43330305,BV-4512,Carrer Rocafort,tertiary,False,True,16.902,"LINESTRING (1.9535411 41.7978386, 1.9536961 41.7979055, 1.9537176 41.7979147)",,,,
75436616,,Carrer Sant Lluís,residential,True,False,56.992000000000004,"LINESTRING (1.9550179 41.7987163, 1.9553526 41.7983217, 1.9554124 41.7983118)",,,,
232631956,B-431,Carretera de Prats,tertiary,False,False,64.768,"LINESTRING (1.9550179 41.7987163, 1.9548919 41.7985905, 1.9547432 41.7984289, 1.9545284 41.7982645)",,,,
232631956,B-431,Carretera de Prats,tertiary,False,True,84.859,"LINESTRING (1.9550179 41.7987163, 1.9554561 41.7991173, 1.9554857 41.7991453, 1.9556604 41.7993104)",,,,
75436582,,Carrer del Pla del Clavari,residential,False,False,30.509,"LINESTRING (1.9553706 41.7980392, 1.9554124 41.7983118)",,1,,
75436609,,Carrer Barquera,residential,True,False,25.295,"LINESTRING (1.9553706 41.7980392, 1.955068 41.7980099)",,1,30,
75436587,,Carrer Verge de Fussimanya,residential,False,False,15.96,"LINESTRING (1.9556006 41.7994348, 1.9555375 41.7995704)",,,,
75436587,,Carrer Verge de Fussimanya,residential,False,True,14.694,"LINESTRING (1.9556006 41.7994348, 1.9556604 41.7993104)",,,,
"[75436610, 1148077875]",,"['Plaça Faura', 'Carrer Jaume I']",living_street,False,False,74.883,"LINESTRING (1.9556006 41.7994348, 1.9549161 41.799094, 1.9548491 41.7990611)",,,,
