osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,maxspeed,junction,access
344336621,Pista de la Estrella,residential,False,False,516.415,"LINESTRING (-3.4278276 36.9021556, -3.4278804 36.9022206, -3.4278826 36.9022542, -3.4277456 36.9025917, -3.4275757 36.9029936, -3.427512 36.9030587, -3.4274377 36.9030841, -3.4270554 36.9030332, -3.4270165 36.9030078, -3.4269856 36.9029415, -3.4269618 36.9028294, -3.4269457 36.9026653, -3.4269564 36.9024304, -3.4269634 36.9023992, -3.4269903 36.9022535, -3.4270087 36.902159, -3.4270696 36.9017228, -3.4269446 36.9015319, -3.4268714 36.90142, -3.4267121 36.9011172, -3.4265529 36.9005568, -3.4264998 36.9002936, -3.4264927 36.9001323, -3.4265033 36.8998464)",,,,,,
"[5010888, 588808467, 5010879]",Carretera de Lanjarón a Almería por Ugíjar,secondary,False,False,158.647,"LINESTRING (-3.4278276 36.9021556, -3.4277627 36.902189, -3.4276839 36.9022224, -3.4275746 36.9022482, -3.4274653 36.902259, -3.4271326 36.9022658, -3.4265826 36.9022371, -3.4260817 36.9021615)",2,A-348,yes,,,
588808467,Carretera de Lanjarón a Almería por Ugíjar,secondary,False,True,122.67500000000001,"LINESTRING (-3.4278276 36.9021556, -3.4279021 36.9020977, -3.4279614 36.9019964, -3.4279869 36.9018987, -3.4280426 36.9016589, -3.4280827 36.9014395, -3.4280967 36.9013723, -3.4281083 36.9013193, -3.4281226 36.9012684, -3.4281395 36.901229, -3.4281577 36.9011916, -3.4281785 36.9011614, -3.4282006 36.9011417, -3.428226 36.9011254)",2,A-348,,,,
"[5010888, 588808467, 5010879]",Carretera de Lanjarón a Almería por Ugíjar,secondary,False,True,158.64700000000002,"LINESTRING (-3.4260817 36.9021615, -3.4265826 36.9022371, -3.4271326 36.9022658, -3.4274653 36.902259, -3.4275746 36.9022482, -3.4276839 36.9022224, -3.4277627 36.902189, -3.4278276 36.9021556)",2,A-348,yes,,,
679103728,Avenida González Robles,secondary,False,False,114.254,"LINESTRING (-3.4260817 36.9021615, -3.4259378 36.9020969, -3.4258034 36.9019891, -3.4256383 36.9017376, -3.4254933 36.9012932)",2,A-348,,,,
"[1085330409, 1019208910, 343961527]",Calle Fuente Mariano,residential,False,True,253.906,"LINESTRING (-3.4260817 36.9021615, -3.4260641 36.9022248, -3.4260067 36.9023524, -3.4260063 36.9024686, -3.4261592 36.9027815, -3.4261701 36.9028173, -3.4262241 36.9031386, -3.4261602 36.9034245, -3.4260519 36.9037915, -3.4259222 36.9043848)",,,,,,
1019210812,Avenida González Robles,secondary,False,True,21.092,"LINESTRING (-3.4254608 36.9011053, -3.4254933 36.9012932)",2,A-348,,,,
215805069,Calle Vera,residential,False,False,132.274,"LINESTRING (-3.4254608 36.9011053, -3.425505 36.9010293, -3.4254268 36.900552, -3.4254431 36.9002878, -3.4254436 36.900103, -3.4254279 36.8999284)",,,,,,
1019210811,Avenida González Robles,secondary,False,False,56.497,"LINESTRING (-3.4254608 36.9011053, -3.42538 36.9007167, -3.4253536 36.9006716, -3.4252951 36.9006274)",2,A-348,,,,
5010880,Avenida González Robles,secondary,False,True,59.962,"LINESTRING (-3.4238891 36.9006649, -3.4240078 36.9006812, -3.4245588 36.9006359)",2,A-348,,,,
416205590,Avenida González Robles,secondary,False,False,22.006999999999998,"LINESTRING (-3.4238891 36.9006649, -3.4238533 36.9005999, -3.4238475 36.9004731)",2,A-348,,50,,
679103716,Plaza García Moreno,residential,False,True,44.042,"LINESTRING (-3.4238891 36.9006649, -3.4238321 36.900872, -3.4238551 36.9010551)",,,,,,
5010881,Avenida González Robles,secondary,False,False,19.322,"LINESTRING (-3.422794 36.8990245, -3.4225783 36.8990035)",2,A-348,,50,,
5010881,Avenida González Robles,secondary,False,True,66.08,"LINESTRING (-3.422794 36.8990245, -3.4229481 36.8991248, -3.4230211 36.8992137, -3.4232124 36.899505)",2,A-348,,50,,
215805077,Calle Las Cabreras,residential,False,True,51.772999999999996,"LINESTRING (-3.422794 36.8990245, -3.423119 36.8989473, -3.4233319 36.8988533)",,,,,,
1019210807,Avenida González Robles,secondary,False,True,15.704,"LINESTRING (-3.422403 36.8989864, -3.4225783 36.8990035)",2,A-348,,50,,
215806474,Calle Santa Bárbara,residential,False,False,68.634,"LINESTRING (-3.422403 36.8989864, -3.4224142 36.8989067, -3.4224586 36.8987449, -3.4225054 36.8986236, -3.422477 36.8983802)",,,,,,
713331251,Avenida González Robles,secondary,False,False,127.632,"LINESTRING (-3.422403 36.8989864, -3.4213958 36.8988963, -3.4212573 36.8988616, -3.4211889 36.8988127, -3.4211523 36.8987476, -3.421141 36.8986716)",2,A-348,,50,,
215805065,Calle Yáñez,residential,False,False,17.533,"LINESTRING (-3.4238475 36.9004731, -3.4238787 36.9004389, -3.4239297 36.900331)",,,,,,
"[5010881, 416205586, 416205590]",Avenida González Robles,secondary,False,False,121.71200000000002,"LINESTRING (-3.4238475 36.9004731, -3.4237947 36.9003874, -3.4237017 36.900258, -3.4235737 36.9000912, -3.4234366 36.8998977, -3.4232124 36.899505)",2,A-348,yes,50,,
416205590,Avenida González Robles,secondary,False,True,22.006999999999998,"LINESTRING (-3.4238475 36.9004731, -3.4238533 36.9005999, -3.4238891 36.9006649)",2,A-348,,50,,
416148087,Plaza de la Alpujarra,residential,True,False,78.042,"LINESTRING (-3.4238011 36.9020703, -3.4236244 36.9021183, -3.4232816 36.902233, -3.4229856 36.9021369)",,,,,,
"[1019204216, 416153604]",Calle Doctor Fleming,residential,False,False,29.593,"LINESTRING (-3.4238011 36.9020703, -3.4238914 36.9020448, -3.4239376 36.9019886, -3.4239372 36.9018663)",,,,,,
