osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed
14093831,True,1,AC-115,secondary_link,False,23.098,"LINESTRING (-8.1661701 43.4755063, -8.1662324 43.4754248, -8.1663437 43.4753436)",,
192569403,True,1,AC-115,secondary,False,19.012,"LINESTRING (-8.1661701 43.4755063, -8.1661056 43.4754203, -8.1660292 43.4753727)",Avenida de Conces,
192569402,False,2,AC-115,secondary,False,43.735,"LINESTRING (-8.1662884 43.4758478, -8.166326 43.4759879, -8.1663367 43.4761056, -8.166326 43.476238)",Avenida de Conces,
192569410,True,2,AC-115,secondary,False,39.229,"LINESTRING (-8.1662884 43.4758478, -8.1662474 43.4756849, -8.1661701 43.4755063)",Avenida de Conces,
24650764,False,,DP-1503,tertiary,False,76.633,"LINESTRING (-8.1614097 43.4732201, -8.1612795 43.4732045, -8.1611127 43.4731943, -8.1604647 43.4731545)",Avenida do Doutor Sixto Mauriz,
411473677,False,2,N-651,trunk,False,148.289,"LINESTRING (-8.1614097 43.4732201, -8.1615812 43.4725094, -8.1616396 43.4722733, -8.1616923 43.4719517, -8.1617002 43.4719037)",Avenida Porta do Sol,50
"[625460832, 625246315, 192569406]",False,"['2', '3']",N-651,trunk,True,139.525,"LINESTRING (-8.1614097 43.4732201, -8.1613798 43.4733149, -8.1612836 43.4736221, -8.1611895 43.4739829, -8.1611806 43.474208, -8.1611852 43.4742623, -8.1612072 43.4743362, -8.1612388 43.4743964, -8.1612717 43.4744467)",Avenida dos Naturais de Fene,50
657572868,False,,DP-1503,tertiary,True,58.318999999999996,"LINESTRING (-8.1614097 43.4732201, -8.1615084 43.4732225, -8.1616852 43.4732094, -8.1619976 43.4731658, -8.1621256 43.4731697)",Rúa da Fraga,
24650764,False,,DP-1503,tertiary,False,45.535,"LINESTRING (-8.1604647 43.4731545, -8.1602891 43.4731428, -8.1601007 43.4731092, -8.1599194 43.4730592)",Avenida do Doutor Sixto Mauriz,
24650764,False,,DP-1503,tertiary,True,76.633,"LINESTRING (-8.1604647 43.4731545, -8.1611127 43.4731943, -8.1612795 43.4732045, -8.1614097 43.4732201)",Avenida do Doutor Sixto Mauriz,
48650069,False,,,unclassified,False,158.928,"LINESTRING (-8.1604647 43.4731545, -8.1604567 43.473058, -8.1604245 43.4729741, -8.1603896 43.4728967, -8.1603828 43.4728649, -8.1603926 43.4727514, -8.1604374 43.47239, -8.1604836 43.4722127, -8.1605677 43.47186, -8.1605604 43.4717934, -8.1605526 43.4717436)",Rúa Formosende,
24650764,False,,DP-1503,tertiary,True,25.708,"LINESTRING (-8.159635 43.472955, -8.1599194 43.4730592)",Avenida do Doutor Sixto Mauriz,
24650764,False,,DP-1503,tertiary,False,63.815,"LINESTRING (-8.159635 43.472955, -8.159285 43.472736, -8.1590908 43.4726238, -8.1590279 43.4725874)",Avenida do Doutor Sixto Mauriz,
499662127,False,,,unclassified,False,150.75300000000001,"LINESTRING (-8.159635 43.472955, -8.1597822 43.4727321, -8.1598044 43.4726743, -8.1598839 43.4721228, -8.1598666 43.4720734, -8.1598072 43.4720114, -8.1597514 43.4718727, -8.1597116 43.4716515)",Avenida do Doutor Sixto Mauriz,
24650764,False,,DP-1503,tertiary,True,63.815,"LINESTRING (-8.1590279 43.4725874, -8.1590908 43.4726238, -8.159285 43.472736, -8.159635 43.472955)",Avenida do Doutor Sixto Mauriz,
35011489,False,,,unclassified,False,30.725,"LINESTRING (-8.1590279 43.4725874, -8.1589982 43.4724838, -8.158917 43.4723238)",Estrada da Costeira,
25356808,True,1,AC-133,tertiary,False,37.308,"LINESTRING (-8.1667258 43.475014, -8.1665461 43.4751656, -8.166422 43.4752669)",Avenida do Marqués de Figueroa,
192569409,True,,AC-133,trunk_link,False,24.229000000000003,"LINESTRING (-8.1667258 43.475014, -8.1667248 43.4751047, -8.1667569 43.4751603, -8.1668156 43.4752119)",,
33528733,False,,,residential,False,42.657000000000004,"LINESTRING (-8.1653677 43.4736206, -8.1653571 43.4735295, -8.165333 43.4733221, -8.1653495 43.4732389)",Avenida Tarrío,
161539544,False,,DP-1503,tertiary,False,90.332,"LINESTRING (-8.1653677 43.4736206, -8.1652905 43.4736303, -8.1650205 43.4736641, -8.16488 43.4736361, -8.1647025 43.4735116, -8.1645289 43.4733939, -8.164412 43.4733421)",Rúa da Fraga,
161539544,False,,DP-1503,tertiary,True,54.221,"LINESTRING (-8.1653677 43.4736206, -8.1657388 43.4735757, -8.1659121 43.4735977, -8.1660284 43.4736185)",Rúa da Fraga,
36938352,False,,,unclassified,True,78.41799999999999,"LINESTRING (-8.164412 43.4733421, -8.1644969 43.4732947, -8.1645734 43.473267, -8.1651975 43.473233, -8.1652752 43.4732427, -8.1653495 43.4732389)",Avenida Tarrío,
