osmid,oneway,ref,name,highway,maxspeed,access,reversed,length,geometry,lanes,junction,bridge
72858211,False,LU-664,Rúa María Emilia Casas Baamonde,primary,50,yes,False,33.596999999999994,"LINESTRING (-7.5092817 42.5270892, -7.5094146 42.5271285, -7.509656 42.5272122)",,,
72858346,False,,Rúa de San Pedro,residential,50,,True,103.791,"LINESTRING (-7.5092817 42.5270892, -7.5091764 42.5270294, -7.5084856 42.5266375, -7.5083674 42.5265704, -7.5082781 42.5265198)",,,
562236921,False,LU-546,Rúa do Doutor Casares,primary,50,,True,120.548,"LINESTRING (-7.5092817 42.5270892, -7.5091711 42.5271867, -7.5084004 42.527866, -7.5083381 42.5279209)",,,
"[1227203804, 1164735863]",False,,Rúa do Doutor Casares,residential,,,True,147.79299999999998,"LINESTRING (-7.5092817 42.5270892, -7.5094115 42.5269869, -7.5094443 42.5269611, -7.5095941 42.5268385, -7.5104079 42.5261724, -7.5104918 42.5261037)","['2', '3']",,
69080684,True,LU-933,Rúa de Roberto Baamonde,residential,30,yes,False,14.078,"LINESTRING (-7.5059806 42.5223171, -7.5060673 42.5222078)",1,,
313838059,False,LU-662,Rúa de Leopoldo Calvo Sotelo,tertiary,50,yes,True,24.184,"LINESTRING (-7.5059806 42.5223171, -7.505919 42.5221044)",1,,
1227804971,False,LU-662,Rúa de Leopoldo Calvo Sotelo,tertiary,50,yes,False,106.595,"LINESTRING (-7.5059806 42.5223171, -7.5060189 42.5228442, -7.5060051 42.5230177, -7.50597 42.5231599, -7.5059403 42.5232702)",1,,
69081614,False,LU-933,Rúa de Roberto Baamonde,secondary,50,yes,True,20.944,"LINESTRING (-7.5061319 42.5220002, -7.505919 42.5221044)",,,
69081614,False,LU-933,Rúa de Roberto Baamonde,secondary,50,yes,False,46.259,"LINESTRING (-7.5061319 42.5220002, -7.5062504 42.5219562, -7.5066481 42.5218323)",,,
69080947,True,LU-933,,secondary,30,yes,False,9.764,"LINESTRING (-7.515321 42.5197451, -7.5153565 42.5197582, -7.515396 42.5197612, -7.5154344 42.5197537)",1,roundabout,
117406733,True,LU-933,Rúa do Cardeal Rodrigo de Castro,secondary,,,False,10.019,"LINESTRING (-7.515321 42.5197451, -7.515335 42.519776, -7.5153419 42.5198333)",,,
69080947,True,LU-933,,secondary,30,yes,False,15.046,"LINESTRING (-7.5154344 42.5197537, -7.5154645 42.5197381, -7.5154859 42.5197162, -7.5154964 42.5196902, -7.5154947 42.5196632, -7.515481 42.5196381)",1,roundabout,
69081125,False,LU-662,Rúa de Leopoldo Calvo Sotelo,tertiary,50,yes,False,171.565,"LINESTRING (-7.5054675 42.5250292, -7.5054169 42.5252267, -7.5052444 42.5259127, -7.5050984 42.5264438, -7.5050707 42.5265441)",1,,
69081125,False,LU-662,Rúa de Leopoldo Calvo Sotelo,tertiary,50,yes,True,110.025,"LINESTRING (-7.5054675 42.5250292, -7.5055077 42.5248792, -7.5057187 42.5241026, -7.5057306 42.5240589)",1,,
72858346,False,,Rúa de San Pedro,residential,50,,False,131.923,"LINESTRING (-7.5054675 42.5250292, -7.5056058 42.5250508, -7.5067996 42.525681)",,,
1227203805,False,,Rúa de Santo Domingo,living_street,,,False,85.434,"LINESTRING (-7.5123367 42.5229083, -7.5122145 42.5224794, -7.5121536 42.5221524)",,,
1227203805,False,,Rúa de Santo Domingo,living_street,,,True,83.09700000000001,"LINESTRING (-7.5123367 42.5229083, -7.5123686 42.5231491, -7.5122331 42.5236445)",,,
