osmid,oneway,ref,highway,maxspeed,reversed,length,name,width,geometry,lanes,access,bridge
79499633,False,N-211,trunk,50,False,25.505,,,"LINESTRING (-1.8837577 40.8447629, -1.883464 40.8447059)",,,
1204175529,False,,residential,,True,25.65,,,"LINESTRING (-1.8837577 40.8447629, -1.8835281 40.8449147)",,,
1254558007,False,,residential,,True,16.102,Calle del Carmen,6,"LINESTRING (-1.8837577 40.8447629, -1.8839032 40.8446688)",,,
79499633,False,N-211,trunk,50,True,23.743000000000002,,,"LINESTRING (-1.8837577 40.8447629, -1.8839177 40.8448105, -1.8840204 40.844841)",,,
79499633,False,N-211,trunk,50,False,102.91000000000001,,,"LINESTRING (-1.8850849 40.8447199, -1.8848429 40.8449025, -1.8847549 40.8449459, -1.8846723 40.844969, -1.8846061 40.8449763, -1.8844862 40.8449776, -1.8843875 40.844963, -1.8842136 40.8449098, -1.8840204 40.844841)",,,
"[844513792, 230679513]",False,N-211,trunk,"['30', '50']",True,257.049,,,"LINESTRING (-1.8850849 40.8447199, -1.8853432 40.8445188, -1.8854441 40.8444754, -1.8854803 40.8444675, -1.8855665 40.8444442, -1.8857227 40.8444387, -1.8858609 40.8444601, -1.8861103 40.8445229, -1.8862142 40.8445632, -1.8864131 40.8446405, -1.8865073 40.8446771, -1.8866579 40.8447329, -1.8876456 40.8448784, -1.8879002 40.8449159)",2,,
850882305,False,CM-210,primary,,True,17.244,,,"LINESTRING (-1.8924638 40.8410245, -1.8926621 40.8409852)",2,,
230687534,False,,residential,,True,107.304,,,"LINESTRING (-1.8924638 40.8410245, -1.8926473 40.8411614, -1.8928726 40.8412487, -1.8931837 40.8413075, -1.8936209 40.8413663)",,,
262364476,False,CM-210,primary,,False,57.47500000000001,,,"LINESTRING (-1.8924638 40.8410245, -1.8922512 40.8410862, -1.8920881 40.8411836, -1.8919149 40.8413176)",2,,
558662219,False,CM-210,primary,,False,6.184,Camino de San Francisco,,"LINESTRING (-1.8912105 40.8419321, -1.89118 40.8419827)",2,,
