osmid,lanes,name,highway,junction,oneway,reversed,length,bridge,maxspeed,geometry,ref,access,tunnel
"[95513210, 23258493, 95513206]",2,Rotonda de la Creu,secondary,roundabout,True,False,53.73,yes,40,"LINESTRING (-0.4303207 39.4398417, -0.4303677 39.4397438, -0.4303796 39.4396278, -0.430348 39.439514, -0.430307 39.4394482, -0.4302513 39.4393892)",,,
30722194,1,,trunk_link,,True,False,415.392,,70,"LINESTRING (-0.4303207 39.4398417, -0.4304544 39.4398185, -0.4304886 39.4398126, -0.43084 39.4397716, -0.4323669 39.4396852, -0.4344432 39.4395842, -0.4351407 39.4395585)",,,
95513210,2,Rotonda de la Creu,secondary,roundabout,True,False,4.184,,40,"LINESTRING (-0.4302513 39.4393892, -0.4302175 39.4393621)",,,
23377126,,Rotonda d'Andreu Alfaro,tertiary,roundabout,True,False,16.523,,,"LINESTRING (-0.439926 39.4369233, -0.4399041 39.4368767, -0.4398655 39.4368372, -0.4398136 39.4368081)",CV-4062,,
23377127,,,tertiary,,True,False,38.0,,,"LINESTRING (-0.439926 39.4369233, -0.4399718 39.4368941, -0.4400435 39.4368455, -0.4402726 39.4367111)",CV-4062,,
23377126,,Rotonda d'Andreu Alfaro,tertiary,roundabout,True,False,5.169,,,"LINESTRING (-0.4398136 39.4368081, -0.4397569 39.4367925)",CV-4062,,
23377126,,Rotonda d'Andreu Alfaro,tertiary,roundabout,True,False,4.405,,,"LINESTRING (-0.439585 39.4368217, -0.4395471 39.4368484)",CV-4062,,
23377126,,Rotonda d'Andreu Alfaro,tertiary,roundabout,True,False,0.519,,,"LINESTRING (-0.4394974 39.4369707, -0.439499 39.4369752)",CV-4062,,
23377126,,Rotonda d'Andreu Alfaro,tertiary,roundabout,True,False,45.069,,,"LINESTRING (-0.4395797 39.4370885, -0.4396459 39.4371158, -0.4397202 39.4371241, -0.4397938 39.4371123, -0.4398577 39.4370818, -0.4398929 39.4370474, -0.439928 39.4369813, -0.439926 39.4369233)",CV-4062,,
23377138,2,Carretera de Torrent a Picanya,tertiary,,False,False,9.314,,,"LINESTRING (-0.4403757 39.4366851, -0.4402726 39.4367111)",CV-4062,,
23377128,,,tertiary,roundabout,True,False,13.817,,,"LINESTRING (-0.4316555 39.4393274, -0.4316816 39.4393224, -0.4317044 39.4393116, -0.4317219 39.4392959, -0.4317325 39.4392769, -0.4317351 39.4392563, -0.4317296 39.439236)",,,
23377129,,,tertiary,,True,False,39.352999999999994,,,"LINESTRING (-0.4316555 39.4393274, -0.4318863 39.439318, -0.4321102 39.4392885)",,,
