osmid,oneway,lanes,ref,name,highway,access,reversed,length,geometry,maxspeed,width,tunnel,junction
263312866,False,2,A-6204,Carretera de Santo Tomé,tertiary,yes,False,131.384,"LINESTRING (-3.0071296 37.9141201, -3.007157 37.9141861, -3.0071742 37.9142729, -3.0071728 37.9143116, -3.007164 37.914367, -3.007141 37.914426, -3.007083 37.914558, -3.007044 37.914714, -3.007046 37.914798, -3.007063 37.914879, -3.007092 37.914959, -3.0071096 37.9149943, -3.007132 37.915039, -3.00718 37.91512, -3.007232 37.915202, -3.0072629 37.9152489)",,,,
272251967,False,2,A-319,Avenida del Guadalquivir,secondary,,False,55.70300000000001,"LINESTRING (-3.0071296 37.9141201, -3.0070135 37.914195, -3.0069583 37.9142428, -3.0069356 37.9142809, -3.006916 37.9143254, -3.0069064 37.914369, -3.0068692 37.9144834, -3.0068554 37.9145489)",,,,
272251967,False,2,A-319,Avenida del Guadalquivir,secondary,,True,88.804,"LINESTRING (-3.0071296 37.9141201, -3.0075232 37.9139442, -3.0077488 37.9138467, -3.0078139 37.9138271, -3.0080455 37.9138069)",,,,
129914875,False,2,,Calle Tejares Bajos,residential,,True,90.813,"LINESTRING (-3.0046439 37.915432, -3.0047764 37.915409, -3.0047839 37.9152844, -3.0048284 37.9151854, -3.0049265 37.9151751, -3.0049411 37.9151133, -3.0049556 37.915081, -3.0051272 37.9150439, -3.0052491 37.9150308, -3.0053338 37.9150232)",30,,,
272236695,False,2,A-319,Calle Hilario Marcos,secondary,,False,300.82199999999995,"LINESTRING (-3.0046439 37.915432, -3.0045994 37.9152459, -3.0046169 37.9149598, -3.0046218 37.9148308, -3.0046122 37.9147332, -3.0045815 37.914657, -3.0045355 37.9145839, -3.0044809 37.9145143, -3.0043849 37.9144215, -3.0043083 37.9143576, -3.0042197 37.9142852, -3.0041247 37.9142183, -3.0036267 37.9139459, -3.0034433 37.9137743, -3.0029779 37.913344, -3.0028955 37.9132938)",60,,,
272236695,False,2,A-319,Calle Hilario Marcos,secondary,,True,66.67,"LINESTRING (-3.0046439 37.915432, -3.0047832 37.9158599, -3.0048364 37.916012)",60,,,
272081823,False,1,,calle Negrillo,residential,,False,142.72800000000004,"LINESTRING (-3.0035498 37.9160336, -3.0034496 37.9163422, -3.0033579 37.9164938, -3.0033077 37.9165769, -3.003276 37.9166184, -3.0032812 37.9166812, -3.0033348 37.9168773, -3.0033282 37.9169779, -3.003315 37.9170875, -3.0031866 37.9172389)",30,,,
272126049,False,,A-319,Calle José Martínez Falero,secondary,,False,91.358,"LINESTRING (-3.0035498 37.9160336, -3.0033455 37.916193, -3.0032007 37.9163141, -3.0030578 37.9164283, -3.0030282 37.9164582, -3.00298 37.9165298, -3.0029705 37.9165636, -3.0029566 37.9166278, -3.0029574 37.916677)",,,,
272126049,False,,A-319,Calle José Martínez Falero,secondary,,True,40.354,"LINESTRING (-3.0035498 37.9160336, -3.0036136 37.9158274, -3.0036348 37.9157519, -3.0036612 37.9156816)",,,,
115013102,False,2,A-319,Calle Amigo Félix Rodríguez de la Fuente,secondary,,False,42.46,"LINESTRING (-3.0028955 37.9132938, -3.0029646 37.9134317, -3.0030741 37.9136487)",,,,
