osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,maxspeed,lanes,junction,tunnel
88308578,False,N-1A,Plaza Virgencilla,tertiary,False,41.09,"LINESTRING (-3.6851241 41.6714621, -3.6851228 41.6714551, -3.6850818 41.6712319, -3.685065 41.6710953)",,,,,
1025713984,False,N-1A,Plaza Arco Isilla,tertiary,True,32.25,"LINESTRING (-3.6851241 41.6714621, -3.6851251 41.6714657, -3.6852137 41.6717443)",,,,,
111626423,False,,Plaza La Ribera,residential,False,32.599,"LINESTRING (-3.6902189 41.6706597, -3.6901357 41.6707842, -3.6900413 41.6708934, -3.6900262 41.6708953, -3.6900098 41.6708924)",,,,,
48958331,True,,Calle San Gregorio,residential,False,177.37800000000001,"LINESTRING (-3.685065 41.6710953, -3.6849573 41.6710044, -3.6847448 41.6707722, -3.6845024 41.6704847, -3.6840647 41.6700231, -3.6838138 41.6698056)",,,,,
"[88308585, 88308578, 1025713986]",False,N-1A,"['Plaza Jardines de Don Diego', 'Plaza Virgencilla']",tertiary,False,157.03400000000002,"LINESTRING (-3.685065 41.6710953, -3.6850963 41.6709725, -3.6851115 41.6709239, -3.6851477 41.6708529, -3.6852064 41.670766, -3.6852657 41.670687, -3.6853422 41.670582, -3.685464 41.6704841, -3.6856068 41.6703778, -3.6859225 41.6701749, -3.6860801 41.6700896, -3.686172 41.6700398, -3.6862032 41.6700236)",,,,,
88308578,False,N-1A,Plaza Virgencilla,tertiary,True,41.09,"LINESTRING (-3.685065 41.6710953, -3.6850818 41.6712319, -3.6851228 41.6714551, -3.6851241 41.6714621)",,,,,
107820460,False,,Calle Pedrote,residential,True,94.896,"LINESTRING (-3.683137 41.6710564, -3.6836849 41.671081, -3.6842785 41.671078)",,,,,
117957358,True,,Calle Pedrote,residential,False,111.596,"LINESTRING (-3.683137 41.6710564, -3.6820906 41.6709485, -3.6818099 41.670903)",,,,,
133641990,True,,Calle Silverio Velasco,residential,False,85.703,"LINESTRING (-3.683137 41.6710564, -3.6831168 41.6711279, -3.6830532 41.6714498, -3.6830462 41.6715006, -3.6831655 41.6718092)",,,,,
88308618,True,,Calle Sol de las Moreras,tertiary,False,15.93,"LINESTRING (-3.6838138 41.6698056, -3.6836394 41.669746)",,,,,
88308598,True,,Calle San Gregorio,residential,False,32.561,"LINESTRING (-3.6838138 41.6698056, -3.6837867 41.6697684, -3.6837537 41.6697231, -3.6836264 41.6695484)",,,,,
48958341,False,,Calle Fuenteminaya,residential,False,34.414,"LINESTRING (-3.6873782 41.6734108, -3.687454 41.673296, -3.6875504 41.6731294)",,,,,
